goalCode	goalLabelEN	goalDescEN	targetCode	indicatorRef	seriesCode	seriesDescEN	seriesRelease	seriesTags
1	Goal 1	End poverty in all its forms everywhere	1.1	1.1.1	SI_POV_DAY1	Proportion of population below international poverty line (%)	2020.Q2.G.03	['poverty line', 'poverty', 'standard of living', 'basic needs']
1	Goal 1	End poverty in all its forms everywhere	1.1	1.1.1	SI_POV_EMP1	Employed population below international poverty line, by sex and age (%)	2020.Q2.G.03	['poverty line', 'poverty', 'standard of living', 'basic needs', 'decent work']
1	Goal 1	End poverty in all its forms everywhere	1.2	1.2.1	SI_POV_NAHC	Proportion of population living below the national poverty line (%)	2020.Q2.G.03	['poverty line', 'poverty', 'standard of living', 'basic needs']
1	Goal 1	End poverty in all its forms everywhere	1.2	1.2.2	SD_MDP_MUHC	Proportion of population living in multidimensional poverty (%)	2020.Q2.G.03	['multidimensional poverty', 'poverty', 'standard of living', 'basic needs']
1	Goal 1	End poverty in all its forms everywhere	1.2	1.2.2	SD_MDP_ANDI	Average proportion of deprivations for people multidimensionally poor (%)	2020.Q2.G.03	['multidimensional poverty', 'poverty', 'standard of living', 'basic needs']
1	Goal 1	End poverty in all its forms everywhere	1.2	1.2.2	SD_MDP_MUHHC	Proportion of households living in multidimensional poverty (%)	2020.Q2.G.03	['multidimensional poverty', 'poverty', 'standard of living', 'basic needs']
1	Goal 1	End poverty in all its forms everywhere	1.2	1.2.2	SD_MDP_CSMP	Proportion of children living in child-specific multidimensional poverty (%)	2020.Q2.G.03	['multidimensional poverty', 'poverty', 'standard of living', 'basic needs', 'children']
1	Goal 1	End poverty in all its forms everywhere	1.3	1.3.1	SI_COV_MATNL	[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)	2020.Q2.G.03	['poverty', 'standard of living', 'basic needs', 'social welfare', 'child welfare', 'family welfare', 'maternal welfare', 'women', 'mothers', 'children']
1	Goal 1	End poverty in all its forms everywhere	1.3	1.3.1	SI_COV_POOR	[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)	2020.Q2.G.03	['poverty', 'standard of living', 'basic needs', 'social welfare', 'insurance']
1	Goal 1	End poverty in all its forms everywhere	1.3	1.3.1	SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	2020.Q2.G.03	['poverty', 'standard of living', 'basic needs', 'social welfare']
1	Goal 1	End poverty in all its forms everywhere	1.3	1.3.1	SI_COV_SOCINS	[World Bank] Proportion of population covered by social insurance programs (%)	2020.Q2.G.03	['poverty', 'standard of living', 'basic needs', 'social welfare', 'insurance']
1	Goal 1	End poverty in all its forms everywhere	1.3	1.3.1	SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	2020.Q2.G.03	['poverty', 'standard of living', 'basic needs', 'social welfare', 'child welfare', 'children']
1	Goal 1	End poverty in all its forms everywhere	1.3	1.3.1	SI_COV_UEMP	[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	2020.Q2.G.03	['poverty', 'standard of living', 'basic needs', 'social welfare', 'unemployment insurance', 'unemployment', 'insurance']
1	Goal 1	End poverty in all its forms everywhere	1.3	1.3.1	SI_COV_VULN	[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)	2020.Q2.G.03	['poverty', 'standard of living', 'basic needs', 'social welfare']
1	Goal 1	End poverty in all its forms everywhere	1.3	1.3.1	SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	2020.Q2.G.03	['poverty', 'standard of living', 'basic needs', 'social welfare', 'occupational safety', 'occupational accidents', 'insurance']
1	Goal 1	End poverty in all its forms everywhere	1.3	1.3.1	SI_COV_BENFTS	[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)	2020.Q2.G.03	['poverty', 'standard of living', 'basic needs', 'social welfare']
1	Goal 1	End poverty in all its forms everywhere	1.3	1.3.1	SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	2020.Q2.G.03	['poverty', 'standard of living', 'basic needs', 'social welfare', 'disability benefits', 'persons with disabilities']
1	Goal 1	End poverty in all its forms everywhere	1.3	1.3.1	SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	2020.Q2.G.03	['poverty', 'standard of living', 'basic needs', 'social welfare']
1	Goal 1	End poverty in all its forms everywhere	1.3	1.3.1	SI_COV_PENSN	[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)	2020.Q2.G.03	['poverty', 'standard of living', 'basic needs', 'social welfare', 'old age benefits', 'ageing persons']
1	Goal 1	End poverty in all its forms everywhere	1.4	1.4.1	SP_ACS_BSRVH2O	Proportion of population using basic drinking water services, by location (%)	2020.Q2.G.03	['water', 'drinking water']
1	Goal 1	End poverty in all its forms everywhere	1.4	1.4.1	SP_ACS_BSRVSAN	Proportion of population using basic sanitation services, by location (%)	2020.Q2.G.03	['hygiene', 'sanitation', 'health']
