goal	target	indicator_code	FirstTS	MainTS	indicator_ref	series	hub_id	n_countries	seriesDescription	TimeSeriesDescription	unit	min_year	max_year	min_n_years	max_n_years	n_disaggregations	sex_code	sex_desc	age_code	age_desc	location_code	location_desc	educationLevel_code	educationLevel_desc	typeOfProduct_code	typeOfProduct_desc	typeOfSkill_code	typeOfSkill_desc	quantile_code	quantile_desc	modeOfTransportation_code	modeOfTransportation_desc	nameOfInternationalInstitution_code	nameOfInternationalInstitution_desc	causeOfDeath_code	causeOfDeath_desc	disabilityStatus_code	disabilityStatus_desc	typeOfOccupation_code	typeOfOccupation_desc	groundsOfDiscrimination_code	groundsOfDiscrimination_desc	levelStatus_code	levelStatus_desc	migratoryStatus_code	migratoryStatus_desc	parliamentaryCommittees_code	parliamentaryCommittees_desc	policyDomains_code	policyDomains_desc	typeOfSpeed_code	typeOfSpeed_desc	activity_code	activity_desc	cities_code	cities_desc	ihrCapacity_code	ihrCapacity_desc	nameOfNonCommunicableDisease_code	nameOfNonCommunicableDisease_desc	policyInstruments_code	policyInstruments_desc	samplingStations_code	samplingStations_desc	substanceUseDisorders_code	substanceUseDisorders_desc	typeOfWasteTreatment_code	typeOfWasteTreatment_desc
1	1.1	C010101	x	x	1.1.1	SI_POV_DAY1	e75f1d96fb724377b50831a66b9ba925	164	Proportion of population below international poverty line (%)	Proportion of population below international poverty line	percent	1990	2018	1	29	0																																																				
1	1.1	C010101		x	1.1.1	SI_POV_EMP1	d345483ef17b4e488e80d0aae4b5fc02	110	Employed population below international poverty line, by sex and age (%)	Proportion of employed population below international poverty line	percent	2000	2017	1	18	2	_T	Both sexes	Y_GE15	15 years old and over																																																
1	1.2	C010201	x	x	1.2.1	SI_POV_NAHC	4b61f174c1fc4425b900c1454a55d692	136	Proportion of population living below the national poverty line (%)	Proportion of population living below the national poverty line	percent	1990	2018	1	22	1					_T	All areas																																														
1	1.2	C010202		x	1.2.2	SD_MDP_MUHC	7e572c4fcab94354b816432828db7e52	41	Proportion of population living in multidimensional poverty (%)	Proportion of population living in poverty (according to the multidimensional poverty index)	percent	2010	2019	1	10	3	_T	Both sexes	_T	All age ranges or no breaks by age	_T	All areas																																														
1	1.2	C010202	x	x	1.2.2	SD_MDP_ANDI	45f9d62e4d4c468eb9a0f6f0586244ca	21	Average proportion of deprivations for people multidimensionally poor (%)	Average proportion of deprivations for people considered poor (according to the multi-dimensional poverty index)	percent	2010	2019	1	10	3	_T	Both sexes	_T	All age ranges or no breaks by age	_T	All areas																																														
1	1.2	C010202	x	x	1.2.2	SD_MDP_MUHHC	e5e2e68ddb674a009355549d38b397bd	11	Proportion of households living in multidimensional poverty (%)	Proportion of households living in poverty (according to the multidimensional poverty index)	percent	2010	2019	1	10	1					_T	All areas																																														
1	1.2	C010202	x	x	1.2.2	SD_MDP_CSMP	db688c185a3944fdaeee54716bb6b242	8	Proportion of children living in child-specific multidimensional poverty (%)	Proportion of children under 18 years old living in poverty (according to the child-specific multidimensional poverty index)	percent	2010	2017	1	5	3	_T	Both sexes	Y0T17	under 18 years old	_T	All areas																																														
1	1.3	C010301	x	x	1.3.1	SI_COV_MATNL	df4c26cbdcab425a909af73c919d0452	79	[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)	Proportion of mothers with newborns receiving maternity cash benefit	percent	2016	2019	1	2	1	F	Female																																																		
1	1.3	C010301	x	x	1.3.1	SI_COV_POOR	788c554b3881471e8ebde21c173e0fd0	91	[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)	Proportion of poor population receiving social assistance cash benefit	percent	2016	2019	1	2	1	_T	Both sexes																																																		
1	1.3	C010301		x	1.3.1	SI_COV_SOCAST	99678c0897504db4b748eec9354fc9c4	110	[World Bank] Proportion of population covered by social assistance programs (%)	Proportion of population covered by social assistance programs	percent	1998	2016	1	13	1													_T	Total (national average) or no breakdown																																						
1	1.3	C010301	x	x	1.3.1	SI_COV_SOCINS	bbdf50119aff422483316e7265358d30	108	[World Bank] Proportion of population covered by social insurance programs (%)	Proportion of population covered by social insurance programs	percent	1998	2016	1	13	1													_T	Total (national average) or no breakdown																																						
1	1.3	C010301	x	x	1.3.1	SI_COV_CHLD	546e34bb75bb4d8eb7a3e3019dec956b	95	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	Proportion of children/households receiving child/family cash benefit	percent	2016	2019	1	2	1	_T	Both sexes																																																		
1	1.3	C010301	x	x	1.3.1	SI_COV_UEMP	234966221a744545865cdddae58d46de	96	[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	Proportion of unemployed persons receiving unemployment cash benefit	percent	2000	2019	1	10	1	_T	Both sexes																																																		
1	1.3	C010301	x	x	1.3.1	SI_COV_VULN	7c656feb8f844d54b8c82765798b10fd	109	[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)	Proportion of vulnerable population receiving social assistance cash benefit	percent	2016	2019	1	2	1	_T	Both sexes																																																		
1	1.3	C010301	x	x	1.3.1	SI_COV_WKINJRY	dbe000581ece45f08eb8af843d488146	154	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	Proportion of employed population covered in the event of work injury	percent	2003	2019	1	2	1	_T	Both sexes																																																		
1	1.3	C010301	x	x	1.3.1	SI_COV_BENFTS	b22b2eabcb5e4ca5b68814c5edb461fe	123	[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)	Proportion of population covered by at least one social protection benefit	percent	2016	2019	1	3	1	_T	Both sexes																																																		
1	1.3	C010301	x	x	1.3.1	SI_COV_DISAB	1ccf5e08186148ecbe02dcefc2f0551e	103	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	Proportion of population with severe disabilities receiving disability cash benefit	percent	2013	2019	1	5	1	_T	Both sexes																																																		
1	1.3	C010301	x	x	1.3.1	SI_COV_LMKT	7cd5ef834d5048b2abf4b443d6b97c4c	60	[World Bank] Proportion of population covered by labour market programs (%)	Proportion of population covered by labour market programs	percent	2002	2016	1	8	1													_T	Total (national average) or no breakdown																																						
1	1.3	C010301	x	x	1.3.1	SI_COV_PENSN	2d8f6d7aef9a493d829a6619e9219029	183	[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)	Proportion of population above statutory pensionable age receiving a pension	percent	1996	2019	1	5	1	_T	Both sexes																																																		
1	1.4	C010401		x	1.4.1	SP_ACS_BSRVH2O	da7d9e13a45b4734b5eef4b8355cdb6c	228	Proportion of population using basic drinking water services, by location (%)	Proportion of population using basic drinking water services	percent	2000	2017	6	18	1					_T	All areas																																														
1	1.4	C010401		x	1.4.1	SP_ACS_BSRVSAN	1df36f26cad44482b56e0f6e5ad471dd	224	Proportion of population using basic sanitation services, by location (%)	Proportion of population using basic sanitation services	percent	2000	2017	7	18	1					_T	All areas																																														
1	1.5	C200303	x	x	1.5.1	VC_DSR_MISS	5cb38f7113cf4a52aad018af2e667a78	77	Number of missing persons due to disaster (number)	Number of missing persons due to disaster	persons	2005	2019	1	15	0																																																				
1	1.5	C200303	x	x	1.5.1	VC_DSR_AFFCT	4c08159ed0b24a71b65a25c3024903ef	132	Number of people affected by disaster (number)	Number of people affected by disaster	persons	2005	2019	1	15	0																																																				
1	1.5	C200303	x	x	1.5.1	VC_DSR_MORT	814909cf93b04c66a37f8930ddbdccdc	138	Number of deaths due to disaster (number)	Number of deaths due to disaster	deaths	2005	2019	1	15	0																																																				
1	1.5	C200303	x	x	1.5.1	VC_DSR_MTMP	5424ec7cd435432db10d7604dbaba0fc	140	Number of deaths and missing persons attributed to disasters per 100,000 population (number)	Number of deaths and missing persons attributed to disasters per 100,000 population	cases per 100,000 population	2005	2019	1	15	0																																																				
1	1.5	C200303	x	x	1.5.1	VC_DSR_MTMN	d99cd03855094cc49318baaf9ee8243c	140	Number of deaths and missing persons attributed to disasters (number)	Number of deaths and missing persons attributed to disasters	cases	2005	2019	1	15	0																																																				
1	1.5	C200303	x	x	1.5.1	VC_DSR_DAFF	e4cb0f8662764f528c81ada0cde44f72	132	Number of directly affected persons attributed to disasters per 100,000 population (number)	Number of persons directly affected by disasters per 100,000 population	persons per 100,000 population	2005	2019	1	15	0																																																				
1	1.5	C200303	x	x	1.5.1	VC_DSR_IJILN	ec672d7165a143bf986d0f6d50d11615	124	Number of injured or ill people attributed to disasters (number)	Number of injured or ill people attributed to disasters	persons	2005	2019	1	15	0																																																				
1	1.5	C200303	x	x	1.5.1	VC_DSR_PDAN	502b2570368e4249a851b9ae506af83c	123	Number of people whose damaged dwellings were attributed to disasters (number)	Number of people with damaged dwellings attributed to disasters	persons	2005	2019	1	15	0																																																				
1	1.5	C200303	x	x	1.5.1	VC_DSR_PDYN	16a00f7cc2164f0c801b23fa0e521dde	114	Number of people whose destroyed dwellings were attributed to disasters (number)	Number of people with destroyed dwellings attributed to disasters	persons	2005	2019	1	15	0																																																				
1	1.5	C200303	x	x	1.5.1	VC_DSR_PDLN	647e70a373f945749f7aaf0bc808c8eb	97	Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number)	Number of people with disrupted or destroyed livelihoods attributed to disasters	persons	2005	2019	1	15	0																																																				
1	1.5	C010502	x	x	1.5.2	VC_DSR_GDPLS	7b5f4f7fc26b4bb48eb1798864a04110	122	Direct economic loss attributed to disasters (current United States dollars)	Direct economic loss attributed to disasters	dollars	2005	2019	1	15	0																																																				
1	1.5	C010502	x	x	1.5.2	VC_DSR_LSGP	e3adb2406c2e452b81c3654e276fc5ca	121	Direct economic loss attributed to disasters relative to GDP (%)	Direct economic loss attributed to disasters relative to GDP	percent	2005	2019	1	15	0																																																				
1	1.5	C010502	x	x	1.5.2	VC_DSR_AGLN	3313f3759366416e8be531f6bb650faf	93	Direct agriculture loss attributed to disasters (current United States dollars)	Direct agriculture loss attributed to disasters	dollars	2005	2019	1	15	0																																																				
1	1.5	C010502	x	x	1.5.2	VC_DSR_HOLN	9634481045a6472db316030879e32bda	118	Direct economic loss in the housing sector attributed to disasters (current United States dollars)	Direct economic loss in the housing sector attributed to disasters	dollars	2005	2019	1	15	0																																																				
1	1.5	C010502	x	x	1.5.2	VC_DSR_CILN	e65c18d61d33416b8cc16a6e78785d43	92	Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars)	Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters	dollars	2005	2019	1	15	0																																																				
1	1.5	C010502	x	x	1.5.2	VC_DSR_CHLN	08eaee136a3c49e3b41c5928739bf863	17	Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars)	Direct economic loss to cultural heritage damaged or destroyed attributed to disasters	millions of dollars	2005	2019	1	13	0																																																				
1	1.5	C010502	x	x	1.5.2	VC_DSR_DDPA	69f0ebd85d0f44648803c328b5b670bc	28	Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars)	Direct economic loss to other damaged or destroyed productive assets attributed to disasters	dollars	2005	2019	1	15	0																																																				
1	1.5	C200304	x	x	1.5.3	SG_DSR_LGRGSR	70d01fc6660b48a68967544421d3a05a	93	Score of adoption and implementation of national DRR strategies in line with the Sendai Framework	Score of adoption and implementation of national disaster risk reduction (DRR) strategies in line with the Sendai Framework	points	2015	2019	1	5	0																																																				
1	1.5	C200305	x	x	1.5.4	SG_DSR_SILS	75b891eaa8944c64a1348db2b2ddc2de	82	Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%)	Proportion of local governments that adopt and implement local disaster risk reduction (DRR) strategies in line with national strategies	percent	2015	2019	1	5	0																																																				
1	1.a	C010a02	x	x	1.a.2	SD_XPD_ESED	d6eb429db59545729ed88b68410fa480	181	Proportion of total government spending on essential services, education (%)	Proportion of total government spending on essential services, education	percent	2000	2019	1	20	0																																																				
2	2.1	C020101	x	x	2.1.1	SN_ITK_DEFC	f02b373c43394a63b5931e5f96b6f655	155	Prevalence of undernourishment (%)	Prevalence of undernourishment	percent	2001	2018	11	18	0																																																				
2	2.1	C020101	x	x	2.1.1	SN_ITK_DEFCN	b828980e54784cd097e9450055dec2f0	155	Number of undernourish people (millions)	Number of undernourish people (millions)	million people	2001	2018	11	18	0																																																				
2	2.1	C020102	x	x	2.1.2	AG_PRD_FIESMSI	43c861e7e32743949790184611ef8cfc	109	Prevalence of moderate or severe food insecurity in the adult population (%)	Prevalence of moderate or severe food insecurity in the adult population	percent	2015	2018	1	4	2	_T	Both sexes	_T	All age ranges or no breaks by age																																																
2	2.1	C020102	x	x	2.1.2	AG_PRD_FIESMSIN	970f97af7a6d4a79821b0fa22e888882	109	Total population in moderate or severe food insecurity (thousands of people)	Total population in moderate or severe food insecurity	thousand people	2015	2018	1	4	2	_T	Both sexes	_T	All age ranges or no breaks by age																																																
2	2.1	C020102	x	x	2.1.2	AG_PRD_FIESSI	794ea919a22d49d6ad872d671233a5e6	108	Prevalence of severe food insecurity in the adult population (%)	Prevalence of severe food insecurity in the adult population	percent	2015	2018	1	4	2	_T	Both sexes	_T	All age ranges or no breaks by age																																																
