countryProfile,goal,target,indicator,seriesCode,hubId,dashboardId,seriesDesc,sliceDesc,ageCode,locationCode,sexCode,boundsCode,educationLevelCode,typeOfProductCode,typeOfMobileTechnologyCode,typeOfSpeedCode,zero.removal,Text.type,unit1,unit2,DA2.1,DA2.2,DA3.1,DA3.2,Down,Up,Threshold
1,1,1.1,1.1.1,SI_POV_DAY1,d80b4105e32a4832bbea4e0bd3dcbf40,,Proportion of population below international poverty line (%),Population below international poverty line (percent),,,,,,,,,1,1,%,%,The proportion of the population living below the extreme poverty line was approximately ,,The proportion of the population living below the extreme poverty line,, declined from , increased from ,
1,1,1.2,1.2.1,SI_POV_NAHC,ee9dd63027a442cb9af00d1d289a14e4,,Proportion of population living below the national poverty line (%),Proportion of population living below the national poverty line (percent),,_T,,,,,,,1,1,%,,The proportion of population living below the national poverty line was approximately,,The proportion of population living below the national poverty line,, declined from , increased from ,
1,2,2.2,2.2.2,SH_STA_OVRWGT,17d4351d412c4c05a0e45c31f5cc1385,,Proportion of children moderately or severely overweight (%),Proportion of children under 5 years of age who are moderately or severely overweight,Y0T4,,,_T,,,,,1,1,%,%,The share of overweight children under 5 years of age was approximately,,The share of overweight children under 5 years of age,, decreased from , increased from ,
1,3,3.2,3.2.1,SH_DYN_MORT,f7f1ee3e71f14210a777d25aa95b846c,,"Under-five mortality rate, by sex (deaths per 1,000 live births)",Under-five mortality rate,Y0T4,,_T,,,,,,0,1," per 1,000 live births"," per 1,000 live births ",The mortality rate of children under 5 years of age was ,,The mortality rate of children under 5 years of age,, fell from , increased from ,
1,3,3.4,3.4.1,SH_DTH_NCOM,68674946646d4303a8429ca180b14481,,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","Mortality rate from cardiovascular disease, cancer, diabetes or chronic respiratory disease",Y30T70,,_T,,,,,,0,1,%,,"The risk of dying between ages 30 and 70 from one of four main non-communicable diseases (NCDs)–cardiovascular disease, cancer, diabetes or chronic respiratory disease–was ",,"The risk of dying between the ages of 30 and 70 from one of four main non-communicable diseases (NCDs)–cardiovascular disease, cancer, diabetes or chronic respiratory disease–",, fell from , increased from ,
1,5,5.5,5.5.1,SG_GEN_PARL,29b8dbe8209c4966802edf3a38623f2c,,Proportion of seats held by women in national parliaments (% of total number of seats),Proportion of seats held by women in national parliaments (percent),,,F,,,,,,0,1,%,,The proportion of seats held by women in single or lower houses of parliament was ,,The proportion of seats held by women in single or lower houses of parliament,, declined from , increased from ,
1,7,7.1,7.1.1,EG_ELC_ACCS,efe5c0628d4749b38b4be596740e2956,,"Proportion of population with access to electricity, by urban/rural (%)",Proportion of population with access to electricity (percent),,_T,,,,,,,0,1,%,,The proportion of the population with access to electricity was ,,The proportion of the population with access to electricity,, declined from , increased from ,
1,8,8.1,8.1.1,NY_GDP_PCAP,97f4c9aba77f4fed8f217784dfdd649f,,Annual growth rate of real GDP per capita (%),Annual growth rate of real GDP per capita (percent),,,,,,,,,0,1,%,,The annual growth rate of real gross domestic product (GDP) per capita was ,,The annual growth rate of real gross domestic product (GDP) per capita,, declined from , increased from ,
1,8,8.5,8.5.2,SL_TLF_UEM,c386199f78d041d5b1c7b5403ed6bc52,,"Unemployment rate, by sex and age (%)",Unemployment rate of population 15 years of age and older,Y_GE15,,_T,,,,,,0,1,%,,The total unemployment rate was ,,The total unemployment rate,, declined from , increased from ,
1,9,9.4,9.4.1,EN_ATM_CO2GDP,36ff192d48504b34bbc8af3ff30f565b,,Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars),Carbon dioxide emissions per unit of GDP (kg per constant 2010 US dollars),,,,,,,,,0,1, kg,,Carbon dioxide emissions per unit of GDP were approximately ,,The carbon dioxide emissions per unit of GDP,, decreased from , increased from ,
