goal	target	indicator_code	indicator_ref	COMMENT	ACTION	series	hub_id	n_countries	TimeSeriesDescription	unit	country_profile	zero.removal	Text.type	unit1	unit2	DA2.1	DA2.2	DA3.1	DA3.2	Down	Up	Threshold
1	1.1	C010101	1.1.1			SI_POV_DAY1	e75f1d96fb724377b50831a66b9ba925	164	Proportion of population below the international poverty line	percent	1	1	1	%	%	The proportion of the population living below the extreme poverty line was 		The proportion of the population living below the extreme poverty line 		 declined from 	 increased from 	
1	1.1	C010101	1.1.1			SI_POV_EMP1	d345483ef17b4e488e80d0aae4b5fc02	110	Proportion of employed population below the international poverty line	percent	1	1	2	% 	%	of the country's workers and their families were living on less than 1.90 US dollars per person per day 		 of the country's workers and their families were living on less than 1.90 US dollars per person per day 		 down from 	 up from 	
1	1.2	C010201	1.2.1			SI_POV_NAHC	4b61f174c1fc4425b900c1454a55d692	136	Proportion of population living below the national poverty line	percent	1	1	1	%	%	The proportion of population living below the national poverty line was 		The proportion of population living below the national poverty line 		 declined from 	 increased from 	
1	1.3	C010301	1.3.1			SI_COV_MATNL	df4c26cbdcab425a909af73c919d0452	79	Proportion of mothers with newborns receiving maternity cash benefit	percent	1	1	1	%	%	The proportion of mothers with newborns receiving maternity cash benefit was 		The proportion of mothers with newborns receiving maternity cash benefit 		 declined from 	 increased from 	
1	1.3	C010301	1.3.1			SI_COV_POOR	788c554b3881471e8ebde21c173e0fd0	91	Proportion of poor population receiving social assistance cash benefit	percent	1	1	2	% 	%	of the country's poor population were receiving social assistance cash benefit 		 of the country's poor population were receiving social assistance cash benefit 		 down from 	 up from 	
1	1.3	C010301	1.3.1			SI_COV_CHLD	546e34bb75bb4d8eb7a3e3019dec956b	95	Proportion of children/households receiving child/family cash benefit	percent	1	0	1	%	%	The proportion of children/households receiving child/family cash benefit was  		The proportion of children/households receiving child/family cash benefit 		 declined from 	 increased from 	
1	1.3	C010301	1.3.1			SI_COV_UEMP	234966221a744545865cdddae58d46de	96	Proportion of unemployed persons receiving unemployment cash benefit	percent	1	1	2	% 	%	of the country's unemployed persons were receiving unemployment cash benefit 		 of the country's unemployed persons were receiving unemployment cash benefit 		 down from 	 up from 	
1	1.3	C010301	1.3.1			SI_COV_VULN	7c656feb8f844d54b8c82765798b10fd	109	Proportion of vulnerable population receiving social assistance cash benefit	percent	1	0	1	%	%	The proportion of vulnerable population receiving social assistance cash benefit was 		The proportion of vulnerable population receiving social assistance cash benefit 		 declined from 	 increased from 	
1	1.3	C010301	1.3.1			SI_COV_WKINJRY	dbe000581ece45f08eb8af843d488146	154	Proportion of employed population covered in the event of work injury	percent	1	1	1	%	%	The proportion of employed population covered in the event of work injury was 		The proportion of employed population covered in the event of work injury 		 declined from 	 increased from 	
1	1.3	C010301	1.3.1			SI_COV_BENFTS	b22b2eabcb5e4ca5b68814c5edb461fe	123	Proportion of population covered by at least one social protection benefit	percent	1	1	1	%	%	The proportion of population covered by at least one social protection benefit was 		The proportion of population covered by at least one social protection benefit 		 declined from 	 increased from 	
