,Goal,Target,regionCode,regionName,avg_n_countries_available,avg_median_max_year,avg_median_n_years,avg_median_n_timeSeries,avg_n_dimensions,avg_median_values_per_dim,mean_data_for_female,n_countries_total
0,'1,'1.1,1,World,137.0,2015.5,5.0,5.0,1.0,3.0,1.0,194
1,'1,'1.1,53,Australia and New Zealand,0.5,2014.0,7.0,1.0,0.0,,,2
2,'1,'1.1,62,Central and Southern Asia,12.5,2016.0,5.25,5.0,1.0,3.0,1.0,14
3,'1,'1.1,202,Sub-Saharan Africa,42.5,2014.5,3.5,5.0,1.0,3.0,1.0,48
4,'1,'1.1,419,Latin America and the Caribbean,22.5,2017.5,17.5,5.0,1.0,3.0,1.0,33
5,'1,'1.1,513,Europe and Northern America,24.5,2016.0,15.0,5.0,1.0,3.0,1.0,45
6,'1,'1.1,543,Oceania (excluding Australia and New Zealand),6.0,2013.0,2.0,5.0,1.0,3.0,1.0,12
7,'1,'1.1,747,Northern Africa and Western Asia,16.5,2014.0,5.0,5.0,1.0,3.0,1.0,24
8,'1,'1.1,753,Eastern and South-Eastern Asia,12.0,2015.25,6.75,5.0,1.0,3.0,1.0,16
9,'1,'1.2,1,World,136.0,2015.0,3.0,3.0,1.0,3.0,0.0,194
10,'1,'1.2,53,Australia and New Zealand,0.0,,,,,,,2
11,'1,'1.2,62,Central and Southern Asia,12.0,2016.0,3.5,3.0,1.0,3.0,0.0,14
12,'1,'1.2,202,Sub-Saharan Africa,47.0,2014.0,2.0,3.0,1.0,3.0,0.0,48
13,'1,'1.2,419,Latin America and the Caribbean,21.0,2017.0,11.0,3.0,1.0,3.0,0.0,33
14,'1,'1.2,513,Europe and Northern America,20.0,2015.0,11.0,1.0,1.0,1.0,0.0,45
15,'1,'1.2,543,Oceania (excluding Australia and New Zealand),10.0,2010.0,1.5,1.0,1.0,1.0,0.0,12
16,'1,'1.2,747,Northern Africa and Western Asia,15.0,2013.0,3.0,3.0,1.0,3.0,0.0,24
17,'1,'1.2,753,Eastern and South-Eastern Asia,11.0,2015.0,4.0,3.0,1.0,3.0,0.0,16
18,'1,'1.3,1,World,101.33333333333333,2015.8636363636363,2.090909090909091,1.2727272727272727,1.0,1.2727272727272727,0.10728171147514555,194
19,'1,'1.3,53,Australia and New Zealand,1.25,2016.3125,2.1875,1.5,1.0,1.5,0.25,2
20,'1,'1.3,62,Central and Southern Asia,8.75,2016.4545454545455,1.9545454545454546,1.4545454545454546,1.0,1.4545454545454546,0.07062937062937062,14
21,'1,'1.3,202,Sub-Saharan Africa,20.916666666666668,2015.2727272727273,1.2727272727272727,1.2727272727272727,1.0,1.2727272727272727,0.020232815964523282,48
22,'1,'1.3,419,Latin America and the Caribbean,16.916666666666668,2016.8636363636363,2.3181818181818183,1.2727272727272727,1.0,1.2727272727272727,0.08541806075012906,33
23,'1,'1.3,513,Europe and Northern America,25.916666666666668,2014.909090909091,2.3636363636363638,1.8181818181818181,1.0,1.8181818181818181,0.19714403577137551,45
24,'1,'1.3,543,Oceania (excluding Australia and New Zealand),5.583333333333333,2016.111111111111,1.2222222222222223,1.2222222222222223,1.0,1.2222222222222223,0.0,12
25,'1,'1.3,747,Northern Africa and Western Asia,11.916666666666666,2016.1818181818182,1.2727272727272727,1.2727272727272727,1.0,1.2727272727272727,0.077994227994228,24
26,'1,'1.3,753,Eastern and South-Eastern Asia,10.083333333333334,2016.8636363636363,2.3636363636363638,1.2727272727272727,1.0,1.2727272727272727,0.0712121212121212,16
27,'1,'1.4,1,World,194.0,2017.0,18.0,3.0,1.0,3.0,0.0,194
28,'1,'1.4,53,Australia and New Zealand,2.0,2017.0,18.0,2.5,1.0,2.5,0.0,2
29,'1,'1.4,62,Central and Southern Asia,14.0,2017.0,18.0,3.0,1.0,3.0,0.0,14
30,'1,'1.4,202,Sub-Saharan Africa,48.0,2017.0,18.0,3.0,1.0,3.0,0.0,48
31,'1,'1.4,419,Latin America and the Caribbean,33.0,2017.0,18.0,3.0,1.0,3.0,0.0,33
32,'1,'1.4,513,Europe and Northern America,45.0,2017.0,18.0,3.0,1.0,3.0,0.0,45
33,'1,'1.4,543,Oceania (excluding Australia and New Zealand),12.0,2017.0,18.0,3.0,1.0,3.0,0.0,12
34,'1,'1.4,747,Northern Africa and Western Asia,24.0,2017.0,18.0,3.0,1.0,3.0,0.0,24
35,'1,'1.4,753,Eastern and South-Eastern Asia,16.0,2017.0,18.0,3.0,1.0,3.0,0.0,16
36,'1,'1.5,1,World,96.48333333333333,2017.4875,4.7625,1.0,0.0,,,194
