,index,Goal,Target,Indicator_ref,Series_code,Series_desc,n_countries_available,median_max_year,median_n_years,median_n_timeSeries,n_dimensions,median_values_per_dim,mean_data_for_female,n_countries_total,regionCode,regionName
0,0,'1,'1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),164,2016.0,6.0,1.0,0.0,,,194,1,World
0,0,'1,'1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),1,2014.0,7.0,1.0,0.0,,,2,53,Australia and New Zealand
1,1,'1,'1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),13,2016.0,6.0,1.0,0.0,,,14,62,Central and Southern Asia
2,2,'1,'1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),45,2015.0,4.0,1.0,0.0,,,48,202,Sub-Saharan Africa
3,3,'1,'1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),25,2018.0,19.0,1.0,0.0,,,33,419,Latin America and the Caribbean
4,4,'1,'1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),41,2017.0,17.0,1.0,0.0,,,45,513,Europe and Northern America
5,5,'1,'1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),9,2013.0,2.0,1.0,0.0,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'1,'1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),18,2014.0,6.0,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'1,'1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),12,2015.5,7.5,1.0,0.0,,,16,753,Eastern and South-Eastern Asia
0,0,'1,'1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",110,2015.0,4.0,9.0,2.0,3.0,1.0,194,1,World
0,0,'1,'1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",0,,,,,,,2,53,Australia and New Zealand
1,1,'1,'1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",12,2016.0,4.5,9.0,2.0,3.0,1.0,14,62,Central and Southern Asia
2,2,'1,'1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",40,2014.0,3.0,9.0,2.0,3.0,1.0,48,202,Sub-Saharan Africa
3,3,'1,'1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",20,2017.0,16.0,9.0,2.0,3.0,1.0,33,419,Latin America and the Caribbean
4,4,'1,'1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",8,2015.0,13.0,9.0,2.0,3.0,1.0,45,513,Europe and Northern America
5,5,'1,'1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",3,2013.0,2.0,9.0,2.0,3.0,1.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'1,'1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",15,2014.0,4.0,9.0,2.0,3.0,1.0,24,747,Northern Africa and Western Asia
7,7,'1,'1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",12,2015.0,6.0,9.0,2.0,3.0,1.0,16,753,Eastern and South-Eastern Asia
0,0,'1,'1.2,1.2.1,SI_POV_NAHC,Proportion of population living below the national poverty line (%),136,2015.0,3.0,3.0,1.0,3.0,0.0,194,1,World
0,0,'1,'1.2,1.2.1,SI_POV_NAHC,Proportion of population living below the national poverty line (%),0,,,,,,,2,53,Australia and New Zealand
1,1,'1,'1.2,1.2.1,SI_POV_NAHC,Proportion of population living below the national poverty line (%),12,2016.0,3.5,3.0,1.0,3.0,0.0,14,62,Central and Southern Asia
2,2,'1,'1.2,1.2.1,SI_POV_NAHC,Proportion of population living below the national poverty line (%),47,2014.0,2.0,3.0,1.0,3.0,0.0,48,202,Sub-Saharan Africa
3,3,'1,'1.2,1.2.1,SI_POV_NAHC,Proportion of population living below the national poverty line (%),21,2017.0,11.0,3.0,1.0,3.0,0.0,33,419,Latin America and the Caribbean
4,4,'1,'1.2,1.2.1,SI_POV_NAHC,Proportion of population living below the national poverty line (%),20,2015.0,11.0,1.0,1.0,1.0,0.0,45,513,Europe and Northern America
5,5,'1,'1.2,1.2.1,SI_POV_NAHC,Proportion of population living below the national poverty line (%),10,2010.0,1.5,1.0,1.0,1.0,0.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'1,'1.2,1.2.1,SI_POV_NAHC,Proportion of population living below the national poverty line (%),15,2013.0,3.0,3.0,1.0,3.0,0.0,24,747,Northern Africa and Western Asia
7,7,'1,'1.2,1.2.1,SI_POV_NAHC,Proportion of population living below the national poverty line (%),11,2015.0,4.0,3.0,1.0,3.0,0.0,16,753,Eastern and South-Eastern Asia
0,0,'1,'1.3,1.3.1,SI_COV_MATNL,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),0,,,,,,,194,1,World
0,0,'1,'1.3,1.3.1,SI_COV_MATNL,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),0,,,,,,,2,53,Australia and New Zealand
1,1,'1,'1.3,1.3.1,SI_COV_MATNL,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),0,,,,,,,14,62,Central and Southern Asia
2,2,'1,'1.3,1.3.1,SI_COV_MATNL,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),0,,,,,,,48,202,Sub-Saharan Africa
3,3,'1,'1.3,1.3.1,SI_COV_MATNL,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),0,,,,,,,33,419,Latin America and the Caribbean
4,4,'1,'1.3,1.3.1,SI_COV_MATNL,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),0,,,,,,,45,513,Europe and Northern America
5,5,'1,'1.3,1.3.1,SI_COV_MATNL,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),0,,,,,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'1,'1.3,1.3.1,SI_COV_MATNL,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),0,,,,,,,24,747,Northern Africa and Western Asia
7,7,'1,'1.3,1.3.1,SI_COV_MATNL,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),0,,,,,,,16,753,Eastern and South-Eastern Asia
0,0,'1,'1.3,1.3.1,SI_COV_POOR,"[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)",91,2018.0,1.0,1.0,1.0,1.0,0.0,194,1,World
0,0,'1,'1.3,1.3.1,SI_COV_POOR,"[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)",2,2016.0,1.0,1.0,1.0,1.0,0.0,2,53,Australia and New Zealand
1,1,'1,'1.3,1.3.1,SI_COV_POOR,"[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)",10,2018.0,1.0,1.0,1.0,1.0,0.0,14,62,Central and Southern Asia
