goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,location_code,location_desc,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2014,value_2017,value_2019,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.b,Support and strengthen the participation of local communities in improving water and sanitation management,C060b01,6.b.1,I,"WHO, OECD",Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,2019.Q4.G.01,"['water', 'drinking water', 'water management', 'community participation']",ER_H2O_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%),1,World,1,,,Region,,,,,,R,Rural,"[2014, 2017, 2019]",2014,2019,3,PT,Percentage,G,Global,22.34043,20.73171,33.33333,33.33333,,,,"Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.b,Support and strengthen the participation of local communities in improving water and sanitation management,C060b01,6.b.1,I,"WHO, OECD",Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,2019.Q4.G.01,"['water', 'drinking water', 'water management', 'community participation']",ER_H2O_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%),143,Central Asia,3,142,Asia,Region,,,,,,R,Rural,"[2014, 2017, 2019]",2014,2019,3,PT,Percentage,G,Global,33.33333,0.0,0.0,0.0,,,,"Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.b,Support and strengthen the participation of local communities in improving water and sanitation management,C060b01,6.b.1,I,"WHO, OECD",Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,2019.Q4.G.01,"['water', 'drinking water', 'water management', 'community participation']",ER_H2O_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%),145,Western Asia,3,142,Asia,Region,,,,,,R,Rural,"[2014, 2017]",2014,2017,2,PT,Percentage,G,Global,0.0,33.33333,,33.33333,,,,"Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.b,Support and strengthen the participation of local communities in improving water and sanitation management,C060b01,6.b.1,I,"WHO, OECD",Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,2019.Q4.G.01,"['water', 'drinking water', 'water management', 'community participation']",ER_H2O_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%),15,Northern Africa,3,2,Africa,Region,,,,,,R,Rural,[2014],2014,2014,1,PT,Percentage,G,Global,33.33333,,,33.33333,,,,"Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.b,Support and strengthen the participation of local communities in improving water and sanitation management,C060b01,6.b.1,I,"WHO, OECD",Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,2019.Q4.G.01,"['water', 'drinking water', 'water management', 'community participation']",ER_H2O_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%),150,Europe,2,1,World,Region,,,,,,R,Rural,"[2014, 2017]",2014,2017,2,PT,Percentage,G,Global,0.0,16.66667,,16.66667,,,,"Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.b,Support and strengthen the participation of local communities in improving water and sanitation management,C060b01,6.b.1,I,"WHO, OECD",Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,2019.Q4.G.01,"['water', 'drinking water', 'water management', 'community participation']",ER_H2O_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%),199,Least Developed Countries (LDC),1,,,Group,,,,,,R,Rural,"[2014, 2017, 2019]",2014,2019,3,PT,Percentage,G,Global,28.94737,32.14286,35.0,35.0,,,,"Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.b,Support and strengthen the participation of local communities in improving water and sanitation management,C060b01,6.b.1,I,"WHO, OECD",Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,2019.Q4.G.01,"['water', 'drinking water', 'water management', 'community participation']",ER_H2O_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%),202,Sub-Saharan Africa,3,2,Africa,Region,,,,,,R,Rural,"[2014, 2017, 2019]",2014,2019,3,PT,Percentage,G,Global,22.22222,24.0,37.5,37.5,,,,"Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.b,Support and strengthen the participation of local communities in improving water and sanitation management,C060b01,6.b.1,I,"WHO, OECD",Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,2019.Q4.G.01,"['water', 'drinking water', 'water management', 'community participation']",ER_H2O_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%),30,Eastern Asia,3,142,Asia,Region,,,,,,R,Rural,"[2014, 2017, 2019]",2014,2019,3,PT,Percentage,G,Global,0.0,0.0,0.0,0.0,,,,"Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.b,Support and strengthen the participation of local communities in improving water and sanitation management,C060b01,6.b.1,I,"WHO, OECD",Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,2019.Q4.G.01,"['water', 'drinking water', 'water management', 'community participation']",ER_H2O_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%),34,Southern Asia,3,142,Asia,Region,,,,,,R,Rural,"[2014, 2017]",2014,2017,2,PT,Percentage,G,Global,44.44444,28.57143,,28.57143,,,,"Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.b,Support and strengthen the participation of local communities in improving water and sanitation management,C060b01,6.b.1,I,"WHO, OECD",Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,2019.Q4.G.01,"['water', 'drinking water', 'water management', 'community participation']",ER_H2O_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%),35,South-Eastern Asia,3,142,Asia,Region,,,,,,R,Rural,"[2014, 2017, 2019]",2014,2019,3,PT,Percentage,G,Global,25.0,12.5,0.0,0.0,,,,"Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",,E: Estimated data
