goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,sex_code,sex_desc,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,I,ILO,Proportion of women in managerial positions,2019.Q4.G.01,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,F,Female,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2000,2017,18,PT,Percentage,G,Global,37.5,40.5,42.3,37.8,41.4,40.6,37.6,36.4,36.5,35.8,38.6,37.0,35.5,36.0,35.4,37.4,39.3,39.3,39.3,,,"[2000,2002,2004,2006-2007,2009,2012-2017]: Repository: Eurostat special tabulation; // [2001,2003,2005,2008,2010-2011]: Repository: Eurostat special tabulation;Break in series: Methodology revised",ILOSTAT - LFS - EU Labour Force Survey,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,I,ILO,Proportion of women in managerial positions,2019.Q4.G.01,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,F,Female,"[2015, 2017]",2015,2017,2,PT,Percentage,G,Global,,,,,,,,,,,,,,,,28.3,,31.5,31.5,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers;Break in series: Methodology revised,ILOSTAT - LFS - Labour force survey,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,I,ILO,Proportion of women in managerial positions,2019.Q4.G.01,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,F,Female,[2012],2012,2012,1,PT,Percentage,G,Global,,,,,,,,,,,,,16.7,,,,,,16.7,,,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised,ILOSTAT - LFS - Labour force survey,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,I,ILO,Proportion of women in managerial positions,2019.Q4.G.01,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),180,Democratic Republic of the Congo,5,17,Middle Africa,Country,23.65496507,-2.877154732,COD,1,1,F,Female,[2005],2005,2005,1,PT,Percentage,G,Global,,,,,,5.7,,,,,,,,,,,,,5.7,,,Repository: ILO-STATISTICS - Micro data processing;,"ILOSTAT - LFS - Survey 1-2-3, Employment, informal sector and household's living conditions",,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,I,ILO,Proportion of women in managerial positions,2019.Q4.G.01,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),191,Croatia,4,39,Southern Europe,Country,17.95874553,45.45172212,HRV,1,1,F,Female,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,16,PT,Percentage,G,Global,,,26.8,28.3,17.5,28.2,27.5,22.7,32.1,37.2,27.4,23.6,25.8,23.9,24.4,26.1,29.5,27.9,27.9,,,"[2002,2004,2007-2010,2012-2013,2015-2017]: Repository: Eurostat special tabulation; // [2003,2005-2006,2011,2014]: Repository: Eurostat special tabulation;Break in series: Methodology revised",ILOSTAT - LFS - EU Labour Force Survey,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,I,ILO,Proportion of women in managerial positions,2019.Q4.G.01,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),196,Cyprus,4,145,Western Asia,Country,33.22285964,35.05659437,CYP,1,1,F,Female,"[2000, 2001, 2002, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2000,2017,17,PT,Percentage,G,Global,18.5,18.6,17.3,,17.0,17.1,17.2,17.7,20.4,13.8,14.3,14.7,16.4,18.7,18.1,25.2,27.0,22.4,22.4,,,"[2000-2002,2004,2006-2008,2010,2012-2017]: Repository: Eurostat special tabulation; // [2005,2009,2011]: Repository: Eurostat special tabulation;Break in series: Methodology revised",ILOSTAT - LFS - EU Labour Force Survey,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,I,ILO,Proportion of women in managerial positions,2019.Q4.G.01,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),203,Czechia,4,151,Eastern Europe,Country,15.33151382,49.73913871,CZE,1,1,F,Female,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2000,2017,18,PT,Percentage,G,Global,26.8,29.3,28.5,31.7,30.2,31.6,30.7,29.5,29.3,28.9,27.8,24.0,23.1,24.5,26.6,27.8,23.1,24.1,24.1,,,"[2000-2004,2006-2009,2012-2017]: Repository: Eurostat special tabulation; // [2005,2010-2011]: Repository: Eurostat special tabulation;Break in series: Methodology revised",ILOSTAT - LFS - EU Labour Force Survey,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,I,ILO,Proportion of women in managerial positions,2019.Q4.G.01,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),208,Denmark,4,154,Northern Europe,Country,9.326571283,56.03829721,DNK,1,1,F,Female,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2000,2017,18,PT,Percentage,G,Global,19.7,17.6,17.9,20.5,20.6,21.4,20.4,25.3,19.9,20.4,19.5,28.6,28.8,27.5,26.2,26.9,28.6,27.6,27.6,,,"[2000-2004,2006-2010,2012-2017]: Repository: Eurostat special tabulation; // [2005,2011]: Repository: Eurostat special tabulation;Break in series: Methodology revised",ILOSTAT - LFS - EU Labour Force Survey,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,I,ILO,Proportion of women in managerial positions,2019.Q4.G.01,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),214,Dominican Republic,5,29,Caribbean,Country,-70.49847576,18.89832088,DOM,1,1,F,Female,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2000,2017,18,PT,Percentage,G,Global,36.9,40.0,31.5,39.1,40.3,45.1,45.0,38.6,37.5,45.4,46.2,51.8,58.0,46.6,46.7,48.9,47.4,50.5,50.5,,,[2000]: Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised // [2001-2017]: Repository: ILO-STATISTICS - Micro data processing;,[2000-2014]: ILOSTAT - LFS - National Labour Force Survey // [2015-2017]: ILOSTAT - LFS - Continuous National Labour Force Survey,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,I,ILO,Proportion of women in managerial positions,2019.Q4.G.01,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),218,Ecuador,5,5,South America,Country,-78.37005241,-1.447785891,ECU,1,1,F,Female,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2003,2017,15,PT,Percentage,G,Global,,,,34.4,32.9,33.7,30.2,40.1,33.6,32.7,33.6,43.9,43.2,35.6,35.6,33.3,34.0,35.2,35.2,,,"[2003,2005,2007,2009]: Repository: ILO-STATISTICS - Micro data processing | Data reference period: December; // [2004,2008,2011-2013,2015-2017]: Repository: ILO-STATISTICS - Micro data processing; // [2006]: Repository: ILO-STATISTICS - Micro data processing | Data reference period: December;Break in series: Methodology revised // [2010,2014]: Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised","ILOSTAT - LFS - National Survey on Employment, Unemployment and Underemployment",,C: Country data
