goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.19	By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries	C171902	17.19.2	I	UNSD	Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration	2019.Q4.G.01	['means of implementation', 'statistical capacity', 'civil registration']	SG_REG_DETH75	Proportion of countries with death registration data that are at least 75 percent complete (%)	1	World	1			Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	58.5366	60.40816	60.56911	60.56911				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.19	By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries	C171902	17.19.2	I	UNSD	Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration	2019.Q4.G.01	['means of implementation', 'statistical capacity', 'civil registration']	SG_REG_DETH75	Proportion of countries with death registration data that are at least 75 percent complete (%)	143	Central Asia	3	142	Asia	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	80.0	80.0	80.0	80.0				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.19	By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries	C171902	17.19.2	I	UNSD	Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration	2019.Q4.G.01	['means of implementation', 'statistical capacity', 'civil registration']	SG_REG_DETH75	Proportion of countries with death registration data that are at least 75 percent complete (%)	145	Western Asia	3	142	Asia	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	66.6667	72.22222	72.22222	72.22222				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.19	By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries	C171902	17.19.2	I	UNSD	Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration	2019.Q4.G.01	['means of implementation', 'statistical capacity', 'civil registration']	SG_REG_DETH75	Proportion of countries with death registration data that are at least 75 percent complete (%)	15	Northern Africa	3	2	Africa	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	42.8571	42.85714	42.85714	42.85714				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.19	By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries	C171902	17.19.2	I	UNSD	Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration	2019.Q4.G.01	['means of implementation', 'statistical capacity', 'civil registration']	SG_REG_DETH75	Proportion of countries with death registration data that are at least 75 percent complete (%)	150	Europe	2	1	World	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	98.0392	100.0	96.07843	96.07843				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.19	By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries	C171902	17.19.2	I	UNSD	Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration	2019.Q4.G.01	['means of implementation', 'statistical capacity', 'civil registration']	SG_REG_DETH75	Proportion of countries with death registration data that are at least 75 percent complete (%)	199	Least Developed Countries (LDC)	1			Group						[2017]	2017	2017	1	PT	Percentage	G	Global			4.16667	4.16667				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.19	By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries	C171902	17.19.2	I	UNSD	Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration	2019.Q4.G.01	['means of implementation', 'statistical capacity', 'civil registration']	SG_REG_DETH75	Proportion of countries with death registration data that are at least 75 percent complete (%)	202	Sub-Saharan Africa	3	2	Africa	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	16.9811	16.98113	16.98113	16.98113				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.19	By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries	C171902	17.19.2	I	UNSD	Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration	2019.Q4.G.01	['means of implementation', 'statistical capacity', 'civil registration']	SG_REG_DETH75	Proportion of countries with death registration data that are at least 75 percent complete (%)	21	Northern America	3	19	Americas	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	80.0	80.0	80.0	80.0				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.19	By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries	C171902	17.19.2	I	UNSD	Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration	2019.Q4.G.01	['means of implementation', 'statistical capacity', 'civil registration']	SG_REG_DETH75	Proportion of countries with death registration data that are at least 75 percent complete (%)	30	Eastern Asia	3	142	Asia	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	71.4286	71.42857	71.42857	71.42857				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.19	By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries	C171902	17.19.2	I	UNSD	Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration	2019.Q4.G.01	['means of implementation', 'statistical capacity', 'civil registration']	SG_REG_DETH75	Proportion of countries with death registration data that are at least 75 percent complete (%)	34	Southern Asia	3	142	Asia	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	33.3333	44.44444	55.55556	55.55556				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
