goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	typeOfOccupation_code	typeOfOccupation_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.c	Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States	C030c01	3.c.1	I	WHO	Health worker density and distribution	2019.Q4.G.01	['means of implementation', 'health', 'health personnel', 'physicians', 'human resources']	SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	1	World	1			Region						ISCO08_221	Medical doctors	[2017]	2017	2017	1	PER_10000_POP	Per 10,000 population	G	Global																		15.12052		15.12052				Global Health Workforce Statistics database, Global Health Observatory, WHO . Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		_X: Data nature not available
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.c	Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States	C030c01	3.c.1	I	WHO	Health worker density and distribution	2019.Q4.G.01	['means of implementation', 'health', 'health personnel', 'physicians', 'human resources']	SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	1	World	1			Region						ISCO08_222	Nursing personnel	[2017]	2017	2017	1	PER_10000_POP	Per 10,000 population	G	Global																		34.80551		34.80551				Global Health Workforce Statistics database, Global Health Observatory, WHO . Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		_X: Data nature not available
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.c	Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States	C030c01	3.c.1	I	WHO	Health worker density and distribution	2019.Q4.G.01	['means of implementation', 'health', 'health personnel', 'physicians', 'human resources']	SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	1	World	1			Region						ISCO08_222_322	Nursing and midwifery personnel	[2017]	2017	2017	1	PER_10000_POP	Per 10,000 population	G	Global																		34.80551		34.80551				Global Health Workforce Statistics database, Global Health Observatory, WHO . Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		_X: Data nature not available
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.c	Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States	C030c01	3.c.1	I	WHO	Health worker density and distribution	2019.Q4.G.01	['means of implementation', 'health', 'health personnel', 'physicians', 'human resources']	SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	ISCO08_2262	Pharmacists	[2001]	2001	2001	1	PER_10000_POP	Per 10,000 population	G	Global		1.286																		1.286				Global Health Workforce Statistics database, Global Health Observatory, WHO . Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		C: Country data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.c	Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States	C030c01	3.c.1	I	WHO	Health worker density and distribution	2019.Q4.G.01	['means of implementation', 'health', 'health personnel', 'physicians', 'human resources']	SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	ISCO08_222	Nursing personnel	[2010, 2011, 2012, 2013, 2014]	2010	2014	5	PER_10000_POP	Per 10,000 population	G	Global											51.698	51.86	52.858	53.684	53.029					53.029				Global Health Workforce Statistics database, Global Health Observatory, WHO . Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		C: Country data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.c	Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States	C030c01	3.c.1	I	WHO	Health worker density and distribution	2019.Q4.G.01	['means of implementation', 'health', 'health personnel', 'physicians', 'human resources']	SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	ISCO08_222_322	Nursing and midwifery personnel	[2010, 2011, 2012, 2013, 2014]	2010	2014	5	PER_10000_POP	Per 10,000 population	G	Global											51.698	51.86	52.858	53.684	53.029					53.029				Global Health Workforce Statistics database, Global Health Observatory, WHO . Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		C: Country data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.c	Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States	C030c01	3.c.1	I	WHO	Health worker density and distribution	2019.Q4.G.01	['means of implementation', 'health', 'health personnel', 'physicians', 'human resources']	SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	ISCO08_221	Medical doctors	[2010, 2011, 2012, 2013, 2014]	2010	2014	5	PER_10000_POP	Per 10,000 population	G	Global											37.764	38.585	39.121	39.761	39.879					39.879				Global Health Workforce Statistics database, Global Health Observatory, WHO . Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		C: Country data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.c	Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States	C030c01	3.c.1	I	WHO	Health worker density and distribution	2019.Q4.G.01	['means of implementation', 'health', 'health personnel', 'physicians', 'human resources']	SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	ISCO08_2261	Dentists	[2010, 2011, 2012, 2013, 2014]	2010	2014	5	PER_10000_POP	Per 10,000 population	G	Global											8.628	9.083	9.233	10.037	9.767					9.767				Global Health Workforce Statistics database, Global Health Observatory, WHO . Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		C: Country data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.c	Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States	C030c01	3.c.1	I	WHO	Health worker density and distribution	2019.Q4.G.01	['means of implementation', 'health', 'health personnel', 'physicians', 'human resources']	SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	ISCO08_221	Medical doctors	[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2016, 2017]	2004	2017	11	PER_10000_POP	Per 10,000 population	G	Global					3.701	3.833	4.197	4.433	4.792	4.927	5.271	5.554	5.851				6.214	8.64		8.64				Global Health Workforce Statistics database, Global Health Observatory, WHO . Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		C: Country data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.c	Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States	C030c01	3.c.1	I	WHO	Health worker density and distribution	2019.Q4.G.01	['means of implementation', 'health', 'health personnel', 'physicians', 'human resources']	SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	ISCO08_2262	Pharmacists	[2004, 2017]	2004	2017	2	PER_10000_POP	Per 10,000 population	G	Global					0.026													0.387		0.387				Global Health Workforce Statistics database, Global Health Observatory, WHO . Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		C: Country data
