goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2015,value_2016,value_2017,value_2018,value_2019,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
1,Goal 1,End poverty in all its forms everywhere,1.5,"By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",C200304,1.5.3,I,UNDRR,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,2019.Q4.G.01,"['means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']",SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,"[2015, 2016, 2017, 2018]",2015,2018,4,IX,Index,G,Global,0.375,0.375,0.2,0.9,,0.9,,,Some of the data has not followed an official validation process and may be subject to revision at a later date.,Sendai Framework Monitoring System as provided by designated national focal points (2019),,C: Country data
1,Goal 1,End poverty in all its forms everywhere,1.5,"By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",C200304,1.5.3,I,UNDRR,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,2019.Q4.G.01,"['means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']",SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,"[2015, 2016, 2017]",2015,2017,3,IX,Index,G,Global,0.475,0.55,0.7,,,0.7,,,Some of the data has not followed an official validation process and may be subject to revision at a later date.,Sendai Framework Monitoring System as provided by designated national focal points (2019),,C: Country data
1,Goal 1,End poverty in all its forms everywhere,1.5,"By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",C200304,1.5.3,I,UNDRR,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,2019.Q4.G.01,"['means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']",SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,108,Burundi,5,14,Eastern Africa,Country,29.89080992,-3.366387428,BDI,1,1,"[2015, 2016, 2017, 2018]",2015,2018,4,IX,Index,G,Global,0.625,0.625,0.65,0.675,,0.675,,,Some of the data has not followed an official validation process and may be subject to revision at a later date.,Sendai Framework Monitoring System as provided by designated national focal points (2019),,C: Country data
1,Goal 1,End poverty in all its forms everywhere,1.5,"By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",C200304,1.5.3,I,UNDRR,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,2019.Q4.G.01,"['means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']",SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,112,Belarus,4,151,Eastern Europe,Country,28.04940161,53.54193075,BLR,1,1,[2018],2018,2018,1,IX,Index,G,Global,,,,0.925,,0.925,,,Some of the data has not followed an official validation process and may be subject to revision at a later date.,Sendai Framework Monitoring System as provided by designated national focal points (2019),,C: Country data
1,Goal 1,End poverty in all its forms everywhere,1.5,"By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",C200304,1.5.3,I,UNDRR,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,2019.Q4.G.01,"['means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']",SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,120,Cameroon,5,17,Middle Africa,Country,12.7419827,5.692387031,CMR,1,1,"[2017, 2018]",2017,2018,2,IX,Index,G,Global,,,0.3,0.325,,0.325,,,Some of the data has not followed an official validation process and may be subject to revision at a later date.,Sendai Framework Monitoring System as provided by designated national focal points (2019),,C: Country data
1,Goal 1,End poverty in all its forms everywhere,1.5,"By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",C200304,1.5.3,I,UNDRR,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,2019.Q4.G.01,"['means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']",SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,124,Canada,4,21,Northern America,Country,-101.6575058,57.72360191,CAN,1,1,[2018],2018,2018,1,IX,Index,G,Global,,,,0.0,,0.0,,,Some of the data has not followed an official validation process and may be subject to revision at a later date.,Sendai Framework Monitoring System as provided by designated national focal points (2019),,C: Country data
1,Goal 1,End poverty in all its forms everywhere,1.5,"By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",C200304,1.5.3,I,UNDRR,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,2019.Q4.G.01,"['means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']",SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,144,Sri Lanka,4,34,Southern Asia,Country,80.70489654,7.614693343,LKA,1,1,"[2015, 2016]",2015,2016,2,IX,Index,G,Global,0.1,0.05,,,,0.05,,,Some of the data has not followed an official validation process and may be subject to revision at a later date.,Sendai Framework Monitoring System as provided by designated national focal points (2019),,C: Country data
1,Goal 1,End poverty in all its forms everywhere,1.5,"By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",C200304,1.5.3,I,UNDRR,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,2019.Q4.G.01,"['means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']",SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,152,Chile,5,5,South America,Country,-71.23029019,-35.2652885,CHL,1,1,"[2015, 2016, 2017, 2018, 2019]",2015,2019,5,IX,Index,G,Global,0.5,0.5,0.4,0.5,0.9,0.9,,,Some of the data has not followed an official validation process and may be subject to revision at a later date.,Sendai Framework Monitoring System as provided by designated national focal points (2019),,C: Country data
1,Goal 1,End poverty in all its forms everywhere,1.5,"By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",C200304,1.5.3,I,UNDRR,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,2019.Q4.G.01,"['means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']",SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,170,Colombia,5,5,South America,Country,-73.07446751,3.888209046,COL,1,1,"[2015, 2016, 2017, 2018]",2015,2018,4,IX,Index,G,Global,0.65,0.65,0.65,0.65,,0.65,,,Some of the data has not followed an official validation process and may be subject to revision at a later date.,Sendai Framework Monitoring System as provided by designated national focal points (2019),,C: Country data
1,Goal 1,End poverty in all its forms everywhere,1.5,"By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",C200304,1.5.3,I,UNDRR,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,2019.Q4.G.01,"['means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']",SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,174,Comoros,5,14,Eastern Africa,Country,43.34234565,-11.66121732,COM,1,1,"[2017, 2018]",2017,2018,2,IX,Index,G,Global,,,0.325,0.0,,0.0,,,Some of the data has not followed an official validation process and may be subject to revision at a later date.,Sendai Framework Monitoring System as provided by designated national focal points (2019),,C: Country data
