goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,age_code,age_desc,sex_code,sex_desc,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",C160202,16.2.2,II,UNODC,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",2019.Q4.G.01,"['trafficking in persons', 'forced labour', 'slavery']",VC_HTF_DETVFL,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,_T,All age ranges or no breaks by age,_T,Both sexes,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2007,2017,11,NUMBER,Number,G,Global,,,,,25.0,90.0,54.0,34.0,91.0,65.0,44.0,16.0,23.0,31.0,43.0,43.0,,,Data in reference to one country but derived from different types of sources should not be compared between them.\n,GLOTIP Database,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",C160202,16.2.2,II,UNODC,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",2019.Q4.G.01,"['trafficking in persons', 'forced labour', 'slavery']",VC_HTF_DETVFL,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,_T,All age ranges or no breaks by age,F,Female,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2010,2017,8,NUMBER,Number,G,Global,,,,,,,,11.0,14.0,18.0,11.0,3.0,4.0,8.0,7.0,7.0,,,Data in reference to one country but derived from different types of sources should not be compared between them.\n,GLOTIP Database,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",C160202,16.2.2,II,UNODC,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",2019.Q4.G.01,"['trafficking in persons', 'forced labour', 'slavery']",VC_HTF_DETVFL,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,_T,All age ranges or no breaks by age,M,Male,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2010,2017,8,NUMBER,Number,G,Global,,,,,,,,23.0,77.0,47.0,33.0,13.0,19.0,23.0,36.0,36.0,,,Data in reference to one country but derived from different types of sources should not be compared between them.\n,GLOTIP Database,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",C160202,16.2.2,II,UNODC,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",2019.Q4.G.01,"['trafficking in persons', 'forced labour', 'slavery']",VC_HTF_DETVFL,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,Y0T17,under 18 years old,M,Male,"[2014, 2015, 2016]",2014,2016,3,NUMBER,Number,G,Global,,,,,,,,,,,,2.0,1.0,2.0,,2.0,,,Data in reference to one country but derived from different types of sources should not be compared between them.\n,GLOTIP Database,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",C160202,16.2.2,II,UNODC,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",2019.Q4.G.01,"['trafficking in persons', 'forced labour', 'slavery']",VC_HTF_DETVFL,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,Y0T17,under 18 years old,F,Female,"[2014, 2015, 2016]",2014,2016,3,NUMBER,Number,G,Global,,,,,,,,,,,,1.0,3.0,1.0,,1.0,,,Data in reference to one country but derived from different types of sources should not be compared between them.\n,GLOTIP Database,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",C160202,16.2.2,II,UNODC,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",2019.Q4.G.01,"['trafficking in persons', 'forced labour', 'slavery']",VC_HTF_DETVFL,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,Y_GE18,18 years old and over,M,Male,"[2014, 2015, 2016]",2014,2016,3,NUMBER,Number,G,Global,,,,,,,,,,,,11.0,20.0,21.0,,21.0,,,Data in reference to one country but derived from different types of sources should not be compared between them.\n,GLOTIP Database,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",C160202,16.2.2,II,UNODC,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",2019.Q4.G.01,"['trafficking in persons', 'forced labour', 'slavery']",VC_HTF_DETVFL,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,Y_GE18,18 years old and over,F,Female,"[2014, 2015, 2016]",2014,2016,3,NUMBER,Number,G,Global,,,,,,,,,,,,2.0,2.0,7.0,,7.0,,,Data in reference to one country but derived from different types of sources should not be compared between them.\n,GLOTIP Database,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",C160202,16.2.2,II,UNODC,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",2019.Q4.G.01,"['trafficking in persons', 'forced labour', 'slavery']",VC_HTF_DETVFL,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,_T,All age ranges or no breaks by age,_T,Both sexes,"[2012, 2013, 2014, 2015, 2016, 2017]",2012,2017,6,NUMBER,Number,G,Global,,,,,,,,,,69.0,107.0,146.0,394.0,100.0,13.0,13.0,,,Data in reference to one country but derived from different types of sources should not be compared between them.\n,GLOTIP Database,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",C160202,16.2.2,II,UNODC,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",2019.Q4.G.01,"['trafficking in persons', 'forced labour', 'slavery']",VC_HTF_DETVFL,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,_T,All age ranges or no breaks by age,M,Male,"[2012, 2013, 2014, 2015, 2016, 2017]",2012,2017,6,NUMBER,Number,G,Global,,,,,,,,,,51.0,80.0,125.0,351.0,77.0,8.0,8.0,,,Data in reference to one country but derived from different types of sources should not be compared between them.\n,GLOTIP Database,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",C160202,16.2.2,II,UNODC,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",2019.Q4.G.01,"['trafficking in persons', 'forced labour', 'slavery']",VC_HTF_DETVFL,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,_T,All age ranges or no breaks by age,F,Female,"[2012, 2013, 2014, 2015, 2016, 2017]",2012,2017,6,NUMBER,Number,G,Global,,,,,,,,,,18.0,27.0,21.0,43.0,23.0,5.0,5.0,,,Data in reference to one country but derived from different types of sources should not be compared between them.\n,GLOTIP Database,,C: Country data
