goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,age_code,age_desc,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2000,lowerbound_2000,upperbound_2000,value_2005,lowerbound_2005,upperbound_2005,value_2010,lowerbound_2010,upperbound_2010,value_2015,lowerbound_2015,upperbound_2015,value_2018,lowerbound_2018,upperbound_2018,latest_value,basePeriod,valueDetails,lowerBoundDetails,upperBoundDetails,footnotes,sources,timeDetails,nature
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['obesity', 'malnutrition', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_OVRWGTN,Children moderately or severely overweight (millions),1,World,1,,,Region,,,,,,Y0T4,under 5 years old,"[2000, 2005, 2010, 2015, 2018]",2000,2018,5,,,G,Global,30.0,26.0,33.0,32.0,28.0,35.0,35.0,31.0,38.0,38.0,33.0,43.0,40.0,34.0,46.0,40.0,,"[2000]: 30,091.8 // [2005]: 32,021.1 // [2010]: 35,222.9 // [2015]: 38,590.2 // [2018]: 40,063.5","[2000]: 26,605.6 // [2005]: 28,799.9 // [2010]: 31,460.4 // [2015]: 33,541.9 // [2018]: 34,043.2","[2000]: 33,577.9 // [2005]: 35,242.4 // [2010]: 38,985.5 // [2015]: 43,638.5 // [2018]: 46,083.9",,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,M: Modeled data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['obesity', 'malnutrition', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_OVRWGTN,Children moderately or severely overweight (millions),143,Central Asia,3,142,Asia,Region,,,,,,Y0T4,under 5 years old,"[2000, 2005, 2010, 2015, 2018]",2000,2018,5,,,G,Global,532.9,326.2,850.6,517.0,369.9,714.7,618.6,421.5,894.8,724.6,401.9,1.0,725.3,345.6,1.0,725.3,,,,"[2015]: 1,262.0 // [2018]: 1,440.7",,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,M: Modeled data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['obesity', 'malnutrition', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_OVRWGTN,Children moderately or severely overweight (millions),145,Western Asia,3,142,Asia,Region,,,,,,Y0T4,under 5 years old,"[2000, 2005, 2010, 2015, 2018]",2000,2018,5,,,G,Global,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,4.0,2.0,980.2,5.0,2.0,,"[2000]: 1,552.1 // [2005]: 1,732.0 // [2010]: 2,022.1 // [2015]: 2,367.0 // [2018]: 2,499.6","[2000]: 1,129.9 // [2005]: 1,182.4 // [2010]: 1,146.9 // [2015]: 1,071.1","[2000]: 2,117.0 // [2005]: 2,508.9 // [2010]: 3,470.2 // [2015]: 4,938.4 // [2018]: 5,858.4",,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,M: Modeled data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['obesity', 'malnutrition', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_OVRWGTN,Children moderately or severely overweight (millions),15,Northern Africa,3,2,Africa,Region,,,,,,Y0T4,under 5 years old,"[2000, 2005, 2010, 2015, 2018]",2000,2018,5,,,G,Global,1.0,919.9,2.0,1.0,991.4,3.0,2.0,1.0,4.0,2.0,1.0,5.0,3.0,1.0,6.0,3.0,,"[2000]: 1,673.0 // [2005]: 1,897.1 // [2010]: 2,264.5 // [2015]: 2,854.4 // [2018]: 3,027.2","[2010]: 1,121.7 // [2015]: 1,337.8 // [2018]: 1,371.5","[2000]: 2,950.1 // [2005]: 3,490.4 // [2010]: 4,349.8 // [2015]: 5,722.3 // [2018]: 6,223.0",,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,M: Modeled data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['obesity', 'malnutrition', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_OVRWGTN,Children moderately or severely overweight (millions),199,Least Developed Countries (LDC),1,,,Group,,,,,,Y0T4,under 5 years old,"[2000, 2005, 2010, 2015, 2018]",2000,2018,5,,,G,Global,2.0,1.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,5.0,4.0,6.0,5.0,4.0,7.0,5.0,,"[2000]: 2,457.3 // [2005]: 3,163.7 // [2010]: 3,997.8 // [2015]: 5,007.6 // [2018]: 5,731.0","[2000]: 1,246.2 // [2005]: 2,042.5 // [2010]: 3,165.2 // [2015]: 4,035.9 // [2018]: 4,163.1","[2000]: 4,793.1 // [2005]: 4,875.2 // [2010]: 5,040.8 // [2015]: 6,202.6 // [2018]: 7,857.1",,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,M: Modeled data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['obesity', 'malnutrition', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_OVRWGTN,Children moderately or severely overweight (millions),202,Sub-Saharan Africa,3,2,Africa,Region,,,,,,Y0T4,under 5 years old,"[2000, 2005, 2010, 2015, 2018]",2000,2018,5,,,G,Global,4.0,4.0,5.0,5.0,4.0,6.0,5.0,5.0,6.0,6.0,5.0,7.0,6.0,5.0,7.0,6.0,,"[2000]: 4,902.3 // [2005]: 5,348.0 // [2010]: 5,814.5 // [2015]: 6,266.6 // [2018]: 6,494.4","[2000]: 4,148.9 // [2005]: 4,596.9 // [2010]: 5,050.9 // [2015]: 5,461.9 // [2018]: 5,647.1","[2000]: 5,655.8 // [2005]: 6,099.1 // [2010]: 6,578.0 // [2015]: 7,071.4 // [2018]: 7,341.8",,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,M: Modeled data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['obesity', 'malnutrition', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_OVRWGTN,Children moderately or severely overweight (millions),30,Eastern Asia,3,142,Asia,Region,,,,,,Y0T4,under 5 years old,"[2000, 2005, 2010, 2015, 2018]",2000,2018,5,,,G,Global,5.0,5.0,6.0,5.0,4.0,6.0,5.0,4.0,6.0,5.0,5.0,6.0,5.0,4.0,6.0,5.0,,"[2000]: 5,678.9 // [2005]: 5,434.8 // [2010]: 5,594.8 // [2015]: 5,794.3 // [2018]: 5,664.7","[2000]: 5,097.4 // [2005]: 4,842.6 // [2010]: 4,948.5 // [2015]: 5,087.3 // [2018]: 4,951.5","[2000]: 6,321.7 // [2005]: 6,094.1 // [2010]: 6,319.1 // [2015]: 6,592.1 // [2018]: 6,472.7",excluding Japan,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,M: Modeled data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['obesity', 'malnutrition', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_OVRWGTN,Children moderately or severely overweight (millions),34,Southern Asia,3,142,Asia,Region,,,,,,Y0T4,under 5 years old,"[2000, 2005, 2010, 2015, 2018]",2000,2018,5,,,G,Global,4.0,2.0,7.0,4.0,3.0,6.0,5.0,4.0,5.0,5.0,3.0,7.0,5.0,3.0,9.0,5.0,,"[2000]: 4,613.3 // [2005]: 4,917.3 // [2010]: 5,232.2 // [2015]: 5,360.4 // [2018]: 5,501.3","[2000]: 2,880.9 // [2005]: 3,939.3 // [2010]: 4,585.8 // [2015]: 3,766.1 // [2018]: 3,316.7","[2000]: 7,344.5 // [2005]: 6,129.7 // [2010]: 5,966.7 // [2015]: 7,600.3 // [2018]: 9,049.7",,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,M: Modeled data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['obesity', 'malnutrition', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_OVRWGTN,Children moderately or severely overweight (millions),35,South-Eastern Asia,3,142,Asia,Region,,,,,,Y0T4,under 5 years old,"[2000, 2005, 2010, 2015, 2018]",2000,2018,5,,,G,Global,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,4.0,3.0,2.0,6.0,4.0,2.0,8.0,4.0,,"[2000]: 1,724.1 // [2005]: 2,261.3 // [2010]: 2,930.7 // [2015]: 3,838.0 // [2018]: 4,422.6","[2000]: 1,386.5 // [2005]: 1,634.1 // [2010]: 1,871.1 // [2015]: 2,156.3 // [2018]: 2,301.7","[2000]: 2,140.8 // [2005]: 3,115.3 // [2010]: 4,540.4 // [2015]: 6,673.9 // [2018]: 8,207.7",,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,M: Modeled data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['obesity', 'malnutrition', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_OVRWGTN,Children moderately or severely overweight (millions),419,Latin America and the Caribbean,3,19,Americas,Region,,,,,,Y0T4,under 5 years old,"[2000, 2005, 2010, 2015, 2018]",2000,2018,5,,,G,Global,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,,"[2000]: 3,773.1 // [2005]: 3,799.2 // [2010]: 3,806.9 // [2015]: 3,919.1 // [2018]: 3,973.6","[2000]: 3,159.0 // [2005]: 3,295.4 // [2010]: 3,374.8 // [2015]: 3,485.3 // [2018]: 3,507.4","[2000]: 4,387.3 // [2005]: 4,303.0 // [2010]: 4,239.0 // [2015]: 4,352.9 // [2018]: 4,439.8",,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,M: Modeled data
