goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	age_code	age_desc	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2003	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
5	Goal 5	Achieve gender equality and empower all women and girls	5.3	Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation	C050301	5.3.1	I	UNICEF	Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18	2019.Q4.G.01	['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married or in a union before age 15 (%)	1	World	1			Region						Y20T24	20 to 24 years old	F	Female	[2003, 2008, 2013, 2018]	2003	2018	4	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global	8.1				7.5					6.4					5.0	5.0			Based on 105 countries covering 77 per cent of the global population of women aged 20-24 years	DHS, MICS and other national surveys		E: Estimated data
5	Goal 5	Achieve gender equality and empower all women and girls	5.3	Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation	C050301	5.3.1	I	UNICEF	Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18	2019.Q4.G.01	['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married or in a union before age 15 (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y20T24	20 to 24 years old	F	Female	[2015]	2015	2015	1	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global												1.9				1.9				DHS 2015		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.3	Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation	C050301	5.3.1	I	UNICEF	Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18	2019.Q4.G.01	['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married or in a union before age 15 (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	Y20T24	20 to 24 years old	F	Female	[2017]	2017	2017	1	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global														2.8		2.8				DHS 2016-17		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.3	Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation	C050301	5.3.1	I	UNICEF	Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18	2019.Q4.G.01	['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married or in a union before age 15 (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	Y20T24	20 to 24 years old	F	Female	[2012]	2012	2012	1	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global									0.0							0.0				MICS 2012		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.3	Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation	C050301	5.3.1	I	UNICEF	Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18	2019.Q4.G.01	['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married or in a union before age 15 (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	Y20T24	20 to 24 years old	F	Female	[2014]	2014	2014	1	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global											1.9					1.9				DHS 2014		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.3	Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation	C050301	5.3.1	I	UNICEF	Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18	2019.Q4.G.01	['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married or in a union before age 15 (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	Y20T24	20 to 24 years old	F	Female	[2013]	2013	2013	1	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global										0.4						0.4				MICS 2012-13		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.3	Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation	C050301	5.3.1	I	UNICEF	Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18	2019.Q4.G.01	['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married or in a union before age 15 (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	Y20T24	20 to 24 years old	F	Female	[2014]	2014	2014	1	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global											10.2					10.2				MICS 2014		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.3	Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation	C050301	5.3.1	I	UNICEF	Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18	2019.Q4.G.01	['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married or in a union before age 15 (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	Y20T24	20 to 24 years old	F	Female	[2005]	2005	2005	1	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global		2.8														2.8				DHS 2005		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.3	Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation	C050301	5.3.1	I	UNICEF	Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18	2019.Q4.G.01	['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married or in a union before age 15 (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1	Y20T24	20 to 24 years old	F	Female	[2010]	2010	2010	1	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global							29.1									29.1				MICS 2010		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.3	Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation	C050301	5.3.1	I	UNICEF	Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18	2019.Q4.G.01	['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married or in a union before age 15 (%)	143	Central Asia	3	142	Asia	Region						Y20T24	20 to 24 years old	F	Female	[2003, 2008, 2013, 2018]	2003	2018	4	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global	0.3				0.1					0.2					0.3	0.3			Based on 4 countries covering 52 per cent of the regional population of women aged 20-24 years	DHS, MICS and other national surveys		E: Estimated data
