goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,age_code,age_desc,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_1991,lowerbound_1991,upperbound_1991,value_2000,lowerbound_2000,upperbound_2000,value_2001,lowerbound_2001,upperbound_2001,value_2002,lowerbound_2002,upperbound_2002,value_2003,lowerbound_2003,upperbound_2003,value_2004,lowerbound_2004,upperbound_2004,value_2005,lowerbound_2005,upperbound_2005,value_2006,lowerbound_2006,upperbound_2006,value_2007,lowerbound_2007,upperbound_2007,value_2008,lowerbound_2008,upperbound_2008,value_2009,lowerbound_2009,upperbound_2009,value_2010,lowerbound_2010,upperbound_2010,value_2011,lowerbound_2011,upperbound_2011,value_2012,lowerbound_2012,upperbound_2012,value_2013,lowerbound_2013,upperbound_2013,value_2014,lowerbound_2014,upperbound_2014,value_2015,lowerbound_2015,upperbound_2015,value_2016,lowerbound_2016,upperbound_2016,value_2017,lowerbound_2017,upperbound_2017,value_2018,lowerbound_2018,upperbound_2018,latest_value,basePeriod,valueDetails,lowerBoundDetails,upperBoundDetails,footnotes,sources,timeDetails,nature
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['hunger', 'malnutrition', 'food shortage', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_WASTE,Proportion of children moderately or severely wasted (%),1,World,1,,,Region,,,,,,Y0T4,under 5 years old,[2018],2018,2018,1,PT,% of children aged 0-59 months,G,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.29,6.07,8.51,7.29,,,,,,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,M: Modeled data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['hunger', 'malnutrition', 'food shortage', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_WASTE,Proportion of children moderately or severely wasted (%),100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,Y0T4,under 5 years old,[2004],2004,2004,1,PT,% of children aged 0-59 months,G,Global,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,Age interval 1-5; unadjusted;,"National monitoring of dietary intake and nutritional status of Bulgarian population, 2004. Department of Nutrition and Public Health, National Center of Public Health Protection, Sofia, Bulgaria (and additional analysis).",,CA: Country adjusted data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['hunger', 'malnutrition', 'food shortage', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_WASTE,Proportion of children moderately or severely wasted (%),104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,Y0T4,under 5 years old,"[2000, 2003, 2009, 2016]",2000,2016,4,PT,% of children aged 0-59 months,G,Global,,,,10.69,,,,,,,,,10.7,,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,6.63,,,,,,,,,6.63,,,,,,"[2000]: Union of Myanmar monitoring national programme of action goals though multiple indicator cluster survey 2000. Yangon, Myanmar, 2001 (and additional analysis). // [2003]: Multiple indicator cluster survey 2003 (MICS). Yangon, Myanmar, 2004 (and additional analysis). // [2009]: Myanmar multiple indicator cluster survey 2009 - 2010: Final Report (MICS3). Nay Pyi Taw, Myanmar: Ministry of National Planning and Economic Development and Ministry of Health, 2011. // [2016]: Myanmar Demographic and Health Survey 2015-16: Final Report. 2016 (and additional analysis)",,CA: Country adjusted data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['hunger', 'malnutrition', 'food shortage', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_WASTE,Proportion of children moderately or severely wasted (%),108,Burundi,5,14,Eastern Africa,Country,29.89080992,-3.366387428,BDI,1,1,Y0T4,under 5 years old,"[2000, 2005, 2010, 2016]",2000,2016,4,PT,% of children aged 0-59 months,G,Global,,,,9.9,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,5.98,,,,,,,,,,,,,,,,,,5.09,,,,,,,,,5.09,,,,,[2005]: Converted estimates,"[2000]: Enquęte nationale d'evaluation des conditions de vie de l'enfant et de la femme au Burundi (ENECEF-BURUNDI 2000): Rapport final (MICS). Bujumbura: République du Burundi and UNICEF, 2001 (and additional analysis). // [2005]: Rapport de l'enquęte nationale de nutrition de la population, 2005. Bujumbura, Burundi, October 2006 (and additional analysis). // [2010]: Enquęte démographique et de santé Burundi 2010. Demographic and Health Surveys. Bujumbura, Burundi : ISTEEBU, MSPLS, et ICF International, 2012 (and additional analysis). // [2016]: Troisičme Enquęte Démographique et de Santé. Bujumbura, Burundi 2016-17: ISTEEBU, MSPLS, et ICF (and additional analysis)",,CA: Country adjusted data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['hunger', 'malnutrition', 'food shortage', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_WASTE,Proportion of children moderately or severely wasted (%),112,Belarus,4,151,Eastern Europe,Country,28.04940161,53.54193075,BLR,1,1,Y0T4,under 5 years old,[2005],2005,2005,1,PT,% of children aged 0-59 months,G,Global,,,,,,,,,,,,,,,,,,,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,,,,,,"Belarus multiple indicator cluster survey 2005, final report. Minsk, Republic of Belarus: Ministry of Statistics and Analysis [Belarus] and Research Institute of Statistics of the MSA [Belarus], 2007 (and additional analysis).",,CA: Country adjusted data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['hunger', 'malnutrition', 'food shortage', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_WASTE,Proportion of children moderately or severely wasted (%),116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,Y0T4,under 5 years old,"[2000, 2005, 2008, 2010, 2014]",2000,2014,5,PT,% of children aged 0-59 months,G,Global,,,,17.09,,,,,,,,,,,,,,,8.5,,,,,,,,,9.08,,,,,,11.03,,,,,,,,,,,,9.84,,,,,,,,,,,,,,,9.84,,,,,,"[2000]: Cambodia demographic and health survey 2000. Demographic and Health Surveys. Phnom Penh, Cambodia, and Calverton, Maryland, USA: National Institute of Statistics, Directorate General for Health, and ORC Macro, 2001 (and additional analysis). // [2005]: Cambodia demographic and health survey 2005. Demographic and Health Surveys. Phnom Penh, Cambodia and Calverton, Maryland, USA: National Institute of Public Health, National Institute of Statistics and ORC Macro, 2006 (and additional analysis). // [2008]: Cambodia anthropometrics survey 2008. Phnom Penh, Cambodia: National Institute of Statistics, Ministry of Planning and UNICEF Cambodia, 2009 (and additional analysis). // [2010]: Cambodia demographic and health survey 2010. Demographic and Health Surveys. Phnom Penh, Cambodia and Calverton, Maryland, USA: National Institute of Statistics, Directorate General for Health, and ICF Macro, 2011 (and additional analysis). // [2014]: Cambodia Demographic and Health Survey 2014. Phnom Penh, Cambodia, and Rockville, Maryland, USA: National Institute of Statistics, Directorate General for Health, and ICF International (and additional analysis)",,CA: Country adjusted data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['hunger', 'malnutrition', 'food shortage', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_WASTE,Proportion of children moderately or severely wasted (%),12,Algeria,4,15,Northern Africa,Country,2.678164227,28.15940032,DZA,1,1,Y0T4,under 5 years old,"[2000, 2002, 2005, 2012]",2000,2012,4,PT,% of children aged 0-59 months,G,Global,,,,3.1,,,,,,9.62,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,4.11,,,,,,,,,,,,,,,,,,,,,4.11,,,,,,"[2000]: Enquęte nationale sur les objectives de la fin décennie santé mčre et enfant EDG Algérie 2000 (MICS). Institut National de Santé Publique. République Algérienne Démocratique et Populaire, 2001 (and additional analysis). // [2002]: Enquęte Algérienne sur la santé de la famille-2002: Rapport principal. Alger, Algérie: Agence Nationale de la Documentation en Santé, 2004 (and additional analysis). // [2005]: Suivi de la situation des enfant et des femmes. Enquęte nationale ŕ indicateurs multiples: Rapport principal. MICS3. République Algérienne Démocratique et Populaire, Décembre 2008 (and additional analysis). // [2012]: République Algérienne Démocratiqe et Populaire enquęte par grappes ŕ indicateurs mulitples (MICS) 2012-2013. Rapport final. Ministčre de la Santé, de la Population et de la Réforme Hospitaličre, 2015 (and additional analysis)",,CA: Country adjusted data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['hunger', 'malnutrition', 'food shortage', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_WASTE,Proportion of children moderately or severely wasted (%),120,Cameroon,5,17,Middle Africa,Country,12.7419827,5.692387031,CMR,1,1,Y0T4,under 5 years old,"[2004, 2006, 2011, 2014]",2004,2014,4,PT,% of children aged 0-59 months,G,Global,,,,,,,,,,,,,,,,6.23,,,,,,8.16,,,,,,,,,,,,,,,5.72,,,,,,,,,5.22,,,,,,,,,,,,,,,5.22,,,,,,"[2004]: Enquęte démographique et de santé du Cameroun 2004. Demographic and Health Surveys. Calverton, Maryland, USA: INS et ORC Macro, 2004 (and additional analysis). // [2006]: Cameroun: Suivi de la situation des enfants et des femmes. Enquęte par grappee ŕ indicateurs multiples 2006. Rapport principal. Yaoundé, Cameroun: Institut National de la Statistique et UNICEF, 2008 (and additional analysis). // [2011]: Enquęte démographique et de santé et ŕ indicateurs multiples du Cameroun 2011. Demographic and Health Surveys and MICS. Calverton, Maryland, USA : INS et ICF International, 2012 (and additional analysis) // [2014]: Enquęte par grappes ŕ indicateurs multiples (MICS5), 2014, Rapport Final. Yaoundé, Cameroun, Institut National de la Statistique (and additional analysis)",,CA: Country adjusted data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['hunger', 'malnutrition', 'food shortage', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_WASTE,Proportion of children moderately or severely wasted (%),140,Central African Republic,5,17,Middle Africa,Country,20.93559492,7.003720791,CAF,1,1,Y0T4,under 5 years old,"[2000, 2006, 2010, 2012]",2000,2012,4,PT,% of children aged 0-59 months,G,Global,,,,10.41,,,,,,,,,,,,,,,,,,12.62,,,,,,,,,,,,8.3,,,,,,7.57,,,,,,,,,,,,,,,,,,,,,7.57,,,,,,"[2000]: Enquęte ŕ indicateurs mutliples - MICS 2000. Rapport Final. Bangui, République Centrafricaine: BBA editions, 2001 (and additional analysis). // [2006]: Suivi de la situation des enfants et des femmes. MICS-3 Résultats de l'enquęte nationale ŕ indicateurs multiples couplée avec la sérologie VIH et enémie en RCA 2006. Bangui, Republique Centrafricaine: ICASEES, 2009 (and additional analysis). // [2010]: Suivi de la situation des enfants, des femmes et des hommes. Enquęte par grappes ŕ indicateurs multiples - MICS couplée avec la sérologie VIH, RCA, 2010: Rapport final. Bangui, RCA: ICASEES, 2012 (and additional analysis) // [2012]: Enquete Nationale Sur La Situation Nutritionnelle et la Mortalité en Republique Centrafricaine, Rapport Finale du 30 Mai au 15 Juillet 2012 (and additional analysis)",,CA: Country adjusted data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",C020202,2.2.2,I,"UNICEF, WHO","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2019.Q4.G.01,"['hunger', 'malnutrition', 'food shortage', 'child nutrition', 'child health', 'health', 'child development', 'children']",SH_STA_WASTE,Proportion of children moderately or severely wasted (%),143,Central Asia,3,142,Asia,Region,,,,,,Y0T4,under 5 years old,[2018],2018,2018,1,PT,% of children aged 0-59 months,G,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,3.0,4.27,3.58,,,,,,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,M: Modeled data
