goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2007	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.3	By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university	C040301	4.3.1	II	UNESCO-UIS	Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex	2019.Q4.G.01	['education', 'youth']	SE_ADT_EDUCTRN	Participation rate in formal and non-formal education and training, by sex (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	M	Male	[2007, 2011, 2016]	2007	2016	3	PT	Percentage	G	Global	37.9	27.5					24.5	24.5				Adult Education Survey (AES)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.3	By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university	C040301	4.3.1	II	UNESCO-UIS	Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex	2019.Q4.G.01	['education', 'youth']	SE_ADT_EDUCTRN	Participation rate in formal and non-formal education and training, by sex (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	F	Female	[2007, 2011, 2016]	2007	2016	3	PT	Percentage	G	Global	35.0	24.6					24.7	24.7				Adult Education Survey (AES)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.3	By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university	C040301	4.3.1	II	UNESCO-UIS	Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex	2019.Q4.G.01	['education', 'youth']	SE_ADT_EDUCTRN	Participation rate in formal and non-formal education and training, by sex (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	_T	Both sexes	[2007, 2011, 2016]	2007	2016	3	PT	Percentage	G	Global	36.4	26.0					24.6	24.6				Adult Education Survey (AES)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.3	By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university	C040301	4.3.1	II	UNESCO-UIS	Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex	2019.Q4.G.01	['education', 'youth']	SE_ADT_EDUCTRN	Participation rate in formal and non-formal education and training, by sex (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	_T	Both sexes	[2012]	2012	2012	1	PT	Percentage	G	Global			57.74635					57.74635				Programme for the International Assessment of Adult Competencies (PIAAC)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.3	By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university	C040301	4.3.1	II	UNESCO-UIS	Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex	2019.Q4.G.01	['education', 'youth']	SE_ADT_EDUCTRN	Participation rate in formal and non-formal education and training, by sex (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	F	Female	[2012]	2012	2012	1	PT	Percentage	G	Global			57.10773					57.10773				Programme for the International Assessment of Adult Competencies (PIAAC)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.3	By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university	C040301	4.3.1	II	UNESCO-UIS	Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex	2019.Q4.G.01	['education', 'youth']	SE_ADT_EDUCTRN	Participation rate in formal and non-formal education and training, by sex (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	M	Male	[2012]	2012	2012	1	PT	Percentage	G	Global			58.38973					58.38973				Programme for the International Assessment of Adult Competencies (PIAAC)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.3	By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university	C040301	4.3.1	II	UNESCO-UIS	Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex	2019.Q4.G.01	['education', 'youth']	SE_ADT_EDUCTRN	Participation rate in formal and non-formal education and training, by sex (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1	F	Female	[2015]	2015	2015	1	PT	Percentage	G	Global						41.70011		41.70011				Programme for the International Assessment of Adult Competencies (PIAAC)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.3	By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university	C040301	4.3.1	II	UNESCO-UIS	Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex	2019.Q4.G.01	['education', 'youth']	SE_ADT_EDUCTRN	Participation rate in formal and non-formal education and training, by sex (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1	M	Male	[2015]	2015	2015	1	PT	Percentage	G	Global						52.52633		52.52633				Programme for the International Assessment of Adult Competencies (PIAAC)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.3	By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university	C040301	4.3.1	II	UNESCO-UIS	Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex	2019.Q4.G.01	['education', 'youth']	SE_ADT_EDUCTRN	Participation rate in formal and non-formal education and training, by sex (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1	_T	Both sexes	[2015]	2015	2015	1	PT	Percentage	G	Global						47.09336		47.09336				Programme for the International Assessment of Adult Competencies (PIAAC)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.3	By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university	C040301	4.3.1	II	UNESCO-UIS	Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex	2019.Q4.G.01	['education', 'youth']	SE_ADT_EDUCTRN	Participation rate in formal and non-formal education and training, by sex (%)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	_T	Both sexes	[2007, 2016]	2007	2016	2	PT	Percentage	G	Global	21.2						31.8	31.8				Adult Education Survey (AES)		C: Country data
