goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.5	Substantially reduce corruption and bribery in all their forms	C160502	16.5.2	II	World Bank, UNODC	Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months	2019.Q4.G.01	['rule of law', 'bribery', 'corruption', 'crime']	IC_FRM_BRIB	Bribery incidence (% of firms experiencing at least one bribe payment request)	1	World	1			Region						[2018]	2018	2018	1	PT	Percentage	G	Global													19.32695	19.32695				WDI		E: Estimated data
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.5	Substantially reduce corruption and bribery in all their forms	C160502	16.5.2	II	World Bank, UNODC	Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months	2019.Q4.G.01	['rule of law', 'bribery', 'corruption', 'crime']	IC_FRM_BRIB	Bribery incidence (% of firms experiencing at least one bribe payment request)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	[2007, 2009, 2013]	2007	2013	3	PT	Percentage	G	Global		6.66706		10.87277				8.888						8.888				WDI		E: Estimated data
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.5	Substantially reduce corruption and bribery in all their forms	C160502	16.5.2	II	World Bank, UNODC	Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months	2019.Q4.G.01	['rule of law', 'bribery', 'corruption', 'crime']	IC_FRM_BRIB	Bribery incidence (% of firms experiencing at least one bribe payment request)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	[2014, 2016]	2014	2016	2	PT	Percentage	G	Global									42.87528		29.33426			29.33426				WDI		E: Estimated data
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.5	Substantially reduce corruption and bribery in all their forms	C160502	16.5.2	II	World Bank, UNODC	Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months	2019.Q4.G.01	['rule of law', 'bribery', 'corruption', 'crime']	IC_FRM_BRIB	Bribery incidence (% of firms experiencing at least one bribe payment request)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	[2006, 2014]	2006	2014	2	PT	Percentage	G	Global	25.25732								30.25503					30.25503				WDI		E: Estimated data
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.5	Substantially reduce corruption and bribery in all their forms	C160502	16.5.2	II	World Bank, UNODC	Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months	2019.Q4.G.01	['rule of law', 'bribery', 'corruption', 'crime']	IC_FRM_BRIB	Bribery incidence (% of firms experiencing at least one bribe payment request)	11	Western Africa	4	202	Sub-Saharan Africa	Region						[2018]	2018	2018	1	PT	Percentage	G	Global													26.61239	26.61239				WDI		E: Estimated data
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.5	Substantially reduce corruption and bribery in all their forms	C160502	16.5.2	II	World Bank, UNODC	Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months	2019.Q4.G.01	['rule of law', 'bribery', 'corruption', 'crime']	IC_FRM_BRIB	Bribery incidence (% of firms experiencing at least one bribe payment request)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	[2008, 2013]	2008	2013	2	PT	Percentage	G	Global			15.46962					8.865						8.865				WDI		E: Estimated data
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.5	Substantially reduce corruption and bribery in all their forms	C160502	16.5.2	II	World Bank, UNODC	Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months	2019.Q4.G.01	['rule of law', 'bribery', 'corruption', 'crime']	IC_FRM_BRIB	Bribery incidence (% of firms experiencing at least one bribe payment request)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	[2013, 2016]	2013	2016	2	PT	Percentage	G	Global								69.36211			64.65961			64.65961				WDI		E: Estimated data
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.5	Substantially reduce corruption and bribery in all their forms	C160502	16.5.2	II	World Bank, UNODC	Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months	2019.Q4.G.01	['rule of law', 'bribery', 'corruption', 'crime']	IC_FRM_BRIB	Bribery incidence (% of firms experiencing at least one bribe payment request)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	[2009, 2016]	2009	2016	2	PT	Percentage	G	Global				33.93142							26.68601			26.68601				WDI		E: Estimated data
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.5	Substantially reduce corruption and bribery in all their forms	C160502	16.5.2	II	World Bank, UNODC	Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months	2019.Q4.G.01	['rule of law', 'bribery', 'corruption', 'crime']	IC_FRM_BRIB	Bribery incidence (% of firms experiencing at least one bribe payment request)	13	Central America	4	419	Latin America and the Caribbean	Region						[2018]	2018	2018	1	PT	Percentage	G	Global													8.71843	8.71843				WDI		E: Estimated data
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.5	Substantially reduce corruption and bribery in all their forms	C160502	16.5.2	II	World Bank, UNODC	Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months	2019.Q4.G.01	['rule of law', 'bribery', 'corruption', 'crime']	IC_FRM_BRIB	Bribery incidence (% of firms experiencing at least one bribe payment request)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	[2009]	2009	2009	1	PT	Percentage	G	Global				2.01384										2.01384				WDI		E: Estimated data
