goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,quantile_code,quantile_desc,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_1998,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare']",SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),1,World,1,,,Region,,,,,,Q1,Quintile 1 (poorest),[2016],2016,2016,1,PT,Percentage,G,Global,,,,,,,,,,,,,,,,,,61.74647,61.74647,,,,"World Development Indicators database, World Bank",,CA: Country adjusted data
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare']",SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),1,World,1,,,Region,,,,,,_T,Total (national average) or no breakdown,[2016],2016,2016,1,PT,Percentage,G,Global,,,,,,,,,,,,,,,,,,48.29495,48.29495,,,,"World Development Indicators database, World Bank",,CA: Country adjusted data
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare']",SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,Q1,Quintile 1 (poorest),[2007],2007,2007,1,PT,Percentage,G,Global,,,,,,,,,57.58197,,,,,,,,,,57.58197,,,Multi-Topic Household Survey,National Statistical Institute - Government of Republic of Bulgaria,,CA: Country adjusted data
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare']",SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,_T,Total (national average) or no breakdown,[2007],2007,2007,1,PT,Percentage,G,Global,,,,,,,,,39.53488,,,,,,,,,,39.53488,,,Multi-Topic Household Survey,National Statistical Institute - Government of Republic of Bulgaria,,CA: Country adjusted data
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare']",SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),11,Western Africa,4,202,Sub-Saharan Africa,Region,,,,,,Q1,Quintile 1 (poorest),[2016],2016,2016,1,PT,Percentage,G,Global,,,,,,,,,,,,,,,,,,8.26114,8.26114,,,,"World Development Indicators database, World Bank",,CA: Country adjusted data
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare']",SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),11,Western Africa,4,202,Sub-Saharan Africa,Region,,,,,,_T,Total (national average) or no breakdown,[2016],2016,2016,1,PT,Percentage,G,Global,,,,,,,,,,,,,,,,,,7.68388,7.68388,,,,"World Development Indicators database, World Bank",,CA: Country adjusted data
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare']",SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),112,Belarus,4,151,Eastern Europe,Country,28.04940161,53.54193075,BLR,1,1,Q1,Quintile 1 (poorest),"[2008, 2009, 2010, 2012, 2013, 2015, 2016]",2008,2016,7,PT,Percentage,G,Global,,,,,,,,,,69.87466,71.10538,68.86802,,66.19946,62.91737,,60.86168,64.8575,64.8575,,,"[2008-2010]: Household Sample Survey // [2012-2013,2015-2016]: Household Sample Survey",National Statistical Committee of the Republic of Belarus,,CA: Country adjusted data
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare']",SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),112,Belarus,4,151,Eastern Europe,Country,28.04940161,53.54193075,BLR,1,1,_T,Total (national average) or no breakdown,"[2008, 2009, 2010, 2012, 2013, 2015, 2016]",2008,2016,7,PT,Percentage,G,Global,,,,,,,,,,59.94743,58.55187,58.2791,,57.30478,54.09911,,52.7002,54.08126,54.08126,,,"[2008-2010]: Household Sample Survey // [2012-2013,2015-2016]: Household Sample Survey",National Statistical Committee of the Republic of Belarus,,CA: Country adjusted data
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare']",SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),120,Cameroon,5,17,Middle Africa,Country,12.7419827,5.692387031,CMR,1,1,_T,Total (national average) or no breakdown,"[2007, 2014]",2007,2014,2,PT,Percentage,G,Global,,,,,,,,,1.36522,,,,,,,0.87445,,,0.87445,,,[2007]: Troisieme Enquete Camerounaise Aupres des Menages 2007 // [2014]: QuatriĂ¨me EnquĂŞte Camerounaise AuprĂ¨s des MĂŠnages 2014 (ECAM4),"[2007]: Institut National de la Statistique (INS) - Ministere de l'Economie, de la Planification et de lâAmenagement du Territoire // [2014]: Institut National de la Statistique - MinistĂ¨re de l'Economie, de la Planification et de l'AmĂŠnagement du Territoire",,CA: Country adjusted data
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare']",SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),120,Cameroon,5,17,Middle Africa,Country,12.7419827,5.692387031,CMR,1,1,Q1,Quintile 1 (poorest),"[2007, 2014]",2007,2014,2,PT,Percentage,G,Global,,,,,,,,,0.18161,,,,,,,0.0,,,0.0,,,[2007]: Troisieme Enquete Camerounaise Aupres des Menages 2007 // [2014]: QuatriĂ¨me EnquĂŞte Camerounaise AuprĂ¨s des MĂŠnages 2014 (ECAM4),"[2007]: Institut National de la Statistique (INS) - Ministere de l'Economie, de la Planification et de lâAmenagement du Territoire // [2014]: Institut National de la Statistique - MinistĂ¨re de l'Economie, de la Planification et de l'AmĂŠnagement du Territoire",,CA: Country adjusted data
