goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,age_code,age_desc,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.10,"Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all",C081001,8.10.1,I,IMF,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",2019.Q4.G.01,['financial services'],FB_CBK_BRCH,"Number of commercial bank branches per 100,000 adults",1,World,1,,,Region,,,,,,Y_GE15,15 years old and over,"[2010, 2015, 2017]",2010,2017,3,NUMBER,Number,G,Global,,,,,,,14.49,,,,,15.0,,14.76,14.76,,,Number of countries covered: 186,"Financial Access Survey (FAS), Statistics Department, International Monetary Fund (IMF)",,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.10,"Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all",C081001,8.10.1,I,IMF,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",2019.Q4.G.01,['financial services'],FB_CBK_BRCH,"Number of commercial bank branches per 100,000 adults",100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,Y_GE15,15 years old and over,"[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2004,2017,14,NUMBER,Number,G,Global,84.92,85.41,84.48,88.27,92.17,92.05,91.65,59.82,61.15,60.58,60.21,60.14,48.39,50.87,50.87,,,,"Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS",,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.10,"Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all",C081001,8.10.1,I,IMF,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",2019.Q4.G.01,['financial services'],FB_CBK_BRCH,"Number of commercial bank branches per 100,000 adults",104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,Y_GE15,15 years old and over,"[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2004,2017,14,NUMBER,Number,G,Global,1.82,1.73,1.43,1.45,1.48,1.5,1.54,1.69,1.87,2.76,3.42,3.38,3.41,4.7,4.7,,,,"Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS",,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.10,"Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all",C081001,8.10.1,I,IMF,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",2019.Q4.G.01,['financial services'],FB_CBK_BRCH,"Number of commercial bank branches per 100,000 adults",108,Burundi,5,14,Eastern Africa,Country,29.89080992,-3.366387428,BDI,1,1,Y_GE15,15 years old and over,"[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]",2004,2016,13,NUMBER,Number,G,Global,1.56,1.59,1.71,1.83,1.87,2.03,2.26,2.48,2.7,3.21,3.14,3.18,3.17,,3.17,,,,"Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS",,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.10,"Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all",C081001,8.10.1,I,IMF,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",2019.Q4.G.01,['financial services'],FB_CBK_BRCH,"Number of commercial bank branches per 100,000 adults",112,Belarus,4,151,Eastern Europe,Country,28.04940161,53.54193075,BLR,1,1,Y_GE15,15 years old and over,"[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2004,2017,14,NUMBER,Number,G,Global,6.1,5.8,5.57,4.88,4.39,3.67,3.19,2.1,1.71,1.56,1.2,0.89,0.86,0.78,0.78,,,,"Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS",,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.10,"Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all",C081001,8.10.1,I,IMF,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",2019.Q4.G.01,['financial services'],FB_CBK_BRCH,"Number of commercial bank branches per 100,000 adults",116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,Y_GE15,15 years old and over,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2006,2017,12,NUMBER,Number,G,Global,,,2.33,3.03,3.14,3.96,4.12,4.28,4.49,4.77,5.69,6.12,7.24,7.52,7.52,,,,"Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS",,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.10,"Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all",C081001,8.10.1,I,IMF,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",2019.Q4.G.01,['financial services'],FB_CBK_BRCH,"Number of commercial bank branches per 100,000 adults",12,Algeria,4,15,Northern Africa,Country,2.678164227,28.15940032,DZA,1,1,Y_GE15,15 years old and over,"[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2004,2017,14,NUMBER,Number,G,Global,4.7,4.7,4.92,5.04,5.21,5.14,5.03,5.16,5.2,5.19,5.19,5.23,5.23,5.23,5.23,,,,"Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS",,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.10,"Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all",C081001,8.10.1,I,IMF,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",2019.Q4.G.01,['financial services'],FB_CBK_BRCH,"Number of commercial bank branches per 100,000 adults",120,Cameroon,5,17,Middle Africa,Country,12.7419827,5.692387031,CMR,1,1,Y_GE15,15 years old and over,"[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",2004,2014,11,NUMBER,Number,G,Global,0.49,1.01,1.1,1.14,1.23,1.32,1.71,1.76,1.86,1.99,2.01,,,,2.01,,,,"Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS",,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.10,"Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all",C081001,8.10.1,I,IMF,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",2019.Q4.G.01,['financial services'],FB_CBK_BRCH,"Number of commercial bank branches per 100,000 adults",124,Canada,4,21,Northern America,Country,-101.6575058,57.72360191,CAN,1,1,Y_GE15,15 years old and over,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2006,2017,12,NUMBER,Number,G,Global,,,24.58,24.67,24.61,24.19,24.05,24.17,24.27,24.14,23.94,23.64,23.0,21.48,21.48,,,,"Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS",,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.10,"Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all",C081001,8.10.1,I,IMF,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",2019.Q4.G.01,['financial services'],FB_CBK_BRCH,"Number of commercial bank branches per 100,000 adults",132,Cabo Verde,5,11,Western Africa,Country,-23.63544151,15.07791834,CPV,1,1,Y_GE15,15 years old and over,"[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2004,2017,14,NUMBER,Number,G,Global,16.16,16.34,18.22,21.32,25.87,28.38,31.37,30.74,34.45,34.32,33.91,33.8,33.41,31.21,31.21,,,,"Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS",,C: Country data
