goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2000,value_2005,value_2010,value_2013,value_2014,value_2015,value_2016,value_2017,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
17,Goal 17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.1,"Strengthen domestic resource mobilization, including through international support to developing countries, to improve domestic capacity for tax and other revenue collection",C170102,17.1.2,I,IMF,Proportion of domestic budget funded by domestic taxes,2019.Q4.G.01,"['means of implementation', 'public finance', 'tax revenues']",GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),1,World,1,,,Region,,,,,,"[2000, 2005, 2010, 2013, 2014, 2015, 2016, 2017]",2000,2017,8,PT,Percentage,G,Global,69.38117,68.85396,63.82668,65.51964,64.73861,63.97487,64.8121,65.88865,65.88865,,,,"Source: Government Finance Statistics (GFS) Database classified according to the Government Finance Statistics Manual 2014 (GFSM 2014) revenue classification, International Monetary Fund (IMF).",,_X: Data nature not available
17,Goal 17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.1,"Strengthen domestic resource mobilization, including through international support to developing countries, to improve domestic capacity for tax and other revenue collection",C170102,17.1.2,I,IMF,Proportion of domestic budget funded by domestic taxes,2019.Q4.G.01,"['means of implementation', 'public finance', 'tax revenues']",GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,"[2013, 2014, 2015, 2016, 2017]",2013,2017,5,PT,Percentage,G,Global,,,,55.52063,52.73419,49.05247,54.19945,47.00673,47.00673,,,Budgetary Central Government,"Source: Government Finance Statistics (GFS) Database classified according to the Government Finance Statistics Manual 2014 (GFSM 2014) revenue classification, International Monetary Fund (IMF).",,_X: Data nature not available
17,Goal 17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.1,"Strengthen domestic resource mobilization, including through international support to developing countries, to improve domestic capacity for tax and other revenue collection",C170102,17.1.2,I,IMF,Proportion of domestic budget funded by domestic taxes,2019.Q4.G.01,"['means of implementation', 'public finance', 'tax revenues']",GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,"[2005, 2010, 2013, 2014, 2015, 2016, 2017]",2005,2017,7,PT,Percentage,G,Global,,65.07023,49.90685,58.5686,71.46477,75.235,73.30023,73.55134,73.55134,,,Budgetary Central Government,"Source: Government Finance Statistics (GFS) Database classified according to the Government Finance Statistics Manual 2014 (GFSM 2014) revenue classification, International Monetary Fund (IMF).",,_X: Data nature not available
17,Goal 17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.1,"Strengthen domestic resource mobilization, including through international support to developing countries, to improve domestic capacity for tax and other revenue collection",C170102,17.1.2,I,IMF,Proportion of domestic budget funded by domestic taxes,2019.Q4.G.01,"['means of implementation', 'public finance', 'tax revenues']",GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),12,Algeria,4,15,Northern Africa,Country,2.678164227,28.15940032,DZA,1,1,"[2000, 2005, 2010]",2000,2010,3,PT,Percentage,G,Global,129.25138,110.79494,93.87712,,,,,,93.87712,,,Budgetary Central Government,"Source: Government Finance Statistics (GFS) Database classified according to the Government Finance Statistics Manual 2014 (GFSM 2014) revenue classification, International Monetary Fund (IMF).",,_X: Data nature not available
17,Goal 17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.1,"Strengthen domestic resource mobilization, including through international support to developing countries, to improve domestic capacity for tax and other revenue collection",C170102,17.1.2,I,IMF,Proportion of domestic budget funded by domestic taxes,2019.Q4.G.01,"['means of implementation', 'public finance', 'tax revenues']",GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),120,Cameroon,5,17,Middle Africa,Country,12.7419827,5.692387031,CMR,1,1,"[2013, 2014, 2015, 2016, 2017]",2013,2017,5,PT,Percentage,G,Global,,,,60.70529,63.31612,67.7228,58.38564,64.96425,64.96425,,,Budgetary Central Government,"Source: Government Finance Statistics (GFS) Database classified according to the Government Finance Statistics Manual 2014 (GFSM 2014) revenue classification, International Monetary Fund (IMF).",,_X: Data nature not available
17,Goal 17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.1,"Strengthen domestic resource mobilization, including through international support to developing countries, to improve domestic capacity for tax and other revenue collection",C170102,17.1.2,I,IMF,Proportion of domestic budget funded by domestic taxes,2019.Q4.G.01,"['means of implementation', 'public finance', 'tax revenues']",GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),132,Cabo Verde,5,11,Western Africa,Country,-23.63544151,15.07791834,CPV,1,1,"[2005, 2010, 2013, 2014, 2015, 2016, 2017]",2005,2017,7,PT,Percentage,G,Global,,58.84828,52.68981,60.69284,65.93543,70.26858,75.69456,75.06442,75.06442,,,Budgetary Central Government,"Source: Government Finance Statistics (GFS) Database classified according to the Government Finance Statistics Manual 2014 (GFSM 2014) revenue classification, International Monetary Fund (IMF).",,_X: Data nature not available
17,Goal 17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.1,"Strengthen domestic resource mobilization, including through international support to developing countries, to improve domestic capacity for tax and other revenue collection",C170102,17.1.2,I,IMF,Proportion of domestic budget funded by domestic taxes,2019.Q4.G.01,"['means of implementation', 'public finance', 'tax revenues']",GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),143,Central Asia,3,142,Asia,Region,,,,,,"[2000, 2005, 2010, 2013, 2014, 2015, 2016, 2017]",2000,2017,8,PT,Percentage,G,Global,88.42706,85.7506,95.65648,92.57781,76.73575,68.58886,66.17085,63.83592,63.83592,,,,"Source: Government Finance Statistics (GFS) Database classified according to the Government Finance Statistics Manual 2014 (GFSM 2014) revenue classification, International Monetary Fund (IMF).",,_X: Data nature not available
17,Goal 17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.1,"Strengthen domestic resource mobilization, including through international support to developing countries, to improve domestic capacity for tax and other revenue collection",C170102,17.1.2,I,IMF,Proportion of domestic budget funded by domestic taxes,2019.Q4.G.01,"['means of implementation', 'public finance', 'tax revenues']",GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),144,Sri Lanka,4,34,Southern Asia,Country,80.70489654,7.614693343,LKA,1,1,"[2000, 2005, 2010, 2013, 2014, 2015, 2016, 2017]",2000,2017,8,PT,Percentage,G,Global,56.64172,57.73324,58.4973,60.61459,59.50562,59.20692,62.70058,65.08788,65.08788,,,Budgetary Central Government,"Source: Government Finance Statistics (GFS) Database classified according to the Government Finance Statistics Manual 2014 (GFSM 2014) revenue classification, International Monetary Fund (IMF).",,_X: Data nature not available
17,Goal 17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.1,"Strengthen domestic resource mobilization, including through international support to developing countries, to improve domestic capacity for tax and other revenue collection",C170102,17.1.2,I,IMF,Proportion of domestic budget funded by domestic taxes,2019.Q4.G.01,"['means of implementation', 'public finance', 'tax revenues']",GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),145,Western Asia,3,142,Asia,Region,,,,,,"[2000, 2005, 2010, 2013, 2014, 2015, 2016, 2017]",2000,2017,8,PT,Percentage,G,Global,40.80657,48.24786,42.38342,41.28781,43.93892,45.66916,49.84456,55.08661,55.08661,,,,"Source: Government Finance Statistics (GFS) Database classified according to the Government Finance Statistics Manual 2014 (GFSM 2014) revenue classification, International Monetary Fund (IMF).",,_X: Data nature not available
17,Goal 17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.1,"Strengthen domestic resource mobilization, including through international support to developing countries, to improve domestic capacity for tax and other revenue collection",C170102,17.1.2,I,IMF,Proportion of domestic budget funded by domestic taxes,2019.Q4.G.01,"['means of implementation', 'public finance', 'tax revenues']",GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),15,Northern Africa,3,2,Africa,Region,,,,,,"[2000, 2005, 2010, 2013, 2014, 2015, 2016, 2017]",2000,2017,8,PT,Percentage,G,Global,89.28815,78.79595,67.39774,56.92219,55.93847,64.73328,69.71644,73.21887,73.21887,,,,"Source: Government Finance Statistics (GFS) Database classified according to the Government Finance Statistics Manual 2014 (GFSM 2014) revenue classification, International Monetary Fund (IMF).",,_X: Data nature not available
