goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,sex_code,sex_desc,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2003,value_2004,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2015,value_2016,value_2017,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare', 'occupational safety', 'occupational accidents', 'insurance']",SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,_T,Both sexes,[2015],2015,2015,1,PT,Percentage,G,Global,,,,,,,,,,2.9,,,2.9,,,ILO estimates based on country data,ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3,,E: Estimated data
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare', 'occupational safety', 'occupational accidents', 'insurance']",SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",108,Burundi,5,14,Eastern Africa,Country,29.89080992,-3.366387428,BDI,1,1,_T,Both sexes,[2010],2010,2010,1,PT,Percentage,G,Global,,,,,,,3.5,,,,,,3.5,,,ILO estimates based on country data,ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3,,E: Estimated data
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare', 'occupational safety', 'occupational accidents', 'insurance']",SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",120,Cameroon,5,17,Middle Africa,Country,12.7419827,5.692387031,CMR,1,1,_T,Both sexes,[2015],2015,2015,1,PT,Percentage,G,Global,,,,,,,,,,7.9,,,7.9,,,ILO estimates based on country data,ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3,,E: Estimated data
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare', 'occupational safety', 'occupational accidents', 'insurance']",SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",144,Sri Lanka,4,34,Southern Asia,Country,80.70489654,7.614693343,LKA,1,1,_T,Both sexes,[2017],2017,2017,1,PT,Percentage,G,Global,,,,,,,,,,,,80.0,80.0,,,ILO estimates based on country data,ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3,,E: Estimated data
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare', 'occupational safety', 'occupational accidents', 'insurance']",SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",156,China,4,30,Eastern Asia,Country,104.1403375,32.30955217,CHN,1,1,_T,Both sexes,"[2015, 2017]",2015,2017,2,PT,Percentage,G,Global,,,,,,,,,,26.5,,28.2,28.2,,,ILO estimates based on country data,ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3,,E: Estimated data
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare', 'occupational safety', 'occupational accidents', 'insurance']",SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",170,Colombia,5,5,South America,Country,-73.07446751,3.888209046,COL,1,1,_T,Both sexes,[2015],2015,2015,1,PT,Percentage,G,Global,,,,,,,,,,39.6,,,39.6,,,ILO estimates based on country data,ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3,,E: Estimated data
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare', 'occupational safety', 'occupational accidents', 'insurance']",SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",178,Congo,5,11,Western Africa,Country,15.22052612,-0.840544119,COG,1,1,_T,Both sexes,[2012],2012,2012,1,PT,Percentage,G,Global,,,,,,,,,3.9,,,,3.9,,,ILO estimates based on country data,ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3,,E: Estimated data
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare', 'occupational safety', 'occupational accidents', 'insurance']",SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",191,Croatia,4,39,Southern Europe,Country,17.95874553,45.45172212,HRV,1,1,_T,Both sexes,[2011],2011,2011,1,PT,Percentage,G,Global,,,,,,,,68.0,,,,,68.0,,,ILO estimates based on country data,ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3,,E: Estimated data
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare', 'occupational safety', 'occupational accidents', 'insurance']",SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",196,Cyprus,4,145,Western Asia,Country,33.22285964,35.05659437,CYP,1,1,_T,Both sexes,[2007],2007,2007,1,PT,Percentage,G,Global,,,,68.2,,,,,,,,,68.2,,,ILO estimates based on country data,ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3,,E: Estimated data
1,Goal 1,End poverty in all its forms everywhere,1.3,"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable",C010301,1.3.1,II,ILO,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2019.Q4.G.01,"['poverty', 'standard of living', 'basic needs', 'social welfare', 'occupational safety', 'occupational accidents', 'insurance']",SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",204,Benin,5,11,Western Africa,Country,2.339933594,9.65401646,BEN,1,1,_T,Both sexes,[2006],2006,2006,1,PT,Percentage,G,Global,,,4.0,,,,,,,,,,4.0,,,ILO estimates based on country data,ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3,,E: Estimated data
