goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	age_code	age_desc	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
5	Goal 5	Achieve gender equality and empower all women and girls	5.2	Eliminate all forms of violence against all women and girls in the public and private spheres, including trafficking and sexual and other types of exploitation	C050201	5.2.1	II	UNICEF, UN Women, UNFPA, WHO, UNODC	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	2019.Q4.G.01	['advancement of women', 'gender equality', 'violence', 'gender-based violence', 'domestic violence', 'women', 'youth', 'adolescents']	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	1	World	1			Region						Y15T49	15 to 49 years old	F	Female	[2017]	2017	2017	1	PT	Percentage	G	Global														17.8	17.8			Based on 106 countries with a population coverage of 50 per cent	DHS, MICS, other national surveys		E: Estimated data
5	Goal 5	Achieve gender equality and empower all women and girls	5.2	Eliminate all forms of violence against all women and girls in the public and private spheres, including trafficking and sexual and other types of exploitation	C050201	5.2.1	II	UNICEF, UN Women, UNFPA, WHO, UNODC	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	2019.Q4.G.01	['advancement of women', 'gender equality', 'violence', 'gender-based violence', 'domestic violence', 'women', 'youth', 'adolescents']	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	Y18T49	18 to 49 years old	F	Female	[2012]	2012	2012	1	PT	Percentage	G	Global									9.0						9.0			Women aged 18-74; definition of physical and sexual violence differs from the standard	calculated by FRA based on available country data from the 2012 FRA Violence against women: an EU-wide Survey		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.2	Eliminate all forms of violence against all women and girls in the public and private spheres, including trafficking and sexual and other types of exploitation	C050201	5.2.1	II	UNICEF, UN Women, UNFPA, WHO, UNODC	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	2019.Q4.G.01	['advancement of women', 'gender equality', 'violence', 'gender-based violence', 'domestic violence', 'women', 'youth', 'adolescents']	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y15T19	15 to 19 years old	F	Female	[2016]	2016	2016	1	PT	Percentage	G	Global													21.8		21.8				DHS		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.2	Eliminate all forms of violence against all women and girls in the public and private spheres, including trafficking and sexual and other types of exploitation	C050201	5.2.1	II	UNICEF, UN Women, UNFPA, WHO, UNODC	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	2019.Q4.G.01	['advancement of women', 'gender equality', 'violence', 'gender-based violence', 'domestic violence', 'women', 'youth', 'adolescents']	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y30T34	30 to 34 years old	F	Female	[2016]	2016	2016	1	PT	Percentage	G	Global													11.7		11.7				DHS		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.2	Eliminate all forms of violence against all women and girls in the public and private spheres, including trafficking and sexual and other types of exploitation	C050201	5.2.1	II	UNICEF, UN Women, UNFPA, WHO, UNODC	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	2019.Q4.G.01	['advancement of women', 'gender equality', 'violence', 'gender-based violence', 'domestic violence', 'women', 'youth', 'adolescents']	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y45T49	45 to 49 years old	F	Female	[2016]	2016	2016	1	PT	Percentage	G	Global													5.8		5.8				DHS		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.2	Eliminate all forms of violence against all women and girls in the public and private spheres, including trafficking and sexual and other types of exploitation	C050201	5.2.1	II	UNICEF, UN Women, UNFPA, WHO, UNODC	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	2019.Q4.G.01	['advancement of women', 'gender equality', 'violence', 'gender-based violence', 'domestic violence', 'women', 'youth', 'adolescents']	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y40T44	40 to 44 years old	F	Female	[2016]	2016	2016	1	PT	Percentage	G	Global													10.5		10.5				DHS		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.2	Eliminate all forms of violence against all women and girls in the public and private spheres, including trafficking and sexual and other types of exploitation	C050201	5.2.1	II	UNICEF, UN Women, UNFPA, WHO, UNODC	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	2019.Q4.G.01	['advancement of women', 'gender equality', 'violence', 'gender-based violence', 'domestic violence', 'women', 'youth', 'adolescents']	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y15T49	15 to 49 years old	F	Female	[2016]	2016	2016	1	PT	Percentage	G	Global													11.0		11.0				DHS		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.2	Eliminate all forms of violence against all women and girls in the public and private spheres, including trafficking and sexual and other types of exploitation	C050201	5.2.1	II	UNICEF, UN Women, UNFPA, WHO, UNODC	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	2019.Q4.G.01	['advancement of women', 'gender equality', 'violence', 'gender-based violence', 'domestic violence', 'women', 'youth', 'adolescents']	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y25T29	25 to 29 years old	F	Female	[2016]	2016	2016	1	PT	Percentage	G	Global													13.3		13.3				DHS		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.2	Eliminate all forms of violence against all women and girls in the public and private spheres, including trafficking and sexual and other types of exploitation	C050201	5.2.1	II	UNICEF, UN Women, UNFPA, WHO, UNODC	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	2019.Q4.G.01	['advancement of women', 'gender equality', 'violence', 'gender-based violence', 'domestic violence', 'women', 'youth', 'adolescents']	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y35T39	35 to 39 years old	F	Female	[2016]	2016	2016	1	PT	Percentage	G	Global													9.9		9.9				DHS		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.2	Eliminate all forms of violence against all women and girls in the public and private spheres, including trafficking and sexual and other types of exploitation	C050201	5.2.1	II	UNICEF, UN Women, UNFPA, WHO, UNODC	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	2019.Q4.G.01	['advancement of women', 'gender equality', 'violence', 'gender-based violence', 'domestic violence', 'women', 'youth', 'adolescents']	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y20T24	20 to 24 years old	F	Female	[2016]	2016	2016	1	PT	Percentage	G	Global													14.0		14.0				DHS		C: Country data
