goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.5	Enhance scientific research, upgrade the technological capabilities of industrial sectors in all countries, in particular developing countries, including, by 2030, encouraging innovation and substantially increasing the number of research and development workers per 1 million people and public and private research and development spending	C090501	9.5.1	I	UNESCO-UIS	Research and development expenditure as a proportion of GDP	2019.Q4.G.01	['research and development', 'economic growth']	GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	1	World	1			Region						[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	PT	Percentage	G	Global	1.52	1.54	1.53	1.54	1.51	1.53	1.55	1.56	1.6	1.65	1.62	1.64	1.65	1.67	1.68	1.69	1.68		1.68				UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics		E: Estimated data
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.5	Enhance scientific research, upgrade the technological capabilities of industrial sectors in all countries, in particular developing countries, including, by 2030, encouraging innovation and substantially increasing the number of research and development workers per 1 million people and public and private research and development spending	C090501	9.5.1	I	UNESCO-UIS	Research and development expenditure as a proportion of GDP	2019.Q4.G.01	['research and development', 'economic growth']	GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	PT	Percentage	G	Global	0.5	0.45	0.47	0.48	0.47	0.45	0.45	0.43	0.45	0.49	0.56	0.53	0.6	0.63	0.79	0.96	0.78		0.78				Statistical Office of the European Union (Eurostat): Eurostat Science and Technology database		C: Country data
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.5	Enhance scientific research, upgrade the technological capabilities of industrial sectors in all countries, in particular developing countries, including, by 2030, encouraging innovation and substantially increasing the number of research and development workers per 1 million people and public and private research and development spending	C090501	9.5.1	I	UNESCO-UIS	Research and development expenditure as a proportion of GDP	2019.Q4.G.01	['research and development', 'economic growth']	GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	[2000, 2001, 2002]	2000	2002	3	PT	Percentage	G	Global	0.11	0.07	0.16																0.16			Partial data	UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics		C: Country data
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.5	Enhance scientific research, upgrade the technological capabilities of industrial sectors in all countries, in particular developing countries, including, by 2030, encouraging innovation and substantially increasing the number of research and development workers per 1 million people and public and private research and development spending	C090501	9.5.1	I	UNESCO-UIS	Research and development expenditure as a proportion of GDP	2019.Q4.G.01	['research and development', 'economic growth']	GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	[2007, 2008, 2009, 2010, 2011]	2007	2011	5	PT	Percentage	G	Global								0.2	0.15	0.14	0.14	0.12							0.12			Partial data	UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics		C: Country data
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.5	Enhance scientific research, upgrade the technological capabilities of industrial sectors in all countries, in particular developing countries, including, by 2030, encouraging innovation and substantially increasing the number of research and development workers per 1 million people and public and private research and development spending	C090501	9.5.1	I	UNESCO-UIS	Research and development expenditure as a proportion of GDP	2019.Q4.G.01	['research and development', 'economic growth']	GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	0.72	0.71	0.62	0.61	0.63	0.68	0.66	0.96	0.74	0.64	0.67	0.68	0.65	0.65	0.51	0.5	0.5	0.59	0.59			[2000-2015]: Converted from the former national currency using the appropriate conversion rate // [2016-2017]:	UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics		C: Country data
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.5	Enhance scientific research, upgrade the technological capabilities of industrial sectors in all countries, in particular developing countries, including, by 2030, encouraging innovation and substantially increasing the number of research and development workers per 1 million people and public and private research and development spending	C090501	9.5.1	I	UNESCO-UIS	Research and development expenditure as a proportion of GDP	2019.Q4.G.01	['research and development', 'economic growth']	GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	[2002, 2015]	2002	2015	2	PT	Percentage	G	Global			0.05													0.12			0.12			[2002]: Partial data // [2015]: Break in series with previous year for which data are available	UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics		C: Country data
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.5	Enhance scientific research, upgrade the technological capabilities of industrial sectors in all countries, in particular developing countries, including, by 2030, encouraging innovation and substantially increasing the number of research and development workers per 1 million people and public and private research and development spending	C090501	9.5.1	I	UNESCO-UIS	Research and development expenditure as a proportion of GDP	2019.Q4.G.01	['research and development', 'economic growth']	GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	[2001, 2002, 2003, 2004, 2005, 2017]	2001	2017	6	PT	Percentage	G	Global		0.23	0.37	0.2	0.16	0.07												0.53	0.53			[2001-2005]: Partial data // [2017]: Break in series with previous year for which data are available	UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics		C: Country data
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.5	Enhance scientific research, upgrade the technological capabilities of industrial sectors in all countries, in particular developing countries, including, by 2030, encouraging innovation and substantially increasing the number of research and development workers per 1 million people and public and private research and development spending	C090501	9.5.1	I	UNESCO-UIS	Research and development expenditure as a proportion of GDP	2019.Q4.G.01	['research and development', 'economic growth']	GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	1.86	2.03	1.98	1.97	2.0	1.98	1.95	1.91	1.86	1.92	1.83	1.79	1.78	1.71	1.72	1.65	1.6	1.53	1.53			[2000-2011,2013,2015]:  // [2012,2014]: Break in series with previous year for which data are available // [2016-2017]: Provisional data	Organisation for Economic Co-operation and Development (OECD): Research and Development Statistics (RDS) database		C: Country data
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.5	Enhance scientific research, upgrade the technological capabilities of industrial sectors in all countries, in particular developing countries, including, by 2030, encouraging innovation and substantially increasing the number of research and development workers per 1 million people and public and private research and development spending	C090501	9.5.1	I	UNESCO-UIS	Research and development expenditure as a proportion of GDP	2019.Q4.G.01	['research and development', 'economic growth']	GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	127	Southern Asia (excluding India)	1			Group						[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	PT	Percentage	G	Global	0.31	0.32	0.33	0.41	0.38	0.46	0.45	0.5	0.49	0.48	0.45	0.46	0.47	0.39	0.38	0.36	0.37		0.37				UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics		E: Estimated data
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.5	Enhance scientific research, upgrade the technological capabilities of industrial sectors in all countries, in particular developing countries, including, by 2030, encouraging innovation and substantially increasing the number of research and development workers per 1 million people and public and private research and development spending	C090501	9.5.1	I	UNESCO-UIS	Research and development expenditure as a proportion of GDP	2019.Q4.G.01	['research and development', 'economic growth']	GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	[2011]	2011	2011	1	PT	Percentage	G	Global												0.07							0.07			Higher Education only;Partial data;Source: Regional Publication	African Science, Technology and Innovation Indicators (ASTII) Initiative of the African Union/NEPAD Planning and Coordinating Agency (AU/NPCA): African Innovation Outlook series		C: Country data
