goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	age_code	age_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2015	lowerbound_2015	upperbound_2015	value_2016	lowerbound_2016	upperbound_2016	latest_value	basePeriod	valueDetails	lowerBoundDetails	upperBoundDetails	footnotes	sources	timeDetails	nature
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	II	FAO	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2019.Q4.G.01	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSIN	Total population in severe food insecurity (thousands of people)	1	World	1			Region						_T	All age ranges or no breaks by age	[2015, 2016]	2015	2016	2	NUM_TH	Thousands	G	Global	644007.1	620761.1	667253.2	684689.4	664562.2	704816.5	684689.4					[2015]: The value(s) for one or more years may have been imputed. The observation value represents the 3-year average of the period 2014-2016. // [2016]: The value(s) for one or more years may have been imputed. The observation value represents the 3-year average of the period 2015-2017.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		E: Estimated data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	II	FAO	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2019.Q4.G.01	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSIN	Total population in severe food insecurity (thousands of people)	11	Western Africa	4	202	Sub-Saharan Africa	Region						_T	All age ranges or no breaks by age	[2015, 2016]	2015	2016	2	NUM_TH	Thousands	G	Global	78207.5	73469.6	82945.3	91103.0	86699.7	95506.4	91103.0					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		E: Estimated data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	II	FAO	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2019.Q4.G.01	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSIN	Total population in severe food insecurity (thousands of people)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	_T	All age ranges or no breaks by age	[2015, 2016]	2015	2016	2	NUM_TH	Thousands	G	Global	2648.3	2412.8	2883.9	2269.1	2072.8	2465.3	2269.1					[2015]: The value(s) for one or more years may have been imputed. The observation value represents the 3-year average of the period 2014-2016. // [2016]: The value(s) for one or more years may have been imputed. The observation value represents the 3-year average of the period 2015-2017.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		G: Global monitoring data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	II	FAO	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2019.Q4.G.01	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSIN	Total population in severe food insecurity (thousands of people)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	_T	All age ranges or no breaks by age	[2015, 2016]	2015	2016	2	NUM_TH	Thousands	G	Global	6981.3	6456.9	7505.7	8333.0	7781.2	8884.8	8333.0					[2015]: The value(s) for one or more years may have been imputed. The observation value represents the 3-year average of the period 2014-2016. // [2016]: The value(s) for one or more years may have been imputed. The observation value represents the 3-year average of the period 2015-2017.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		G: Global monitoring data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	II	FAO	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2019.Q4.G.01	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSIN	Total population in severe food insecurity (thousands of people)	127	Southern Asia (excluding India)	1			Group						_T	All age ranges or no breaks by age	[2015, 2016]	2015	2016	2	NUM_TH	Thousands	G	Global	47612.8	43353.5	51872.1	44920.3	40746.8	49093.8	44920.3					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		E: Estimated data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	II	FAO	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2019.Q4.G.01	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSIN	Total population in severe food insecurity (thousands of people)	13	Central America	4	419	Latin America and the Caribbean	Region						_T	All age ranges or no breaks by age	[2015, 2016]	2015	2016	2	NUM_TH	Thousands	G	Global	17914.9	15986.3	19843.5	18108.9	16409.6	19808.2	18108.9					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		E: Estimated data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	II	FAO	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2019.Q4.G.01	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSIN	Total population in severe food insecurity (thousands of people)	135	Caucasus and Central Asia	1			Group						_T	All age ranges or no breaks by age	[2015, 2016]	2015	2016	2	NUM_TH	Thousands	G	Global	1845.2	1611.9	2078.6	2307.4	2050.1	2564.8	2307.4					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		E: Estimated data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	II	FAO	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2019.Q4.G.01	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSIN	Total population in severe food insecurity (thousands of people)	14	Eastern Africa	4	202	Sub-Saharan Africa	Region						_T	All age ranges or no breaks by age	[2015, 2016]	2015	2016	2	NUM_TH	Thousands	G	Global	108005.9	105260.7	110751.0	120102.4	117418.2	122786.5	120102.4					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		E: Estimated data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	II	FAO	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2019.Q4.G.01	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSIN	Total population in severe food insecurity (thousands of people)	142	Asia	2	1	World	Region						_T	All age ranges or no breaks by age	[2015, 2016]	2015	2016	2	NUM_TH	Thousands	G	Global	299531.9	277393.6	321670.3	297060.9	278073.3	316048.6	297060.9					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		E: Estimated data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	II	FAO	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2019.Q4.G.01	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSIN	Total population in severe food insecurity (thousands of people)	143	Central Asia	3	142	Asia	Region						_T	All age ranges or no breaks by age	[2015, 2016]	2015	2016	2	NUM_TH	Thousands	G	Global	1443.9	1214.8	1673.0	1834.8	1582.3	2087.4	1834.8					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		E: Estimated data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	II	FAO	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2019.Q4.G.01	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSIN	Total population in severe food insecurity (thousands of people)	145	Western Asia	3	142	Asia	Region						_T	All age ranges or no breaks by age	[2015, 2016]	2015	2016	2	NUM_TH	Thousands	G	Global	23403.7	21887.3	24920.0	25297.9	23814.0	26781.8	25297.9					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		E: Estimated data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	II	FAO	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2019.Q4.G.01	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSIN	Total population in severe food insecurity (thousands of people)	15	Northern Africa	3	2	Africa	Region						_T	All age ranges or no breaks by age	[2015, 2016]	2015	2016	2	NUM_TH	Thousands	G	Global	24634.2	23050.5	26217.9	26076.3	24440.7	27711.8	26076.3					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		E: Estimated data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	II	FAO	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2019.Q4.G.01	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSIN	Total population in severe food insecurity (thousands of people)	150	Europe	2	1	World	Region						_T	All age ranges or no breaks by age	[2015, 2016]	2015	2016	2	NUM_TH	Thousands	G	Global	11524.3	10498.9	12549.6	11153.5	10203.2	12103.9	11153.5					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		E: Estimated data
