goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2005	value_2010	value_2015	value_2016	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030402	3.4.2	I	WHO	Suicide mortality rate	2019.Q4.G.01	['health', 'suicide', 'mortality', 'death', 'mental health']	SH_STA_SCIDE	Suicide mortality rate, by sex (deaths per 100,000 population)	1	World	1			Region						M	Male	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PER_100000_POP	Per 100,000 population	G	Global	16.0	15.3	14.3	13.6	13.5	13.5				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X: Data nature not available
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030402	3.4.2	I	WHO	Suicide mortality rate	2019.Q4.G.01	['health', 'suicide', 'mortality', 'death', 'mental health']	SH_STA_SCIDE	Suicide mortality rate, by sex (deaths per 100,000 population)	1	World	1			Region						_T	Both sexes	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PER_100000_POP	Per 100,000 population	G	Global	12.9	12.3	11.5	10.7	10.6	10.6				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X: Data nature not available
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030402	3.4.2	I	WHO	Suicide mortality rate	2019.Q4.G.01	['health', 'suicide', 'mortality', 'death', 'mental health']	SH_STA_SCIDE	Suicide mortality rate, by sex (deaths per 100,000 population)	1	World	1			Region						F	Female	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PER_100000_POP	Per 100,000 population	G	Global	9.7	9.3	8.6	7.8	7.7	7.7				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X: Data nature not available
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030402	3.4.2	I	WHO	Suicide mortality rate	2019.Q4.G.01	['health', 'suicide', 'mortality', 'death', 'mental health']	SH_STA_SCIDE	Suicide mortality rate, by sex (deaths per 100,000 population)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	F	Female	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PER_100000_POP	Per 100,000 population	G	Global	10.2	6.7	6.0	5.1	5.1	5.1				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		CA: Country adjusted data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030402	3.4.2	I	WHO	Suicide mortality rate	2019.Q4.G.01	['health', 'suicide', 'mortality', 'death', 'mental health']	SH_STA_SCIDE	Suicide mortality rate, by sex (deaths per 100,000 population)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	M	Male	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PER_100000_POP	Per 100,000 population	G	Global	27.2	20.3	19.4	18.1	18.2	18.2				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		CA: Country adjusted data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030402	3.4.2	I	WHO	Suicide mortality rate	2019.Q4.G.01	['health', 'suicide', 'mortality', 'death', 'mental health']	SH_STA_SCIDE	Suicide mortality rate, by sex (deaths per 100,000 population)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	_T	Both sexes	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PER_100000_POP	Per 100,000 population	G	Global	18.5	13.4	12.5	11.4	11.5	11.5				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		CA: Country adjusted data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030402	3.4.2	I	WHO	Suicide mortality rate	2019.Q4.G.01	['health', 'suicide', 'mortality', 'death', 'mental health']	SH_STA_SCIDE	Suicide mortality rate, by sex (deaths per 100,000 population)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	F	Female	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PER_100000_POP	Per 100,000 population	G	Global	10.2	9.9	8.9	9.3	9.5	9.5				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030402	3.4.2	I	WHO	Suicide mortality rate	2019.Q4.G.01	['health', 'suicide', 'mortality', 'death', 'mental health']	SH_STA_SCIDE	Suicide mortality rate, by sex (deaths per 100,000 population)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	M	Male	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PER_100000_POP	Per 100,000 population	G	Global	4.2	5.4	5.6	5.8	5.9	5.9				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030402	3.4.2	I	WHO	Suicide mortality rate	2019.Q4.G.01	['health', 'suicide', 'mortality', 'death', 'mental health']	SH_STA_SCIDE	Suicide mortality rate, by sex (deaths per 100,000 population)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	_T	Both sexes	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PER_100000_POP	Per 100,000 population	G	Global	7.3	7.7	7.3	7.6	7.8	7.8				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030402	3.4.2	I	WHO	Suicide mortality rate	2019.Q4.G.01	['health', 'suicide', 'mortality', 'death', 'mental health']	SH_STA_SCIDE	Suicide mortality rate, by sex (deaths per 100,000 population)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	F	Female	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PER_100000_POP	Per 100,000 population	G	Global	4.8	5.5	5.2	4.8	4.9	4.9				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030402	3.4.2	I	WHO	Suicide mortality rate	2019.Q4.G.01	['health', 'suicide', 'mortality', 'death', 'mental health']	SH_STA_SCIDE	Suicide mortality rate, by sex (deaths per 100,000 population)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	M	Male	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PER_100000_POP	Per 100,000 population	G	Global	9.4	11.5	12.9	13.1	13.4	13.4				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030402	3.4.2	I	WHO	Suicide mortality rate	2019.Q4.G.01	['health', 'suicide', 'mortality', 'death', 'mental health']	SH_STA_SCIDE	Suicide mortality rate, by sex (deaths per 100,000 population)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	_T	Both sexes	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PER_100000_POP	Per 100,000 population	G	Global	7.1	8.4	9.0	8.9	9.1	9.1				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030402	3.4.2	I	WHO	Suicide mortality rate	2019.Q4.G.01	['health', 'suicide', 'mortality', 'death', 'mental health']	SH_STA_SCIDE	Suicide mortality rate, by sex (deaths per 100,000 population)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	_T	Both sexes	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PER_100000_POP	Per 100,000 population	G	Global	43.1	45.1	38.2	26.3	26.2	26.2				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		E: Estimated data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030402	3.4.2	I	WHO	Suicide mortality rate	2019.Q4.G.01	['health', 'suicide', 'mortality', 'death', 'mental health']	SH_STA_SCIDE	Suicide mortality rate, by sex (deaths per 100,000 population)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	M	Male	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PER_100000_POP	Per 100,000 population	G	Global	76.6	80.0	68.1	47.0	46.9	46.9				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		E: Estimated data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030402	3.4.2	I	WHO	Suicide mortality rate	2019.Q4.G.01	['health', 'suicide', 'mortality', 'death', 'mental health']	SH_STA_SCIDE	Suicide mortality rate, by sex (deaths per 100,000 population)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	F	Female	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PER_100000_POP	Per 100,000 population	G	Global	13.5	14.5	12.3	8.3	8.2	8.2				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		E: Estimated data
