series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	sex_code	sex_desc	migratoryStatus_code	migratoryStatus_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	7.3					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Per 100,000 persons insured	C	Country data	PER_100000_EMP	Per 100,000 employees	_T	Both sexes	_T	No breakdown	G	Global	2000				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	7.3					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Per 100,000 persons insured	C	Country data	PER_100000_EMP	Per 100,000 employees	_T	Both sexes	_T	No breakdown	G	Global	2001				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	6.0					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Per 100,000 persons insured	C	Country data	PER_100000_EMP	Per 100,000 employees	_T	Both sexes	_T	No breakdown	G	Global	2002				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	5.2					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Per 100,000 persons insured	C	Country data	PER_100000_EMP	Per 100,000 employees	_T	Both sexes	_T	No breakdown	G	Global	2003				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	9.3					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Per 100,000 persons insured	C	Country data	PER_100000_EMP	Per 100,000 employees	M	Male	_T	No breakdown	G	Global	2003				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	1.3					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Per 100,000 persons insured	C	Country data	PER_100000_EMP	Per 100,000 employees	F	Female	_T	No breakdown	G	Global	2003				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	0.9					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Per 100,000 persons insured	C	Country data	PER_100000_EMP	Per 100,000 employees	F	Female	_T	No breakdown	G	Global	2004				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	11.2					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Per 100,000 persons insured	C	Country data	PER_100000_EMP	Per 100,000 employees	M	Male	_T	No breakdown	G	Global	2004				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	6.0					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Per 100,000 persons insured	C	Country data	PER_100000_EMP	Per 100,000 employees	_T	Both sexes	_T	No breakdown	G	Global	2004				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	5.8					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Per 100,000 persons insured	C	Country data	PER_100000_EMP	Per 100,000 employees	_T	Both sexes	_T	No breakdown	G	Global	2005				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
