series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
FC_ACC_SSID	Proportion of small-scale industries with a loan or line of credit (%)	100	Bulgaria	2007.0	27.29					World Bank Enterprise Surveys 2018		G	Global monitoring data	PT	Percentage	G	Global				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
FC_ACC_SSID	Proportion of small-scale industries with a loan or line of credit (%)	100	Bulgaria	2009.0	31.39					World Bank Enterprise Surveys 2018		G	Global monitoring data	PT	Percentage	G	Global				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
FC_ACC_SSID	Proportion of small-scale industries with a loan or line of credit (%)	100	Bulgaria	2013.0	40.91					World Bank Enterprise Surveys 2018		G	Global monitoring data	PT	Percentage	G	Global				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
FC_ACC_SSID	Proportion of small-scale industries with a loan or line of credit (%)	104	Myanmar	2014.0	4.5					World Bank Enterprise Surveys 2018		G	Global monitoring data	PT	Percentage	G	Global				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
FC_ACC_SSID	Proportion of small-scale industries with a loan or line of credit (%)	104	Myanmar	2016.0	15.18					World Bank Enterprise Surveys 2018		G	Global monitoring data	PT	Percentage	G	Global				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
FC_ACC_SSID	Proportion of small-scale industries with a loan or line of credit (%)	108	Burundi	2006.0	25.26					World Bank Enterprise Surveys 2018		G	Global monitoring data	PT	Percentage	G	Global				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
FC_ACC_SSID	Proportion of small-scale industries with a loan or line of credit (%)	108	Burundi	2014.0	30.74					World Bank Enterprise Surveys 2018		G	Global monitoring data	PT	Percentage	G	Global				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
FC_ACC_SSID	Proportion of small-scale industries with a loan or line of credit (%)	112	Belarus	2008.0	23.5					World Bank Enterprise Surveys 2018		G	Global monitoring data	PT	Percentage	G	Global				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
FC_ACC_SSID	Proportion of small-scale industries with a loan or line of credit (%)	112	Belarus	2013.0	17.41					World Bank Enterprise Surveys 2018		G	Global monitoring data	PT	Percentage	G	Global				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
FC_ACC_SSID	Proportion of small-scale industries with a loan or line of credit (%)	116	Cambodia	2013.0	38.7					World Bank Enterprise Surveys 2018		G	Global monitoring data	PT	Percentage	G	Global				4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
FC_ACC_SSID	Proportion of small-scale industries with a loan or line of credit (%)	116	Cambodia	2016.0	20.1					World Bank Enterprise Surveys 2018		G	Global monitoring data	PT	Percentage	G	Global				4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
FC_ACC_SSID	Proportion of small-scale industries with a loan or line of credit (%)	120	Cameroon	2009.0	36.03					World Bank Enterprise Surveys 2018		G	Global monitoring data	PT	Percentage	G	Global				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
