series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	age_code	age_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	1	World	2018.0	78.7					DHS, MICS and other national surveys	Based on 83 countries with a population coverage of 31 per cent	E	Estimated data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				1			Region					
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	104	Myanmar	2016.0	77.2					DHS	Refers to children aged 2-14 years	C	Country data	PT	Percentage	Y2T14	2 to 14 years old	G	Global				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	108	Burundi	2017.0	89.6					DHS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	112	Belarus	2012.0	64.5					MICS	Refers to children aged 2-14 years. differs from standard definition	C	Country data	PT	Percentage	Y2T14	2 to 14 years old	G	Global				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	12	Algeria	2013.0	86.3					MICS	Refers to children aged 2-14 years	C	Country data	PT	Percentage	Y2T14	2 to 14 years old	G	Global				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	120	Cameroon	2014.0	85.0					MICS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	140	Central African Republic	2010.0	92.0					MICS	Refers to children aged 2-14 years	C	Country data	PT	Percentage	Y2T14	2 to 14 years old	G	Global				5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	143	Central Asia	2018.0	55.4					DHS, MICS and other national surveys	Based on 4 countries with a population coverage of 57 per cent	E	Estimated data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				3	142	Asia	Region					
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	145	Western Asia	2018.0	82.2					DHS, MICS and other national surveys	Based on 9 countries with a population coverage of 55 per cent	E	Estimated data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				3	142	Asia	Region					
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	148	Chad	2015.0	71.1					DHS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	15	Northern Africa	2018.0	85.1					DHS, MICS and other national surveys	Based on 5 countries with a population coverage of 98 per cent	E	Estimated data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				3	2	Africa	Region					
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	178	Congo	2015.0	82.5					MICS 		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	180	Democratic Republic of the Congo	2014.0	81.6					DHS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	188	Costa Rica	2011.0	45.6					MICS	Refers to children aged 2-14 years	C	Country data	PT	Percentage	Y2T14	2 to 14 years old	G	Global				5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	192	Cuba	2014.0	36.0					MICS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				5	29	Caribbean	Country	-79.54460144	22.10030366	CUB	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	199	Least Developed Countries (LDC)	2018.0	79.8					DHS, MICS and other national surveys	Based on 30 countries with a population coverage of 63 per cent	E	Estimated data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				1			Group					
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	202	Sub-Saharan Africa	2018.0	83.2					DHS, MICS and other national surveys	Based on 26 countries with a population coverage of 59 per cent	E	Estimated data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				3	2	Africa	Region					
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	204	Benin	2018.0	91.1					DHS Key Indicators Report		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	214	Dominican Republic	2014.0	62.9					MICS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	222	El Salvador	2014.0	52.0					ENS/MICS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	242	Fiji	2008.0	72.0					Protect Me with Love and Care	Adult reports of whether they hit, smack, dong or pinch children	C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				4	54	Melanesia	Country	177.9660884	-17.83301566	FJI	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	262	Djibouti	2006.0	72.1					MICS	Refers to children aged 2-14 years	C	Country data	PT	Percentage	Y2T14	2 to 14 years old	G	Global				5	14	Eastern Africa	Country	42.18274707	11.56004161	DJI	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	268	Georgia	2005.0	66.9					MICS	Refers to children aged 2-14 years; not included in aggregates as falls outside year range	C	Country data	PT	Percentage	Y2T14	2 to 14 years old	G	Global				4	145	Western Asia	Country	43.3713615	42.04813028	GEO	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	270	Gambia	2010.0	90.3					MICS	Refers to children aged 2-14 years	C	Country data	PT	Percentage	Y2T14	2 to 14 years old	G	Global				5	11	Western Africa	Country	-15.39944785	13.45295927	GMB	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	275	State of Palestine	2014.0	91.5					MICS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				4	145	Western Asia	Country	35.25694122	31.94347933	PSE	0	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	288	Ghana	2011.0	93.6					MICS	Refers to children aged 2-14 years	C	Country data	PT	Percentage	Y2T14	2 to 14 years old	G	Global				5	11	Western Africa	Country	-1.205623522	7.964825185	GHA	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	296	Kiribati	2008.0	81.0					Protect Me with Love and Care	Adult reports of whether they physical hurt children in their household	C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				4	57	Micronesia	Country	-157.5643005	1.768837732	KIR	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	31	Azerbaijan	2006.0	76.8					DHS	Refers to children aged 2-14 years	C	Country data	PT	Percentage	Y2T14	2 to 14 years old	G	Global				4	145	Western Asia	Country	50.01064725	40.39229544	AZE	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	32	Argentina	2012.0	72.4					MICS	Refers to children aged 2-14 years	C	Country data	PT	Percentage	Y2T14	2 to 14 years old	G	Global				5	5	South America	Country	-65.14563274	-35.19446255	ARG	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	324	Guinea	2016.0	89.1					MICS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				5	11	Western Africa	Country	-11.28173419	11.00210343	GIN	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	328	Guyana	2014.0	69.7					MICS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				5	5	South America	Country	-58.97322037	4.788012784	GUY	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	332	Haiti	2017.0	83.2					DHS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				5	29	Caribbean	Country	-72.33640958	18.40426539	HTI	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	368	Iraq	2018.0	80.9					MICS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				4	145	Western Asia	Country	43.76606267	33.05013795	IRQ	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	384	Côte d'Ivoire	2016.0	86.5					MICS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global				5	11	Western Africa	Country	-5.552690016	7.62211586	CIV	1	1
