series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	sex_code	sex_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	1	World	2000.0	495904.0					Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X	Data nature not available	NUMBER	Number	M	Male	G	Global				1			Region					
SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	1	World	2000.0	790247.0					Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X	Data nature not available	NUMBER	Number	_T	Both sexes	G	Global				1			Region					
SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	1	World	2000.0	294343.0					Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X	Data nature not available	NUMBER	Number	F	Female	G	Global				1			Region					
SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	1	World	2005.0	301003.0					Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X	Data nature not available	NUMBER	Number	F	Female	G	Global				1			Region					
SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	1	World	2005.0	504396.0					Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X	Data nature not available	NUMBER	Number	M	Male	G	Global				1			Region					
SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	1	World	2005.0	805400.0					Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X	Data nature not available	NUMBER	Number	_T	Both sexes	G	Global				1			Region					
SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	1	World	2010.0	295814.0					Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X	Data nature not available	NUMBER	Number	F	Female	G	Global				1			Region					
SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	1	World	2010.0	502547.0					Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X	Data nature not available	NUMBER	Number	M	Male	G	Global				1			Region					
SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	1	World	2010.0	798361.0					Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X	Data nature not available	NUMBER	Number	_T	Both sexes	G	Global				1			Region					
SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	1	World	2015.0	286582.0					Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X	Data nature not available	NUMBER	Number	F	Female	G	Global				1			Region					
SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	1	World	2015.0	506330.0					Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X	Data nature not available	NUMBER	Number	M	Male	G	Global				1			Region					
SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	1	World	2015.0	792911.0					Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X	Data nature not available	NUMBER	Number	_T	Both sexes	G	Global				1			Region					
SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	1	World	2016.0	285577.0					Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X	Data nature not available	NUMBER	Number	F	Female	G	Global				1			Region					
SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	1	World	2016.0	507730.0					Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X	Data nature not available	NUMBER	Number	M	Male	G	Global				1			Region					
