series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	location_code	location_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	2000.0	61.25434					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	_T	All areas	G	Global				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	2000.0	86.17919					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	U	Urban	G	Global				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	2000.0	39.4361					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	R	Rural	G	Global				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	2001.0	39.92612					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	R	Rural	G	Global				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	2001.0	61.70454					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	_T	All areas	G	Global				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	2001.0	86.13555					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	U	Urban	G	Global				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	2002.0	86.34688					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	U	Urban	G	Global				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	2002.0	62.83692					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	_T	All areas	G	Global				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	2002.0	41.45364					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	R	Rural	G	Global				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	2003.0	86.29749					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	U	Urban	G	Global				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	2003.0	42.55228					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	R	Rural	G	Global				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	2003.0	63.60941					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	_T	All areas	G	Global				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	2004.0	63.93015					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	_T	All areas	G	Global				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	2004.0	42.79121					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	R	Rural	G	Global				1			Region					
