series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	age_code	age_desc	sex_code	sex_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SI_POV_EMP1	Employed population below international poverty line, by sex and age (%)	1	World	2000.0	25.7					ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M	Modeled data	PT	Percentage	Y_GE15	15 years old and over	M	Male	G	Global				1			Region					
SI_POV_EMP1	Employed population below international poverty line, by sex and age (%)	1	World	2000.0	26.3					ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M	Modeled data	PT	Percentage	Y_GE15	15 years old and over	_T	Both sexes	G	Global				1			Region					
SI_POV_EMP1	Employed population below international poverty line, by sex and age (%)	1	World	2000.0	27.3					ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M	Modeled data	PT	Percentage	Y_GE15	15 years old and over	F	Female	G	Global				1			Region					
SI_POV_EMP1	Employed population below international poverty line, by sex and age (%)	1	World	2000.0	31.1					ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M	Modeled data	PT	Percentage	Y15T24	15 to 24 years old	M	Male	G	Global				1			Region					
SI_POV_EMP1	Employed population below international poverty line, by sex and age (%)	1	World	2000.0	32.1					ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M	Modeled data	PT	Percentage	Y15T24	15 to 24 years old	_T	Both sexes	G	Global				1			Region					
SI_POV_EMP1	Employed population below international poverty line, by sex and age (%)	1	World	2000.0	33.7					ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M	Modeled data	PT	Percentage	Y15T24	15 to 24 years old	F	Female	G	Global				1			Region					
SI_POV_EMP1	Employed population below international poverty line, by sex and age (%)	1	World	2000.0	24.5					ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M	Modeled data	PT	Percentage	Y_GE25	25 years old and over	M	Male	G	Global				1			Region					
SI_POV_EMP1	Employed population below international poverty line, by sex and age (%)	1	World	2000.0	25.0					ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M	Modeled data	PT	Percentage	Y_GE25	25 years old and over	_T	Both sexes	G	Global				1			Region					
SI_POV_EMP1	Employed population below international poverty line, by sex and age (%)	1	World	2000.0	25.7					ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M	Modeled data	PT	Percentage	Y_GE25	25 years old and over	F	Female	G	Global				1			Region					
SI_POV_EMP1	Employed population below international poverty line, by sex and age (%)	1	World	2001.0	24.7					ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M	Modeled data	PT	Percentage	Y_GE15	15 years old and over	M	Male	G	Global				1			Region					
