series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	quantile_code	quantile_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	100	Bulgaria	0.43					World Bank	Estimated from individual income data. Growth rates are for the period of 2009-2014.	G	Global monitoring data	PT	Percentage	G	Global	B40	Bottom 40%	2014				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	100	Bulgaria	2.11					World Bank	Estimated from individual income data. Growth rates are for the period of 2009-2014.	G	Global monitoring data	PT	Percentage	G	Global	_T	Total (national average) or no breakdown	2014				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	112	Belarus	0.52					World Bank	Estimated from individual consumption data. Growth rates are for the period of 2012-2017.	G	Global monitoring data	PT	Percentage	G	Global	_T	Total (national average) or no breakdown	2017				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	112	Belarus	1.09					World Bank	Estimated from individual consumption data. Growth rates are for the period of 2012-2017.	G	Global monitoring data	PT	Percentage	G	Global	B40	Bottom 40%	2017				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	124	Canada	-0.24					World Bank	Estimated from individual income data. Growth rates are for the period of 2010-2013.	G	Global monitoring data	PT	Percentage	G	Global	B40	Bottom 40%	2013				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	124	Canada	0.83					World Bank	Estimated from individual income data. Growth rates are for the period of 2010-2013.	G	Global monitoring data	PT	Percentage	G	Global	_T	Total (national average) or no breakdown	2013				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	144	Sri Lanka	4.24					World Bank	Estimated from individual consumption data. Growth rates are for the period of 2012-2016.	G	Global monitoring data	PT	Percentage	G	Global	B40	Bottom 40%	2016				4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1
SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	144	Sri Lanka	4.72					World Bank	Estimated from individual consumption data. Growth rates are for the period of 2012-2016.	G	Global monitoring data	PT	Percentage	G	Global	_T	Total (national average) or no breakdown	2016				4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1
SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	152	Chile	4.67					World Bank	Estimated from individual income data. Growth rates are for the period of 2013-2017.	G	Global monitoring data	PT	Percentage	G	Global	B40	Bottom 40%	2017				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	152	Chile	4.18					World Bank	Estimated from individual income data. Growth rates are for the period of 2013-2017.	G	Global monitoring data	PT	Percentage	G	Global	_T	Total (national average) or no breakdown	2017				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
