series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	location_code	location_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	1	World	22.34043					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2014				1			Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	1	World	20.73171					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2017				1			Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	1	World	33.33333					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2019				1			Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	143	Central Asia	33.33333					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2014				3	142	Asia	Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	143	Central Asia	0.0					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2017				3	142	Asia	Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	143	Central Asia	0.0					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2019				3	142	Asia	Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	145	Western Asia	0.0					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2014				3	142	Asia	Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	145	Western Asia	33.33333					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2017				3	142	Asia	Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	15	Northern Africa	33.33333					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2014				3	2	Africa	Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	150	Europe	0.0					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2014				2	1	World	Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	150	Europe	16.66667					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2017				2	1	World	Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	199	Least Developed Countries (LDC)	28.94737					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2014				1			Group					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	199	Least Developed Countries (LDC)	32.14286					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2017				1			Group					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	199	Least Developed Countries (LDC)	35.0					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2019				1			Group					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	202	Sub-Saharan Africa	22.22222					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2014				3	2	Africa	Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	202	Sub-Saharan Africa	24.0					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2017				3	2	Africa	Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	202	Sub-Saharan Africa	37.5					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2019				3	2	Africa	Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	30	Eastern Asia	0.0					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2014				3	142	Asia	Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	30	Eastern Asia	0.0					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2017				3	142	Asia	Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	30	Eastern Asia	0.0					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2019				3	142	Asia	Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	34	Southern Asia	44.44444					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2014				3	142	Asia	Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	34	Southern Asia	28.57143					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2017				3	142	Asia	Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	35	South-Eastern Asia	25.0					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2014				3	142	Asia	Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	35	South-Eastern Asia	12.5					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2017				3	142	Asia	Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	35	South-Eastern Asia	0.0					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2019				3	142	Asia	Region					
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	419	Latin America and the Caribbean	18.75					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	R	Rural	G	Global	2014				3	19	Americas	Region					
