series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	age_code	age_desc	sex_code	sex_desc	typeOfSkill_code	typeOfSkill_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	124	Canada	83.22706					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	PT	Percentage	Y16T65	16 to 65 years old	F	Female	SKILL_LTRCY	Literacy	G	Global	2012				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	124	Canada	83.71857					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	PT	Percentage	Y16T65	16 to 65 years old	M	Male	SKILL_LTRCY	Literacy	G	Global	2012				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	124	Canada	80.51837					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	PT	Percentage	Y16T65	16 to 65 years old	M	Male	SKILL_NMRCY	Numeracy	G	Global	2012				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	124	Canada	74.38134					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	PT	Percentage	Y16T65	16 to 65 years old	F	Female	SKILL_NMRCY	Numeracy	G	Global	2012				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	124	Canada	83.47287					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	PT	Percentage	Y16T65	16 to 65 years old	_T	Both sexes	SKILL_LTRCY	Literacy	G	Global	2012				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	124	Canada	77.45051					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	PT	Percentage	Y16T65	16 to 65 years old	_T	Both sexes	SKILL_NMRCY	Numeracy	G	Global	2012				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	144	Sri Lanka	86.9937					Skills Towards Employability and Productivity (STEP) of World Bank		C	Country data	PT	Percentage	Y16T65	16 to 65 years old	_T	Both sexes	SKILL_LTRCY	Literacy	G	Global	2012				4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	152	Chile	48.95728					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	PT	Percentage	Y16T65	16 to 65 years old	M	Male	SKILL_LTRCY	Literacy	G	Global	2015				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	152	Chile	44.02853					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	PT	Percentage	Y16T65	16 to 65 years old	F	Female	SKILL_LTRCY	Literacy	G	Global	2015				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	152	Chile	44.57371					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	PT	Percentage	Y16T65	16 to 65 years old	M	Male	SKILL_NMRCY	Numeracy	G	Global	2015				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
