series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	educationLevel_code	educationLevel_desc	reportingType_code	reportingType_desc	typeOfSkill_code	typeOfSkill_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SE_LGP_ACHI	Language test parity index for achievement (ratio)	100	Bulgaria	0.9494					PIRLS 2001		C	Country data	RO	Ratio	ISCED11_1	Primary	G	Global	SKILL_READ	Skill: Minimum proficiency in reading	2001				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	100	Bulgaria	0.94857					TIMSS 2003		C	Country data	RO	Ratio	ISCED11_2	Lower secondary	G	Global	SKILL_MATH	Skill: Minimum proficiency in mathematics	2003				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	100	Bulgaria	0.3832					PISA 2006		C	Country data	RO	Ratio	ISCED11_2	Lower secondary	G	Global	SKILL_MATH	Skill: Minimum proficiency in mathematics	2006				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	100	Bulgaria	0.96039					PIRLS 2006		C	Country data	RO	Ratio	ISCED11_1	Primary	G	Global	SKILL_READ	Skill: Minimum proficiency in reading	2006				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	100	Bulgaria	0.38032					PISA 2006		C	Country data	RO	Ratio	ISCED11_2	Lower secondary	G	Global	SKILL_READ	Skill: Minimum proficiency in reading	2006				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	100	Bulgaria	0.86385					TIMSS 2007		C	Country data	RO	Ratio	ISCED11_2	Lower secondary	G	Global	SKILL_MATH	Skill: Minimum proficiency in mathematics	2007				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	100	Bulgaria	0.45754					PISA 2009		C	Country data	RO	Ratio	ISCED11_2	Lower secondary	G	Global	SKILL_MATH	Skill: Minimum proficiency in mathematics	2009				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	100	Bulgaria	0.4051					PISA 2009		C	Country data	RO	Ratio	ISCED11_2	Lower secondary	G	Global	SKILL_READ	Skill: Minimum proficiency in reading	2009				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	100	Bulgaria	0.85893					PIRLS 2011		C	Country data	RO	Ratio	ISCED11_1	Primary	G	Global	SKILL_READ	Skill: Minimum proficiency in reading	2011				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	100	Bulgaria	0.32749					PISA 2012		C	Country data	RO	Ratio	ISCED11_2	Lower secondary	G	Global	SKILL_READ	Skill: Minimum proficiency in reading	2012				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	100	Bulgaria	0.43698					PISA 2012		C	Country data	RO	Ratio	ISCED11_2	Lower secondary	G	Global	SKILL_MATH	Skill: Minimum proficiency in mathematics	2012				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	100	Bulgaria	0.46306					PISA 2015		C	Country data	RO	Ratio	ISCED11_2	Lower secondary	G	Global	SKILL_MATH	Skill: Minimum proficiency in mathematics	2015				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	100	Bulgaria	0.93386					TIMSS 2015		C	Country data	RO	Ratio	ISCED11_1	Primary	G	Global	SKILL_MATH	Skill: Minimum proficiency in mathematics	2015				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	100	Bulgaria	0.42294					PISA 2015		C	Country data	RO	Ratio	ISCED11_2	Lower secondary	G	Global	SKILL_READ	Skill: Minimum proficiency in reading	2015				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	108	Burundi	0.90724					PASEC 2014		C	Country data	RO	Ratio	ISCED11_1	Primary	G	Global	SKILL_READ	Skill: Minimum proficiency in reading	2014				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	108	Burundi	0.62651					PASEC 2014		C	Country data	RO	Ratio	ISCED11A_0_G23	Grades 2/3	G	Global	SKILL_READ	Skill: Minimum proficiency in reading	2014				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	108	Burundi	0.97511					PASEC 2014		C	Country data	RO	Ratio	ISCED11_1	Primary	G	Global	SKILL_MATH	Skill: Minimum proficiency in mathematics	2014				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	108	Burundi	1.03396					PASEC 2014		C	Country data	RO	Ratio	ISCED11A_0_G23	Grades 2/3	G	Global	SKILL_MATH	Skill: Minimum proficiency in mathematics	2014				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	12	Algeria	1.03336					TIMSS 2007		C	Country data	RO	Ratio	ISCED11A_0_G23	Grades 2/3	G	Global	SKILL_MATH	Skill: Minimum proficiency in mathematics	2007				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	12	Algeria	0.99205					TIMSS 2007		C	Country data	RO	Ratio	ISCED11_2	Lower secondary	G	Global	SKILL_MATH	Skill: Minimum proficiency in mathematics	2007				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	12	Algeria	1.31886					PISA 2015		C	Country data	RO	Ratio	ISCED11_2	Lower secondary	G	Global	SKILL_MATH	Skill: Minimum proficiency in mathematics	2015				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	12	Algeria	1.29857					PISA 2015		C	Country data	RO	Ratio	ISCED11_2	Lower secondary	G	Global	SKILL_READ	Skill: Minimum proficiency in reading	2015				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	120	Cameroon	0.45607					PASEC 2014		C	Country data	RO	Ratio	ISCED11_1	Primary	G	Global	SKILL_MATH	Skill: Minimum proficiency in mathematics	2014				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
SE_LGP_ACHI	Language test parity index for achievement (ratio)	120	Cameroon	0.43148					PASEC 2014		C	Country data	RO	Ratio	ISCED11A_0_G23	Grades 2/3	G	Global	SKILL_MATH	Skill: Minimum proficiency in mathematics	2014				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
