series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	location_code	location_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SH_SAN_SAFE	Proportion of population using safely managed sanitation services, by urban/rural (%)	1	World	2000.0	21.76113					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	R	Rural	G	Global				1			Region					
SH_SAN_SAFE	Proportion of population using safely managed sanitation services, by urban/rural (%)	1	World	2000.0	35.57416					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	U	Urban	G	Global				1			Region					
SH_SAN_SAFE	Proportion of population using safely managed sanitation services, by urban/rural (%)	1	World	2000.0	28.20863					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	_T	All areas	G	Global				1			Region					
SH_SAN_SAFE	Proportion of population using safely managed sanitation services, by urban/rural (%)	1	World	2001.0	28.40022					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	_T	All areas	G	Global				1			Region					
SH_SAN_SAFE	Proportion of population using safely managed sanitation services, by urban/rural (%)	1	World	2001.0	22.08755					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	R	Rural	G	Global				1			Region					
SH_SAN_SAFE	Proportion of population using safely managed sanitation services, by urban/rural (%)	1	World	2001.0	35.48176					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	U	Urban	G	Global				1			Region					
SH_SAN_SAFE	Proportion of population using safely managed sanitation services, by urban/rural (%)	1	World	2002.0	35.37444					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	U	Urban	G	Global				1			Region					
SH_SAN_SAFE	Proportion of population using safely managed sanitation services, by urban/rural (%)	1	World	2002.0	28.65629					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	_T	All areas	G	Global				1			Region					
SH_SAN_SAFE	Proportion of population using safely managed sanitation services, by urban/rural (%)	1	World	2002.0	22.54587					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	R	Rural	G	Global				1			Region					
SH_SAN_SAFE	Proportion of population using safely managed sanitation services, by urban/rural (%)	1	World	2003.0	29.60018					WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E	Estimated data	PT	Percentage	_T	All areas	G	Global				1			Region					
