series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
DC_ODA_TOTGGE	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI (grant equivalent methodology), by donor countries (%)	124	Canada	2018.0	0.27574					The Organisation for Economic Co-operation and Development (OECD).	Based on OECD, DAC database, 2019 | Grant equivalent	C	Country data	PT	Percentage	G	Global				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
DC_ODA_TOTGGE	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI (grant equivalent methodology), by donor countries (%)	203	Czechia	2018.0	0.14					The Organisation for Economic Co-operation and Development (OECD).	Based on OECD, DAC database, 2019 | Grant equivalent	C	Country data	PT	Percentage	G	Global				4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1
DC_ODA_TOTGGE	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI (grant equivalent methodology), by donor countries (%)	208	Denmark	2018.0	0.71859					The Organisation for Economic Co-operation and Development (OECD).	Based on OECD, DAC database, 2019 | Grant equivalent	C	Country data	PT	Percentage	G	Global				4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1
DC_ODA_TOTGGE	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI (grant equivalent methodology), by donor countries (%)	246	Finland	2018.0	0.35756					The Organisation for Economic Co-operation and Development (OECD).	Based on OECD, DAC database, 2019 | Grant equivalent	C	Country data	PT	Percentage	G	Global				4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1
DC_ODA_TOTGGE	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI (grant equivalent methodology), by donor countries (%)	250	France	2018.0	0.42814					The Organisation for Economic Co-operation and Development (OECD).	Based on OECD, DAC database, 2019 | Grant equivalent	C	Country data	PT	Percentage	G	Global				4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1
DC_ODA_TOTGGE	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI (grant equivalent methodology), by donor countries (%)	276	Germany	2018.0	0.61213					The Organisation for Economic Co-operation and Development (OECD).	Based on OECD, DAC database, 2019 | Grant equivalent	C	Country data	PT	Percentage	G	Global				4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1
DC_ODA_TOTGGE	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI (grant equivalent methodology), by donor countries (%)	300	Greece	2018.0	0.12847					The Organisation for Economic Co-operation and Development (OECD).	Based on OECD, DAC database, 2019 | Grant equivalent	C	Country data	PT	Percentage	G	Global				4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1
DC_ODA_TOTGGE	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI (grant equivalent methodology), by donor countries (%)	348	Hungary	2018.0	0.13979					The Organisation for Economic Co-operation and Development (OECD).	Based on OECD, DAC database, 2019 | Grant equivalent	C	Country data	PT	Percentage	G	Global				4	151	Eastern Europe	Country	19.41221519	47.1651448	HUN	1	1
DC_ODA_TOTGGE	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI (grant equivalent methodology), by donor countries (%)	352	Iceland	2018.0	0.31027					The Organisation for Economic Co-operation and Development (OECD).	Based on OECD, DAC database, 2019 | Grant equivalent	C	Country data	PT	Percentage	G	Global				4	154	Northern Europe	Country	-19.02116966	64.79134763	ISL	1	1
DC_ODA_TOTGGE	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI (grant equivalent methodology), by donor countries (%)	36	Australia	2018.0	0.23327					The Organisation for Economic Co-operation and Development (OECD).	Based on OECD, DAC database, 2019 | Grant equivalent	C	Country data	PT	Percentage	G	Global				4	53	Australia and New Zealand	Country	134.3499412	-25.57717202	AUS	1	1
