series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	cities_code	cities_desc	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	100	Bulgaria	2009.0	100.0					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global	VARNA	"Varna
"				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	100	Bulgaria	2011.0	100.0					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global	SOFIA	"Sofia
"				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	112	Belarus	2007.0	100.0					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global	MINSK	Minsk				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	112	Belarus	2012.0	100.0					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	N	Non-relevant	PT	Percentage	G	Global	NOCITI	All areas or breakdown by cities not available				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	12	Algeria	2009.0	80.0					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global	ALGIERS	Algiers				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	120	Cameroon	2009.0	43.6					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global	YAOUNDE	Yaounde				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	124	Canada	2015.0	98.97291					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global	TORONTO	Toronto				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	124	Canada	2015.0	97.97291					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global	MONTREAL	Montreal				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	132	Cabo Verde	2012.0	70.57					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global	PRAIA	Praia				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	144	Sri Lanka	2007.0	81.0					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global	DEHIWALA-MOUNTLAVINIA	Dehiwala-Mount Lavinia				4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	144	Sri Lanka	2007.0	77.3					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global	MORATUWA	Moratuwa				4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	2001.0	67.3					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global	VALPARAISO_VALPARAISO	Valparaiso, Valparaiso				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	2001.0	75.1					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global	TARAPACA_ARICA	Tarapaca, Arica				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	2001.0	83.2					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global	SANTIAGO_SANTIAGO	Santiago, Santiago				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	2001.0	89.7					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global	SANTIAGO_PROVIDENCIA	Santiago, Providencia				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	2001.0	79.51					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global	MAGALLANES_PUNTAARENAS	Magallanes, Punta Arenas				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	2001.0	82.31					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global	LOSLAGOS_PUERTOMONTT	Los Lagos, Puerto Montt				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
