series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	levelStatus_code	levelStatus_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	1	World	2018.0	21.0					Environment Live		C	Country data	PT	Percentage	DEG_MHIG	Medium-high level of implementation	G	Global				1			Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	1	World	2018.0	19.0					Environment Live		C	Country data	PT	Percentage	DEG_LOW	Low level of implementation	G	Global				1			Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	1	World	2018.0	41.0					Environment Live		C	Country data	PT	Percentage	DEG_MLOW	Medium-low level of implementation	G	Global				1			Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	1	World	2018.0	4.0					Environment Live		C	Country data	PT	Percentage	DEG_VHIG	Very high level of implementation	G	Global				1			Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	1	World	2018.0	1.0					Environment Live		C	Country data	PT	Percentage	DEG_VLOW	Very low level of implementation	G	Global				1			Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	1	World	2018.0	15.0					Environment Live		C	Country data	PT	Percentage	DEG_HIG	High level of implementation	G	Global				1			Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	202	Sub-Saharan Africa	2018.0	51.0					Environment Live		C	Country data	PT	Percentage	DEG_MLOW	Medium-low level of implementation	G	Global				3	2	Africa	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	202	Sub-Saharan Africa	2018.0	18.0					Environment Live		C	Country data	PT	Percentage	DEG_LOW	Low level of implementation	G	Global				3	2	Africa	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	202	Sub-Saharan Africa	2018.0	29.0					Environment Live		C	Country data	PT	Percentage	DEG_MHIG	Medium-high level of implementation	G	Global				3	2	Africa	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	202	Sub-Saharan Africa	2018.0	2.0					Environment Live		C	Country data	PT	Percentage	DEG_VLOW	Very low level of implementation	G	Global				3	2	Africa	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	419	Latin America and the Caribbean	2018.0	3.0					Environment Live		C	Country data	PT	Percentage	DEG_HIG	High level of implementation	G	Global				3	19	Americas	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	419	Latin America and the Caribbean	2018.0	48.0					Environment Live		C	Country data	PT	Percentage	DEG_MLOW	Medium-low level of implementation	G	Global				3	19	Americas	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	419	Latin America and the Caribbean	2018.0	3.0					Environment Live		C	Country data	PT	Percentage	DEG_MHIG	Medium-high level of implementation	G	Global				3	19	Americas	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	419	Latin America and the Caribbean	2018.0	45.0					Environment Live		C	Country data	PT	Percentage	DEG_LOW	Low level of implementation	G	Global				3	19	Americas	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	513	Europe and Northern America	2018.0	16.0					Environment Live		C	Country data	PT	Percentage	DEG_MLOW	Medium-low level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	513	Europe and Northern America	2018.0	9.0					Environment Live		C	Country data	PT	Percentage	DEG_VHIG	Very high level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	513	Europe and Northern America	2018.0	44.0					Environment Live		C	Country data	PT	Percentage	DEG_HIG	High level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	513	Europe and Northern America	2018.0	5.0					Environment Live		C	Country data	PT	Percentage	DEG_LOW	Low level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	513	Europe and Northern America	2018.0	26.0					Environment Live		C	Country data	PT	Percentage	DEG_MHIG	Medium-high level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	53	Australia and New Zealand	2018.0	50.0					Environment Live		C	Country data	PT	Percentage	DEG_HIG	High level of implementation	G	Global				3	9	Oceania	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	53	Australia and New Zealand	2018.0	50.0					Environment Live		C	Country data	PT	Percentage	DEG_MHIG	Medium-high level of implementation	G	Global				3	9	Oceania	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	62	Central and Southern Asia	2018.0	30.0					Environment Live		C	Country data	PT	Percentage	DEG_LOW	Low level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	62	Central and Southern Asia	2018.0	60.0					Environment Live		C	Country data	PT	Percentage	DEG_MLOW	Medium-low level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	62	Central and Southern Asia	2018.0	10.0					Environment Live		C	Country data	PT	Percentage	DEG_MHIG	Medium-high level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	747	Northern Africa and Western Asia	2018.0	27.0					Environment Live		C	Country data	PT	Percentage	DEG_MHIG	Medium-high level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	747	Northern Africa and Western Asia	2018.0	45.0					Environment Live		C	Country data	PT	Percentage	DEG_MLOW	Medium-low level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	747	Northern Africa and Western Asia	2018.0	18.0					Environment Live		C	Country data	PT	Percentage	DEG_HIG	High level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	747	Northern Africa and Western Asia	2018.0	5.0					Environment Live		C	Country data	PT	Percentage	DEG_VHIG	Very high level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	747	Northern Africa and Western Asia	2018.0	5.0					Environment Live		C	Country data	PT	Percentage	DEG_LOW	Low level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	753	Eastern and South-Eastern Asia	2018.0	46.0					Environment Live		C	Country data	PT	Percentage	DEG_MLOW	Medium-low level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	753	Eastern and South-Eastern Asia	2018.0	8.0					Environment Live		C	Country data	PT	Percentage	DEG_HIG	High level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	753	Eastern and South-Eastern Asia	2018.0	15.0					Environment Live		C	Country data	PT	Percentage	DEG_LOW	Low level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	753	Eastern and South-Eastern Asia	2018.0	15.0					Environment Live		C	Country data	PT	Percentage	DEG_VHIG	Very high level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	753	Eastern and South-Eastern Asia	2018.0	15.0					Environment Live		C	Country data	PT	Percentage	DEG_MHIG	Medium-high level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	9	Oceania	2018.0	38.0					Environment Live		C	Country data	PT	Percentage	DEG_LOW	Low level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	9	Oceania	2018.0	50.0					Environment Live		C	Country data	PT	Percentage	DEG_MLOW	Medium-low level of implementation	G	Global				2	1	World	Region					
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	9	Oceania	2018.0	13.0					Environment Live		C	Country data	PT	Percentage	DEG_MHIG	Medium-high level of implementation	G	Global				2	1	World	Region					
