series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	sex_code	sex_desc	migratoryStatus_code	migratoryStatus_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	2000.0	358.0					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Reference group coverage: Insured persons	C	Country data	PER_100000_EMP	Per 100,000 employees	_T	Both sexes	_T	No breakdown	G	Global				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	2001.0	304.0					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Reference group coverage: Insured persons	C	Country data	PER_100000_EMP	Per 100,000 employees	_T	Both sexes	_T	No breakdown	G	Global				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	2002.0	282.0					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Reference group coverage: Insured persons	C	Country data	PER_100000_EMP	Per 100,000 employees	_T	Both sexes	_T	No breakdown	G	Global				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	2003.0	129.0					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Reference group coverage: Insured persons	C	Country data	PER_100000_EMP	Per 100,000 employees	F	Female	_T	No breakdown	G	Global				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	2003.0	218.0					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Reference group coverage: Insured persons	C	Country data	PER_100000_EMP	Per 100,000 employees	_T	Both sexes	_T	No breakdown	G	Global				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	2003.0	311.0					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Reference group coverage: Insured persons	C	Country data	PER_100000_EMP	Per 100,000 employees	M	Male	_T	No breakdown	G	Global				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	2004.0	276.0					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Reference group coverage: Insured persons	C	Country data	PER_100000_EMP	Per 100,000 employees	M	Male	_T	No breakdown	G	Global				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	2004.0	196.0					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Reference group coverage: Insured persons	C	Country data	PER_100000_EMP	Per 100,000 employees	_T	Both sexes	_T	No breakdown	G	Global				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	2004.0	119.0					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Reference group coverage: Insured persons	C	Country data	PER_100000_EMP	Per 100,000 employees	F	Female	_T	No breakdown	G	Global				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	100	Bulgaria	2005.0	122.0					ILOSTAT - ADM - Administrative reports	Coverage of occupational injuries: Reported injuries | Reference group coverage: Insured persons	C	Country data	PER_100000_EMP	Per 100,000 employees	F	Female	_T	No breakdown	G	Global				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
