series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	1	World	1			Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	56.0976	58.36735	58.13008	58.13008				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	143	Central Asia	3	142	Asia	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	60.0	60.0	60.0	60.0				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	145	Western Asia	3	142	Asia	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	66.6667	77.77778	83.33333	83.33333				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	15	Northern Africa	3	2	Africa	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	42.8571	42.85714	42.85714	42.85714				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	150	Europe	2	1	World	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	98.0392	100.0	96.07843	96.07843				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	199	Least Developed Countries (LDC)	1			Group						[2017]	2017	2017	1	PT	Percentage	G	Global			2.08333	2.08333				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	202	Sub-Saharan Africa	3	2	Africa	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	15.0943	15.09434	16.98113	16.98113				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	21	Northern America	3	19	Americas	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	80.0	80.0	80.0	80.0				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	30	Eastern Asia	3	142	Asia	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	71.4286	71.42857	71.42857	71.42857				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	34	Southern Asia	3	142	Asia	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	33.3333	33.33333	33.33333	33.33333				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
