series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2005	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	1	World	1			Region						[2000, 2005, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	10	PER_1000_POP	Per 1,000 population	G	Global	78.865	80.733	71.728	67.718	65.877	63.275	61.196	59.452	59.291	59.122	59.122			Nature of data for some countries in this region are either (M) modelled, E (Estimated ) or  (C) Country data	WMR		_X: Data nature not available
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	[2000, 2005, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	10	PER_1000_POP	Per 1,000 population	G	Global	49.335	49.335	67.64	43.949	62.551	23.156	15.536	13.629	8.342	3.676	3.676				WMR		[2000,2005]: E: Estimated data // [2010-2017]: CA: Country adjusted data
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	[2000, 2005, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	10	PER_1000_POP	Per 1,000 population	G	Global	418.615	269.709	183.523	171.052	161.09	160.342	170.654	191.912	195.104	194.497	194.497				WMR		M: Modeled data
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	11	Western Africa	4	202	Sub-Saharan Africa	Region						[2000, 2005, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	10	PER_1000_POP	Per 1,000 population	G	Global	391.284	393.865	377.766	368.085	357.175	342.786	319.664	289.534	280.882	280.351	280.351			Nature of data for some countries in this region are either (M) modelled, CA (Country adjusted ) or  (C) Country data	WMR		_X: Data nature not available
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	[2000, 2005, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	10	PER_1000_POP	Per 1,000 population	G	Global	100.54	27.671	35.713	36.659	25.509	16.308	22.878	20.49	11.443	18.401	18.401				WMR		CA: Country adjusted data
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	[2000, 2005, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	10	PER_1000_POP	Per 1,000 population	G	Global	0.295	0.153	0.0	0.0	0.025	0.004	0.0	0.0	0.0	0.0	0.0				WMR		C: Country data
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	[2000, 2005, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	10	PER_1000_POP	Per 1,000 population	G	Global	376.931	456.226	268.462	266.185	292.568	321.406	327.469	316.337	306.161	303.8	303.8				WMR		M: Modeled data
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	13	Central America	4	419	Latin America and the Caribbean	Region						[2000, 2005, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	10	PER_1000_POP	Per 1,000 population	G	Global	6.624	3.445	0.847	0.698	0.599	0.563	0.459	0.529	0.639	0.641	0.641			Nature of data for some countries in this region are either (M) modelled, CA (Country adjusted ) or  (C) Country data	WMR		_X: Data nature not available
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	[2000, 2005, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	10	PER_1000_POP	Per 1,000 population	G	Global	1.273	0.551	0.36	0.053	0.007	0.163	0.19	0.051	0.342	2.978	2.978				WMR		C: Country data
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	135	Caucasus and Central Asia	1			Group						[2000, 2005, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	10	PER_1000_POP	Per 1,000 population	G	Global	9.037	1.188	0.059	0.024	0.007	0.001	0.001	0.0	0.0	0.0	0.0			Nature of data for some countries in this region are either (M) modelled, CA (Country adjusted ) or  (C) Country data	WMR		_X: Data nature not available
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	14	Eastern Africa	4	202	Sub-Saharan Africa	Region						[2000, 2005, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	10	PER_1000_POP	Per 1,000 population	G	Global	247.291	219.744	163.305	144.461	141.337	137.662	132.496	139.413	139.784	139.684	139.684			Nature of data for some countries in this region are either (M) modelled, CA (Country adjusted ) or  (C) Country data	WMR		_X: Data nature not available
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1	[2000, 2005, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	10	PER_1000_POP	Per 1,000 population	G	Global	395.734	466.645	481.258	473.341	450.692	419.054	395.734	386.746	387.547	387.318	387.318				WMR		M: Modeled data
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	142	Asia	2	1	World	Region						[2000, 2005, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	10	PER_1000_POP	Per 1,000 population	G	Global	14.496	13.852	12.057	10.345	8.899	6.698	6.641	6.561	6.574	5.358	5.358			Nature of data for some countries in this region are either (M) modelled, CA (Country adjusted ) or  (C) Country data	WMR		_X: Data nature not available
