series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SN_ITK_DEFCN	Number of undernourish people (millions)	1	World	1			Region						[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	NUM_M	Millions	G	Global	907.5	928.1	948.4	961.5	958.4	945.0	911.4	876.9	855.1	839.8	820.5	812.8	805.2	794.9	783.2	784.4	804.2	820.8	820.8			[2017]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
SN_ITK_DEFCN	Number of undernourish people (millions)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	NUM_M	Millions	G	Global	0.4	0.4	0.4	0.5	0.5	0.5	0.5	0.5	0.4	0.4	0.4	0.4	0.4	0.3	0.3	0.2	0.2		0.2			[2016]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
SN_ITK_DEFCN	Number of undernourish people (millions)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	NUM_M	Millions	G	Global	22.2	20.9	19.5	18.2	16.9	15.5	13.9	12.2	10.7	9.5	8.5	7.7	7.1	6.5	6.0	5.7	5.6		5.6			[2016]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
SN_ITK_DEFCN	Number of undernourish people (millions)	11	Western Africa	4	202	Sub-Saharan Africa	Region						[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	NUM_M	Millions	G	Global	36.1	36.8	37.0	36.5	34.3	33.0	32.1	31.3	31.3	31.4	31.9	32.6	33.7	34.9	36.9	40.4	46.3	56.1	56.1			[2017]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
SN_ITK_DEFCN	Number of undernourish people (millions)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	NUM_M	Millions	G	Global	0.2	0.3	0.3	0.4	0.3	0.3	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2		0.2		<0.2	[2016]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
SN_ITK_DEFCN	Number of undernourish people (millions)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	NUM_M	Millions	G	Global	3.6	3.2	2.9	2.8	2.7	2.7	2.6	2.6	2.6	2.6	2.7	2.7	2.8	2.8	2.9	2.9	2.9		2.9			[2016]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
SN_ITK_DEFCN	Number of undernourish people (millions)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	NUM_M	Millions	G	Global	3.3	3.2	3.1	3.0	3.0	2.9	2.8	2.8	2.6	2.5	2.3	2.1	1.9	1.8	1.8	1.9	1.9		1.9			[2016]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
SN_ITK_DEFCN	Number of undernourish people (millions)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	NUM_M	Millions	G	Global	4.7	4.5	4.3	4.0	3.8	3.5	3.3	3.0	2.7	2.5	2.3	2.1	1.8	1.6	1.4	1.5	1.7		1.7			[2016]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
SN_ITK_DEFCN	Number of undernourish people (millions)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	NUM_M	Millions	G	Global	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.9	0.9	0.9	0.9	0.9	0.9	0.9		0.9		[2000-2009]: <0.8 // [2010-2016]: <0.9	[2016]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
SN_ITK_DEFCN	Number of undernourish people (millions)	127	Southern Asia (excluding India)	1			Group						[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	NUM_M	Millions	G	Global	78.3	83.7	85.2	84.1	81.6	80.1	78.8	77.9	76.7	77.1	77.7	79.2	80.6	82.0	84.2	85.2	83.0	83.7	83.7			[2017]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
