series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_1990	value_1995	value_2000	value_2005	value_2010	value_2014	value_2016	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
EN_LND_SLUM	Proportion of urban population living in slums (%)	1	World	1			Region						[2000, 2014, 2016]	2000	2016	3	PT	Percentage	G	Global			28.0			23.0	23.5	23.5				United Nations Human Settlements Programme (UN-HABITAT)		_X: Data nature not available
EN_LND_SLUM	Proportion of urban population living in slums (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	[2005, 2014, 2016]	2005	2016	3	PT	Percentage	G	Global				45.6		41.0	56.6	56.6				United Nations Human Settlements Programme (UN-HABITAT)		_X: Data nature not available
EN_LND_SLUM	Proportion of urban population living in slums (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	[2005, 2014, 2016]	2005	2016	3	PT	Percentage	G	Global				64.3		57.9	48.6	48.6				United Nations Human Settlements Programme (UN-HABITAT)		_X: Data nature not available
EN_LND_SLUM	Proportion of urban population living in slums (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	[2016]	2016	2016	1	PT	Percentage	G	Global							45.2	45.2				United Nations Human Settlements Programme (UN-HABITAT)		_X: Data nature not available
EN_LND_SLUM	Proportion of urban population living in slums (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	[2005, 2014, 2016]	2005	2016	3	PT	Percentage	G	Global				78.9		55.1	47.7	47.7				United Nations Human Settlements Programme (UN-HABITAT)		_X: Data nature not available
EN_LND_SLUM	Proportion of urban population living in slums (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	[1990, 1995, 2000, 2005, 2010, 2014, 2016]	1990	2016	7	PT	Percentage	G	Global	50.8	49.6	48.4	47.4	46.1	37.8	21.7	21.7				United Nations Human Settlements Programme (UN-HABITAT)		_X: Data nature not available
EN_LND_SLUM	Proportion of urban population living in slums (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	[2016]	2016	2016	1	PT	Percentage	G	Global							0.01	0.01				United Nations Human Settlements Programme (UN-HABITAT)		_X: Data nature not available
EN_LND_SLUM	Proportion of urban population living in slums (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1	[1990, 1995, 2000, 2005, 2010, 2014, 2016]	1990	2016	7	PT	Percentage	G	Global	87.5	89.7	91.9	94.1	95.9	93.3	97.5	97.5				United Nations Human Settlements Programme (UN-HABITAT)		_X: Data nature not available
EN_LND_SLUM	Proportion of urban population living in slums (%)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1	[1990, 1995, 2000, 2005, 2010, 2014, 2016]	1990	2016	7	PT	Percentage	G	Global	98.9	96.4	93.9	91.3	89.3	88.2	87.0	87.0				United Nations Human Settlements Programme (UN-HABITAT)		_X: Data nature not available
EN_LND_SLUM	Proportion of urban population living in slums (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1	[2005, 2014]	2005	2014	2	PT	Percentage	G	Global				9.0		9.0		9.0				United Nations Human Settlements Programme (UN-HABITAT)		_X: Data nature not available
