series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2017	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
ER_WAT_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management (%)	1	World	1			Region						[2017, 2019]	2017	2019	2	PT	Percentage	G	Global	82.92683	70.17544	70.17544				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management (%)	143	Central Asia	3	142	Asia	Region						[2017, 2019]	2017	2019	2	PT	Percentage	G	Global	66.66667	66.66667	66.66667				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management (%)	145	Western Asia	3	142	Asia	Region						[2017]	2017	2017	1	PT	Percentage	G	Global	100.0		100.0				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management (%)	150	Europe	2	1	World	Region						[2017]	2017	2017	1	PT	Percentage	G	Global	83.33333		83.33333				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management (%)	199	Least Developed Countries (LDC)	1			Group						[2017, 2019]	2017	2019	2	PT	Percentage	G	Global	85.71429	70.0	70.0				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management (%)	202	Sub-Saharan Africa	3	2	Africa	Region						[2017, 2019]	2017	2019	2	PT	Percentage	G	Global	88.0	72.5	72.5				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management (%)	30	Eastern Asia	3	142	Asia	Region						[2017, 2019]	2017	2019	2	PT	Percentage	G	Global	50.0	33.33333	33.33333				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management (%)	34	Southern Asia	3	142	Asia	Region						[2017]	2017	2017	1	PT	Percentage	G	Global	100.0		100.0				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management (%)	35	South-Eastern Asia	3	142	Asia	Region						[2017, 2019]	2017	2019	2	PT	Percentage	G	Global	100.0	50.0	50.0				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management (%)	419	Latin America and the Caribbean	3	19	Americas	Region						[2017, 2019]	2017	2019	2	PT	Percentage	G	Global	77.27273	72.0	72.0				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
