series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	age_code	age_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_1994	lowerbound_1994	upperbound_1994	value_2000	lowerbound_2000	upperbound_2000	value_2001	lowerbound_2001	upperbound_2001	value_2002	lowerbound_2002	upperbound_2002	value_2003	lowerbound_2003	upperbound_2003	value_2004	lowerbound_2004	upperbound_2004	value_2005	lowerbound_2005	upperbound_2005	value_2006	lowerbound_2006	upperbound_2006	value_2007	lowerbound_2007	upperbound_2007	value_2008	lowerbound_2008	upperbound_2008	value_2009	lowerbound_2009	upperbound_2009	value_2010	lowerbound_2010	upperbound_2010	value_2011	lowerbound_2011	upperbound_2011	value_2012	lowerbound_2012	upperbound_2012	value_2013	lowerbound_2013	upperbound_2013	value_2014	lowerbound_2014	upperbound_2014	value_2015	lowerbound_2015	upperbound_2015	value_2016	lowerbound_2016	upperbound_2016	value_2017	lowerbound_2017	upperbound_2017	value_2018	lowerbound_2018	upperbound_2018	latest_value	basePeriod	valueDetails	lowerBoundDetails	upperBoundDetails	footnotes	sources	timeDetails	nature
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	1	World	1			Region						Y0T4	under 5 years old	[2000, 2005, 2010, 2015, 2018]	2000	2018	5	PT	% of children aged 0-59 months	G	Global				4.93835	4.36625	5.51045													5.13307	4.6167	5.64944													5.40558	4.82816	5.98301													5.72853	4.97912	6.47793							5.90151	5.0147	6.78833	5.90151						Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.		M: Modeled data
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	Y0T4	under 5 years old	[2004]	2004	2004	1	PT	% of children aged 0-59 months	G	Global																13.6																																													13.6					Age interval 1-5; unadjusted;	National monitoring of dietary intake and nutritional status of Bulgarian population, 2004. Department of Nutrition and Public Health, National Center of Public Health Protection, Sofia, Bulgaria (and additional analysis).		CA: Country adjusted data
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y0T4	under 5 years old	[2000, 2003, 2009, 2016]	2000	2016	4	PT	% of children aged 0-59 months	G	Global				2.39284									2.4																		2.6																					1.50618									1.50618						[2000]: Union of Myanmar monitoring national programme of action goals though multiple indicator cluster survey 2000. Yangon, Myanmar, 2001 (and additional analysis). // [2003]: Multiple indicator cluster survey 2003 (MICS). Yangon, Myanmar, 2004 (and additional analysis). // [2009]: Myanmar multiple indicator cluster survey 2009 - 2010: Final Report (MICS3). Nay Pyi Taw, Myanmar: Ministry of National Planning and Economic Development and Ministry of Health, 2011. // [2016]: Myanmar Demographic and Health Survey 2015-16: Final Report. 2016 (and additional analysis)		CA: Country adjusted data
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	Y0T4	under 5 years old	[2000, 2010, 2016]	2000	2016	3	PT	% of children aged 0-59 months	G	Global				1.51688																														2.88468																		1.36364									1.36364						[2000]: EnquĂŞte nationale d'evaluation des conditions de vie de l'enfant et de la femme au Burundi (ENECEF-BURUNDI 2000): Rapport final (MICS). Bujumbura: RĂŠpublique du Burundi and UNICEF, 2001 (and additional analysis). // [2010]: EnquĂŞte dĂŠmographique et de santĂŠ Burundi 2010. Demographic and Health Surveys. Bujumbura, Burundi : ISTEEBU, MSPLS, et ICF International, 2012 (and additional analysis). // [2016]: TroisiĂ¨me EnquĂŞte DĂŠmographique et de SantĂŠ. Bujumbura, Burundi 2016-17: ISTEEBU, MSPLS, et ICF (and additional analysis)		CA: Country adjusted data
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	Y0T4	under 5 years old	[2005]	2005	2005	1	PT	% of children aged 0-59 months	G	Global																			9.73347																																										9.73347						Belarus multiple indicator cluster survey 2005, final report. Minsk, Republic of Belarus: Ministry of Statistics and Analysis [Belarus] and Research Institute of Statistics of the MSA [Belarus], 2007 (and additional analysis).		CA: Country adjusted data
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	Y0T4	under 5 years old	[2000, 2005, 2008, 2010, 2014]	2000	2014	5	PT	% of children aged 0-59 months	G	Global				4.00374															1.62615									2.00719						1.88087												2.22991															2.22991						[2000]: Cambodia demographic and health survey 2000. Demographic and Health Surveys. Phnom Penh, Cambodia, and Calverton, Maryland, USA: National Institute of Statistics, Directorate General for Health, and ORC Macro, 2001 (and additional analysis). // [2005]: Cambodia demographic and health survey 2005. Demographic and Health Surveys. Phnom Penh, Cambodia and Calverton, Maryland, USA: National Institute of Public Health, National Institute of Statistics and ORC Macro, 2006 (and additional analysis). // [2008]: Cambodia anthropometrics survey 2008. Phnom Penh, Cambodia: National Institute of Statistics, Ministry of Planning and UNICEF Cambodia, 2009 (and additional analysis). // [2010]: Cambodia demographic and health survey 2010. Demographic and Health Surveys. Phnom Penh, Cambodia and Calverton, Maryland, USA: National Institute of Statistics, Directorate General for Health, and ICF Macro, 2011 (and additional analysis). // [2014]: Cambodia Demographic and Health Survey 2014. Phnom Penh, Cambodia, and Rockville, Maryland, USA: National Institute of Statistics, Directorate General for Health, and ICF International (and additional analysis)		CA: Country adjusted data
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	Y0T4	under 5 years old	[2000, 2002, 2005, 2012]	2000	2012	4	PT	% of children aged 0-59 months	G	Global				14.7						15.13313									12.9																					12.41454																					12.41454						[2000]: EnquĂŞte nationale sur les objectives de la fin dĂŠcennie santĂŠ mĂ¨re et enfant EDG AlgĂŠrie 2000 (MICS). Institut National de SantĂŠ Publique. RĂŠpublique AlgĂŠrienne DĂŠmocratique et Populaire, 2001 (and additional analysis). // [2002]: EnquĂŞte AlgĂŠrienne sur la santĂŠ de la famille-2002: Rapport principal. Alger, AlgĂŠrie: Agence Nationale de la Documentation en SantĂŠ, 2004 (and additional analysis). // [2005]: Suivi de la situation des enfant et des femmes. EnquĂŞte nationale Ă  indicateurs multiples: Rapport principal. MICS3. RĂŠpublique AlgĂŠrienne DĂŠmocratique et Populaire, DĂŠcembre 2008 (and additional analysis). // [2012]: RĂŠpublique AlgĂŠrienne DĂŠmocratiqe et Populaire enquĂŞte par grappes Ă  indicateurs mulitples (MICS) 2012-2013. Rapport final. MinistĂ¨re de la SantĂŠ, de la Population et de la RĂŠforme HospitaliĂ¨re, 2015 (and additional analysis)		CA: Country adjusted data
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	Y0T4	under 5 years old	[2004, 2006, 2011, 2014]	2004	2014	4	PT	% of children aged 0-59 months	G	Global																8.70112						10.22434															6.44231									6.69973															6.69973						[2004]: EnquĂŞte dĂŠmographique et de santĂŠ du Cameroun 2004. Demographic and Health Surveys. Calverton, Maryland, USA: INS et ORC Macro, 2004 (and additional analysis). // [2006]: Cameroun: Suivi de la situation des enfants et des femmes. EnquĂŞte par grappee Ă  indicateurs multiples 2006. Rapport principal. YaoundĂŠ, Cameroun: Institut National de la Statistique et UNICEF, 2008 (and additional analysis). // [2011]: EnquĂŞte dĂŠmographique et de santĂŠ et Ă  indicateurs multiples du Cameroun 2011. Demographic and Health Surveys and MICS. Calverton, Maryland, USA : INS et ICF International, 2012 (and additional analysis) // [2014]: EnquĂŞte par grappes Ă  indicateurs multiples (MICS5), 2014, Rapport Final. YaoundĂŠ, Cameroun, Institut National de la Statistique (and additional analysis)		CA: Country adjusted data
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	Y0T4	under 5 years old	[2004]	2004	2004	1	PT	% of children aged 0-59 months	G	Global																10.4																																													10.4					Age-adjusted; overweight using BMI-for-age z-scores	Canadian childhood obesity estimates based on WHO, IOTF and CDC cut-points. International Journal of Pediatric Obesity 2010;5:265-73.		CA: Country adjusted data
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1	Y0T4	under 5 years old	[2000, 2006, 2010, 2012]	2000	2012	4	PT	% of children aged 0-59 months	G	Global				10.79505																		8.07379												1.81502						1.9381																					1.9381						[2000]: EnquĂŞte Ă  indicateurs mutliples - MICS 2000. Rapport Final. Bangui, RĂŠpublique Centrafricaine: BBA editions, 2001 (and additional analysis). // [2006]: Suivi de la situation des enfants et des femmes. MICS-3 RĂŠsultats de l'enquĂŞte nationale Ă  indicateurs multiples couplĂŠe avec la sĂŠrologie VIH et enĂŠmie en RCA 2006. Bangui, Republique Centrafricaine: ICASEES, 2009 (and additional analysis). // [2010]: Suivi de la situation des enfants, des femmes et des hommes. EnquĂŞte par grappes Ă  indicateurs multiples - MICS couplĂŠe avec la sĂŠrologie VIH, RCA, 2010: Rapport final. Bangui, RCA: ICASEES, 2012 (and additional analysis) // [2012]: Enquete Nationale Sur La Situation Nutritionnelle et la MortalitĂŠ en Republique Centrafricaine, Rapport Finale du 30 Mai au 15 Juillet 2012 (and additional analysis)		CA: Country adjusted data
