series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2017	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
ER_WAT_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)	1	World	1			Region						[2017, 2019]	2017	2019	2	PT	Percentage	G	Global	8.53659	31.57895	31.57895				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)	143	Central Asia	3	142	Asia	Region						[2017, 2019]	2017	2019	2	PT	Percentage	G	Global	0.0	66.66667	66.66667				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)	145	Western Asia	3	142	Asia	Region						[2017]	2017	2017	1	PT	Percentage	G	Global	0.0		0.0				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)	150	Europe	2	1	World	Region						[2017]	2017	2017	1	PT	Percentage	G	Global	16.66667		16.66667				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)	199	Least Developed Countries (LDC)	1			Group						[2017, 2019]	2017	2019	2	PT	Percentage	G	Global	7.14286	27.5	27.5				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)	202	Sub-Saharan Africa	3	2	Africa	Region						[2017, 2019]	2017	2019	2	PT	Percentage	G	Global	8.0	40.0	40.0				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)	30	Eastern Asia	3	142	Asia	Region						[2017, 2019]	2017	2019	2	PT	Percentage	G	Global	0.0	0.0	0.0				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)	34	Southern Asia	3	142	Asia	Region						[2017]	2017	2017	1	PT	Percentage	G	Global	14.28571		14.28571				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)	35	South-Eastern Asia	3	142	Asia	Region						[2017, 2019]	2017	2019	2	PT	Percentage	G	Global	0.0	12.5	12.5				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)	419	Latin America and the Caribbean	3	19	Americas	Region						[2017, 2019]	2017	2019	2	PT	Percentage	G	Global	9.09091	20.0	20.0				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)	432	Landlocked developing countries (LLDCs)	1			Group						[2017, 2019]	2017	2019	2	PT	Percentage	G	Global	13.63636	50.0	50.0				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)	513	Europe and Northern America	2	1	World	Region						[2017]	2017	2017	1	PT	Percentage	G	Global	16.66667		16.66667				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)	543	Oceania (exc. Australia and New Zealand)	3	9	Oceania	Region						[2017, 2019]	2017	2019	2	PT	Percentage	G	Global	16.66667	0.0	0.0				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)	62	Central and Southern Asia	2	1	World	Region						[2017]	2017	2017	1	PT	Percentage	G	Global	10.0		10.0				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)	722	Small island developing States (SIDS)	1			Group						[2017, 2019]	2017	2019	2	PT	Percentage	G	Global	7.14286	8.69565	8.69565				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)	747	Northern Africa and Western Asia	2	1	World	Region						[2017]	2017	2017	1	PT	Percentage	G	Global	0.0		0.0				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)	753	Eastern and South-Eastern Asia	2	1	World	Region						[2017, 2019]	2017	2019	2	PT	Percentage	G	Global	0.0	9.09091	9.09091				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
ER_WAT_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)	9	Oceania	2	1	World	Region						[2017]	2017	2017	1	PT	Percentage	G	Global	16.66667		16.66667				Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E: Estimated data
