series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	quantile_code	quantile_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_1998	value_1999	value_2000	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SI_COV_SOCINS	[World Bank] Proportion of population covered by social insurance programs (%)	1	World	1			Region						Q1	Quintile 1 (poorest)	[2016]	2016	2016	1	PT	Percentage	G	Global																		19.83864	19.83864				World Development Indicators database, World Bank		CA: Country adjusted data
SI_COV_SOCINS	[World Bank] Proportion of population covered by social insurance programs (%)	1	World	1			Region						_T	Total (national average) or no breakdown	[2016]	2016	2016	1	PT	Percentage	G	Global																		22.24043	22.24043				World Development Indicators database, World Bank		CA: Country adjusted data
SI_COV_SOCINS	[World Bank] Proportion of population covered by social insurance programs (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	Q1	Quintile 1 (poorest)	[2007]	2007	2007	1	PT	Percentage	G	Global									48.19672										48.19672			Multi-Topic Household Survey	National Statistical Institute - Government of Republic of Bulgaria		CA: Country adjusted data
SI_COV_SOCINS	[World Bank] Proportion of population covered by social insurance programs (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	_T	Total (national average) or no breakdown	[2007]	2007	2007	1	PT	Percentage	G	Global									47.71536										47.71536			Multi-Topic Household Survey	National Statistical Institute - Government of Republic of Bulgaria		CA: Country adjusted data
SI_COV_SOCINS	[World Bank] Proportion of population covered by social insurance programs (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region						_T	Total (national average) or no breakdown	[2016]	2016	2016	1	PT	Percentage	G	Global																		7.87435	7.87435				World Development Indicators database, World Bank		CA: Country adjusted data
SI_COV_SOCINS	[World Bank] Proportion of population covered by social insurance programs (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region						Q1	Quintile 1 (poorest)	[2016]	2016	2016	1	PT	Percentage	G	Global																		6.23729	6.23729				World Development Indicators database, World Bank		CA: Country adjusted data
SI_COV_SOCINS	[World Bank] Proportion of population covered by social insurance programs (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	Q1	Quintile 1 (poorest)	[2008, 2009, 2010, 2012, 2013, 2015, 2016]	2008	2016	7	PT	Percentage	G	Global										39.38569	36.75283	37.15201		42.49706	48.98092		40.68515	39.14599	39.14599			[2008-2010]: Household Sample Survey // [2012-2013,2015-2016]: Household Sample Survey 	National Statistical Committee of the Republic of Belarus		CA: Country adjusted data
SI_COV_SOCINS	[World Bank] Proportion of population covered by social insurance programs (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	_T	Total (national average) or no breakdown	[2008, 2009, 2010, 2012, 2013, 2015, 2016]	2008	2016	7	PT	Percentage	G	Global										43.08533	40.88504	42.38951		47.92547	48.6875		49.69061	49.98795	49.98795			[2008-2010]: Household Sample Survey // [2012-2013,2015-2016]: Household Sample Survey 	National Statistical Committee of the Republic of Belarus		CA: Country adjusted data
SI_COV_SOCINS	[World Bank] Proportion of population covered by social insurance programs (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	_T	Total (national average) or no breakdown	[2008, 2013]	2008	2013	2	PT	Percentage	G	Global										2.64562					1.86914				1.86914			[2008]: Socio-Economic Survey 2008 // [2013]: Socio-Economic Survey 2013	National Institute of Statistics - Ministry of Planning		CA: Country adjusted data
SI_COV_SOCINS	[World Bank] Proportion of population covered by social insurance programs (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	Q1	Quintile 1 (poorest)	[2008, 2013]	2008	2013	2	PT	Percentage	G	Global										1.3418					0.35887				0.35887			[2008]: Socio-Economic Survey 2008 // [2013]: Socio-Economic Survey 2013	National Institute of Statistics - Ministry of Planning		CA: Country adjusted data
SI_COV_SOCINS	[World Bank] Proportion of population covered by social insurance programs (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	_T	Total (national average) or no breakdown	[2007, 2014]	2007	2014	2	PT	Percentage	G	Global									2.80467							3.40811			3.40811			[2007]: Troisieme Enquete Camerounaise Aupres des Menages 2007 // [2014]: Quatričme Enquęte Camerounaise Auprčs des Ménages 2014 (ECAM4)	[2007]: Institut National de la Statistique (INS) - Ministere de l'Economie, de la Planification et de lAmenagement du Territoire // [2014]: Institut National de la Statistique - Ministčre de l'Economie, de la Planification et de l'Aménagement du Territoire		CA: Country adjusted data
SI_COV_SOCINS	[World Bank] Proportion of population covered by social insurance programs (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	Q1	Quintile 1 (poorest)	[2007, 2014]	2007	2014	2	PT	Percentage	G	Global									0.96333							0.91225			0.91225			[2007]: Troisieme Enquete Camerounaise Aupres des Menages 2007 // [2014]: Quatričme Enquęte Camerounaise Auprčs des Ménages 2014 (ECAM4)	[2007]: Institut National de la Statistique (INS) - Ministere de l'Economie, de la Planification et de lAmenagement du Territoire // [2014]: Institut National de la Statistique - Ministčre de l'Economie, de la Planification et de l'Aménagement du Territoire		CA: Country adjusted data
SI_COV_SOCINS	[World Bank] Proportion of population covered by social insurance programs (%)	13	Central America	4	419	Latin America and the Caribbean	Region						Q1	Quintile 1 (poorest)	[2016]	2016	2016	1	PT	Percentage	G	Global																		11.4756	11.4756				World Development Indicators database, World Bank		CA: Country adjusted data
SI_COV_SOCINS	[World Bank] Proportion of population covered by social insurance programs (%)	13	Central America	4	419	Latin America and the Caribbean	Region						_T	Total (national average) or no breakdown	[2016]	2016	2016	1	PT	Percentage	G	Global																		32.67502	32.67502				World Development Indicators database, World Bank		CA: Country adjusted data
SI_COV_SOCINS	[World Bank] Proportion of population covered by social insurance programs (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	_T	Total (national average) or no breakdown	[2007]	2007	2007	1	PT	Percentage	G	Global									6.00065										6.00065			Questionario Unificado de Indicadores Basicos de Bem-Estar (QUIBB)	Instituto Nacional de Estatística (INE)		CA: Country adjusted data
SI_COV_SOCINS	[World Bank] Proportion of population covered by social insurance programs (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	Q1	Quintile 1 (poorest)	[2007]	2007	2007	1	PT	Percentage	G	Global									3.24719										3.24719			Questionario Unificado de Indicadores Basicos de Bem-Estar (QUIBB)	Instituto Nacional de Estatística (INE)		CA: Country adjusted data
SI_COV_SOCINS	[World Bank] Proportion of population covered by social insurance programs (%)	135	Caucasus and Central Asia	1			Group						Q1	Quintile 1 (poorest)	[2016]	2016	2016	1	PT	Percentage	G	Global																		39.45795	39.45795				World Development Indicators database, World Bank		CA: Country adjusted data
