series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	age_code	age_desc	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SH_FPL_INFMSR	Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y15T49	15 to 49 years old	F	Female	[2016]	2016	2016	1	PT	Percentage	G	Global											81.4			81.4			Based on women aged 15-49 years married or in union who are currently using any contraceptives.	DHS 2015-2016. UNFPA Global Database, 2019.		C: Country data
SH_FPL_INFMSR	Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	Y15T49	15 to 49 years old	F	Female	[2010, 2017]	2010	2017	2	PT	Percentage	G	Global					64.4							63.1		63.1			Based on women aged 15-49 years married or in union who are currently using any contraceptives.	[2010]: DHS 2010. UNFPA Global Database, 2019. // [2017]: DHS 2016-2017. UNFPA Global Database, 2019.		C: Country data
SH_FPL_INFMSR	Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	Y15T49	15 to 49 years old	F	Female	[2010, 2014]	2010	2014	2	PT	Percentage	G	Global					91.6				92.9					92.9			Based on women aged 15-49 years married or in union who are currently using any contraceptives.	[2010]: DHS 2010. UNFPA Global Database, 2019. // [2014]: DHS 2014. UNFPA Global Database, 2019.		C: Country data
SH_FPL_INFMSR	Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	Y15T49	15 to 49 years old	F	Female	[2011]	2011	2011	1	PT	Percentage	G	Global						88.6								88.6			Based on women aged 15-49 years married or in union who are currently using any contraceptives.	DHS 2011. UNFPA Global Database, 2019.		C: Country data
SH_FPL_INFMSR	Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1	Y15T49	15 to 49 years old	F	Female	[2015]	2015	2015	1	PT	Percentage	G	Global										63.3				63.3			Based on women aged 15-49 years married or in union who are currently using any contraceptives.	DHS 2014-2015. UNFPA Global Database, 2019.		C: Country data
SH_FPL_INFMSR	Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years)	174	Comoros	5	14	Eastern Africa	Country	43.34234565	-11.66121732	COM	1	1	Y15T49	15 to 49 years old	F	Female	[2012]	2012	2012	1	PT	Percentage	G	Global							47.4							47.4			Based on women aged 15-49 years married or in union who are currently using any contraceptives.	DHS 2012. UNFPA Global Database, 2019.		C: Country data
SH_FPL_INFMSR	Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years)	178	Congo	5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1	Y15T49	15 to 49 years old	F	Female	[2012]	2012	2012	1	PT	Percentage	G	Global							70.8							70.8			Based on women aged 15-49 years married or in union who are currently using any contraceptives.	DHS 2011-2012. UNFPA Global Database, 2019.		C: Country data
SH_FPL_INFMSR	Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years)	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1	Y15T49	15 to 49 years old	F	Female	[2007, 2014]	2007	2014	2	PT	Percentage	G	Global		51.1							73.8					73.8			Based on women aged 15-49 years married or in union who are currently using any contraceptives.	[2007]: DHS 2007. UNFPA Global Database, 2019. // [2014]: DHS 2013-2014. UNFPA Global Database, 2019.		C: Country data
SH_FPL_INFMSR	Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years)	204	Benin	5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1	Y15T49	15 to 49 years old	F	Female	[2006, 2012]	2006	2012	2	PT	Percentage	G	Global	80.6						63.5							63.5			Based on women aged 15-49 years married or in union who are currently using any contraceptives.	[2006]: DHS 2006. UNFPA Global Database, 2019. // [2012]: DHS 2011-2012. UNFPA Global Database, 2019.		C: Country data
SH_FPL_INFMSR	Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years)	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1	Y15T49	15 to 49 years old	F	Female	[2007]	2007	2007	1	PT	Percentage	G	Global		93.3												93.3			Based on women aged 15-49 years married or in union who are currently using any contraceptives.	DHS 2007. UNFPA Global Database, 2019.		C: Country data
