series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	lowerbound_2000	upperbound_2000	value_2001	lowerbound_2001	upperbound_2001	value_2002	lowerbound_2002	upperbound_2002	value_2003	lowerbound_2003	upperbound_2003	value_2004	lowerbound_2004	upperbound_2004	value_2005	lowerbound_2005	upperbound_2005	value_2006	lowerbound_2006	upperbound_2006	value_2007	lowerbound_2007	upperbound_2007	value_2008	lowerbound_2008	upperbound_2008	value_2009	lowerbound_2009	upperbound_2009	value_2010	lowerbound_2010	upperbound_2010	value_2011	lowerbound_2011	upperbound_2011	value_2012	lowerbound_2012	upperbound_2012	value_2013	lowerbound_2013	upperbound_2013	value_2014	lowerbound_2014	upperbound_2014	value_2015	lowerbound_2015	upperbound_2015	value_2016	lowerbound_2016	upperbound_2016	value_2017	lowerbound_2017	upperbound_2017	value_2018	lowerbound_2018	upperbound_2018	latest_value	basePeriod	valueDetails	lowerBoundDetails	upperBoundDetails	footnotes	sources	timeDetails	nature
ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	1	World	1			Region						[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	32.94022	32.8513	33.0205	34.03062	33.9405	34.11646	34.81882	34.74207	34.89216	35.68962	35.60812	35.75442	37.32242	37.25419	37.38599	37.84568	37.77821	37.9012	39.22874	39.16083	39.27824	40.39243	40.3379	40.43325	41.07738	41.0257	41.11966	41.72123	41.68599	41.74517	42.28549	42.25012	42.30622	42.7599	42.72755	42.77818	43.48235	43.45302	43.49681	44.0355	44.02109	44.04015	44.27581	44.26014	44.27695	44.36342	44.34717	44.36398	44.50482	44.49151	44.50482	44.65881	44.65027	44.65881	44.68935	44.68935	44.68935	44.68935						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	11.18703	11.18703	11.18703	11.60413	11.60413	11.60413	11.87109	11.87109	11.87109	14.05221	14.05221	14.05221	25.24698	25.24698	25.24698	27.00563	27.00563	27.00563	66.59932	66.59932	66.59932	98.70137	98.70137	98.70137	98.70137	98.70137	98.70137	98.70137	98.70137	98.70137	98.70137	98.70137	98.70137	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039	98.71039						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	22.71747	20.56813	24.89139	26.85166	24.70231	29.02557	31.0798	28.90588	33.22914	34.26783	31.54783	35.35479	41.73049	38.49418	41.73049	43.86366	41.71431	43.86366	43.86366	41.71431	43.86366	43.86366	41.71431	43.86366	43.86366	41.71431	43.86366	43.86366	41.71431	43.86366	45.94382	43.79447	45.94382	45.94382	43.79447	45.94382	45.94382	43.79447	45.94382	45.94382	43.79447	45.94382	45.94382	43.79447	45.94382	45.94382	43.79447	45.94382	45.99101	44.90405	45.99101	45.99101	44.90405	45.99101	45.99105	45.99105	45.99105	45.99105						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	79.12928	79.12928	79.12928	79.12928	79.12928	79.12928	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	82.88381	83.20117	83.20117	83.20117	83.20117	83.20117	83.20117	83.20117	83.20117	83.20117	83.20117	83.20117	83.20117	83.20117	83.20117	83.20117	83.20117	83.20117	83.20117	83.20117						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	75.69665	75.69665	75.69665	75.69665	75.69665	75.69665	75.69665	75.69665	75.69665	75.69665	75.69665	75.69665	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196	84.93196						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	16.41342	16.41342	16.41342	17.35279	17.35279	17.35279	17.35279	17.35279	17.35279	17.79852	17.79852	17.79852	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582	25.90582						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	17.44375	14.69387	17.6682	21.44953	18.4752	21.44953	21.44953	18.4752	21.44953	21.44953	18.4752	21.44953	21.44953	18.4752	21.44953	21.44953	18.4752	21.44953	21.44953	18.4752	21.44953	22.90356	20.15367	22.90356	22.90356	20.15367	22.90356	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695	24.96695						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	24.58156	24.58156	24.58156	24.80566	24.80566	24.80566	24.80566	24.80566	24.80566	26.51832	26.51832	26.51832	26.51832	26.51832	26.51832	27.03987	27.03987	27.03987	27.6199	27.6199	27.6199	27.98134	27.98134	27.98134	29.31142	29.31142	29.31142	29.34084	29.34084	29.34084	31.5957	31.5957	31.5957	31.6052	31.6052	31.6052	31.6052	31.6052	31.6052	31.72344	31.72344	31.72344	31.72344	31.72344	31.72344	31.84817	31.84817	31.84817	32.63592	32.63592	32.63592	36.74878	36.74878	36.74878	36.74878	36.74878	36.74878	36.74878						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	7.32016	0.0	7.32016	7.32016	0.0	7.32016	7.32016	0.0	7.32016	7.32016	0.0	7.32016	7.32016	0.0	7.32016	7.32016	0.0	7.32016	7.32016	0.0	7.32016	7.32016	0.0	7.32016	7.32016	0.0	7.32016	7.32016	0.0	7.32016	7.32016	0.0	7.32016	7.32016	0.0	7.32016	7.32016	0.0	7.32016	7.32016	0.0	7.32016	7.32016	0.0	7.32016	7.32016	0.0	7.32016	7.32016	0.0	7.32016	7.32016	0.0	7.32016	7.32016	0.0	7.32016	7.32016						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601	50.14601						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
