series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2007	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SE_GPI_PART	Gender parity index for participation rate in formal and non-formal education and training (ratio)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	[2007, 2011, 2016]	2007	2016	3	RO	Ratio	G	Global	0.92348	0.89455					1.0081	1.0081				Adult Education Survey (AES)		C: Country data
SE_GPI_PART	Gender parity index for participation rate in formal and non-formal education and training (ratio)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	[2012]	2012	2012	1	RO	Ratio	G	Global			0.97804					0.97804				Programme for the International Assessment of Adult Competencies (PIAAC)		C: Country data
SE_GPI_PART	Gender parity index for participation rate in formal and non-formal education and training (ratio)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1	[2015]	2015	2015	1	RO	Ratio	G	Global						0.79389		0.79389				Programme for the International Assessment of Adult Competencies (PIAAC)		C: Country data
SE_GPI_PART	Gender parity index for participation rate in formal and non-formal education and training (ratio)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	[2007, 2016]	2007	2016	2	RO	Ratio	G	Global	0.98598						0.95692	0.95692				Adult Education Survey (AES)		C: Country data
SE_GPI_PART	Gender parity index for participation rate in formal and non-formal education and training (ratio)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1	[2007, 2011, 2016]	2007	2016	3	RO	Ratio	G	Global	0.88837	0.96288					0.71378	0.71378				Adult Education Survey (AES)		C: Country data
SE_GPI_PART	Gender parity index for participation rate in formal and non-formal education and training (ratio)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1	[2007, 2011, 2016]	2007	2016	3	RO	Ratio	G	Global	0.80769	0.99462					0.86061	0.86061				Adult Education Survey (AES)		C: Country data
SE_GPI_PART	Gender parity index for participation rate in formal and non-formal education and training (ratio)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1	[2007, 2011, 2016]	2007	2016	3	RO	Ratio	G	Global	1.02661	1.1068					1.08175	1.08175				Adult Education Survey (AES)		C: Country data
SE_GPI_PART	Gender parity index for participation rate in formal and non-formal education and training (ratio)	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1	[2007, 2011, 2016]	2007	2016	3	RO	Ratio	G	Global	1.20985	1.13508					1.27022	1.27022				Adult Education Survey (AES)		C: Country data
SE_GPI_PART	Gender parity index for participation rate in formal and non-formal education and training (ratio)	246	Finland	4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1	[2007, 2011, 2016]	2007	2016	3	RO	Ratio	G	Global	1.20228	1.23138					1.20266	1.20266				Adult Education Survey (AES)		C: Country data
SE_GPI_PART	Gender parity index for participation rate in formal and non-formal education and training (ratio)	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1	[2007, 2011, 2016]	2007	2016	3	RO	Ratio	G	Global	0.92818	1.01181					1.0948	1.0948				Adult Education Survey (AES)		C: Country data
SE_GPI_PART	Gender parity index for participation rate in formal and non-formal education and training (ratio)	276	Germany	4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1	[2007, 2011, 2016]	2007	2016	3	RO	Ratio	G	Global	0.87785	0.90152					1.00766	1.00766				Adult Education Survey (AES)		C: Country data
SE_GPI_PART	Gender parity index for participation rate in formal and non-formal education and training (ratio)	300	Greece	4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1	[2007, 2011, 2016]	2007	2016	3	RO	Ratio	G	Global	1.02055	1.21374					1.09143	1.09143				Adult Education Survey (AES)		C: Country data
SE_GPI_PART	Gender parity index for participation rate in formal and non-formal education and training (ratio)	348	Hungary	4	151	Eastern Europe	Country	19.41221519	47.1651448	HUN	1	1	[2007, 2011, 2016]	2007	2016	3	RO	Ratio	G	Global	1.13542	0.91628					0.89779	0.89779				Adult Education Survey (AES)		C: Country data
