series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	age_code	age_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2005	value_2010	value_2015	value_2016	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	1	World	1			Region						Y_GE15	15 years old and over	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	LITRES_PURE_ALCOHOL	Litres pure alcohol	G	Global	5.74375	5.54371	6.36825	6.44151	6.37532	6.37532				WHO Global Information System on Alcohol and Health (GISAH), 2018		G: Global monitoring data
SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	Y_GE15	15 years old and over	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	LITRES_PURE_ALCOHOL	Litres pure alcohol	G	Global	10.67691	11.72373	12.01769	12.38205	12.68478	12.68478				WHO Global Information System on Alcohol and Health (GISAH), 2018		G: Global monitoring data
SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y_GE15	15 years old and over	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	LITRES_PURE_ALCOHOL	Litres pure alcohol	G	Global	0.37587	1.62248	2.91552	4.95365	4.7689	4.7689				WHO Global Information System on Alcohol and Health (GISAH), 2018		G: Global monitoring data
SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	Y_GE15	15 years old and over	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	LITRES_PURE_ALCOHOL	Litres pure alcohol	G	Global	8.25039	7.66396	7.12354	7.48374	7.48374	7.48374				WHO Global Information System on Alcohol and Health (GISAH), 2018		G: Global monitoring data
SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	11	Western Africa	4	202	Sub-Saharan Africa	Region						Y_GE15	15 years old and over	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	LITRES_PURE_ALCOHOL	Litres pure alcohol	G	Global	8.16613	8.24739	7.71237	8.61971	8.61854	8.61854				WHO Global Information System on Alcohol and Health (GISAH), 2018		G: Global monitoring data
SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	Y_GE15	15 years old and over	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	LITRES_PURE_ALCOHOL	Litres pure alcohol	G	Global	16.36546	15.2558	17.50135	12.42601	11.1862	11.1862				WHO Global Information System on Alcohol and Health (GISAH), 2018		G: Global monitoring data
SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	Y_GE15	15 years old and over	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	LITRES_PURE_ALCOHOL	Litres pure alcohol	G	Global	2.61933	2.64793	4.99808	6.23732	6.71304	6.71304				WHO Global Information System on Alcohol and Health (GISAH), 2018		G: Global monitoring data
SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	Y_GE15	15 years old and over	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	LITRES_PURE_ALCOHOL	Litres pure alcohol	G	Global	0.54295	0.88364	0.68856	0.92483	0.92012	0.92012				WHO Global Information System on Alcohol and Health (GISAH), 2018		G: Global monitoring data
SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	Y_GE15	15 years old and over	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	LITRES_PURE_ALCOHOL	Litres pure alcohol	G	Global	6.86034	8.24061	8.73438	8.98197	8.88983	8.88983				WHO Global Information System on Alcohol and Health (GISAH), 2018		G: Global monitoring data
SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	Y_GE15	15 years old and over	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	LITRES_PURE_ALCOHOL	Litres pure alcohol	G	Global	9.32396	9.7917	10.22213	8.89327	8.92986	8.92986				WHO Global Information System on Alcohol and Health (GISAH), 2018		G: Global monitoring data
