series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	modeOfTransportation_code	modeOfTransportation_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	1	World	1			Region						MOT_RAI	Rail transport	[2017]	2017	2017	1	P_KM	Passenger kilometres	G	Global	5.0	5.0		5,567,451,577,493		the International Transport Forum at the OECD (ITF-OECD)		C: Country data
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	1	World	1			Region						MOT_ROA	Road transport	[2017]	2017	2017	1	P_KM	Passenger kilometres	G	Global	22.0	22.0		22,908,332,756,875		the International Transport Forum at the OECD (ITF-OECD)		C: Country data
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	1	World	1			Region						MOT_AIR	Air transport	[2017]	2017	2017	1	P_KM	Passenger kilometres	G	Global	7.0	7.0		7,699,420,216,746		ICAO		C: Country data
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	MOT_RAI	Rail transport	[2017]	2017	2017	1	P_KM	Passenger kilometres	G	Global	250.0	250.0		250,962,897		the International Transport Forum at the OECD (ITF-OECD)		C: Country data
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	MOT_ROA	Road transport	[2017]	2017	2017	1	P_KM	Passenger kilometres	G	Global	66.0	66.0		66,300,098,653		the International Transport Forum at the OECD (ITF-OECD)		C: Country data
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	MOT_ROA	Road transport	[2017]	2017	2017	1	P_KM	Passenger kilometres	G	Global	51.0	51.0		51,442,901,908		the International Transport Forum at the OECD (ITF-OECD)		C: Country data
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	MOT_RAI	Rail transport	[2017]	2017	2017	1	P_KM	Passenger kilometres	G	Global	27.0	27.0		27,094,823,072		the International Transport Forum at the OECD (ITF-OECD)		C: Country data
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	MOT_RAI	Rail transport	[2017]	2017	2017	1	P_KM	Passenger kilometres	G	Global	92.0	92.0				the International Transport Forum at the OECD (ITF-OECD)		C: Country data
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	MOT_ROA	Road transport	[2017]	2017	2017	1	P_KM	Passenger kilometres	G	Global	3.0	3.0		3,317,300,863		the International Transport Forum at the OECD (ITF-OECD)		C: Country data
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	11	Western Africa	4	202	Sub-Saharan Africa	Region						MOT_ROA	Road transport	[2017]	2017	2017	1	P_KM	Passenger kilometres	G	Global	363.0	363.0		363,913,231,601		the International Transport Forum at the OECD (ITF-OECD)		C: Country data
