series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	age_code	age_desc	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	1	World	1			Region						Y15T24	15 to 24 years old	F	Female	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	PT	Percentage	G	Global						33.5	33.0	32.5	31.9	31.8	31.6	31.4	31.2	31.2	30.8	30.7	30.4	30.3	30.4	30.4				ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M: Modeled data
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	1	World	1			Region						Y15T24	15 to 24 years old	M	Male	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	PT	Percentage	G	Global						13.5	13.1	12.7	12.6	13.0	12.9	12.7	12.6	12.8	12.6	12.6	12.6	12.6	12.7	12.7				ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M: Modeled data
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	1	World	1			Region						Y15T24	15 to 24 years old	_T	Both sexes	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	PT	Percentage	G	Global						23.3	22.8	22.4	22.0	22.2	22.0	21.8	21.6	21.7	21.4	21.4	21.2	21.2	21.3	21.3				ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M: Modeled data
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	Y15T24	15 to 24 years old	M	Male	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2003	2017	15	PT	Percentage	G	Global				27.5	22.9	23.7	19.9	17.7	15.6	18.1	20.3	21.8	21.6	22.1	19.2	18.6	17.1	13.6		13.6			[2003,2005-2006,2008,2010-2011]: Break in series: Methodology revised | Repository: Eurostat special tabulation // [2004,2007,2009,2012-2017]: Repository: Eurostat special tabulation	ILOSTAT - LFS - EU Labour Force Survey		C: Country data
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	Y15T24	15 to 24 years old	F	Female	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2003	2017	15	PT	Percentage	G	Global				29.1	25.9	26.5	24.7	20.6	19.3	20.9	21.8	21.9	21.5	21.1	21.4	20.0	19.4	17.2		17.2			[2003,2005-2006,2008,2010-2011]: Break in series: Methodology revised | Repository: Eurostat special tabulation // [2004,2007,2009,2012-2017]: Repository: Eurostat special tabulation	ILOSTAT - LFS - EU Labour Force Survey		C: Country data
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	Y15T24	15 to 24 years old	_T	Both sexes	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2003	2017	15	PT	Percentage	G	Global				28.3	24.4	25.1	22.2	19.1	17.4	19.5	21.0	21.8	21.5	21.6	20.2	19.3	18.2	15.3		15.3			[2003,2005-2006,2008,2010-2011]: Break in series: Methodology revised | Repository: Eurostat special tabulation // [2004,2007,2009,2012-2017]: Repository: Eurostat special tabulation	ILOSTAT - LFS - EU Labour Force Survey		C: Country data
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y15T24	15 to 24 years old	M	Male	[2015, 2017]	2015	2017	2	PT	Percentage	G	Global																11.2		10.6		10.6			Break in series: Methodology revised | Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers	ILOSTAT - LFS - Labour force survey		C: Country data
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y15T24	15 to 24 years old	_T	Both sexes	[2015, 2017]	2015	2017	2	PT	Percentage	G	Global																18.6		17.4		17.4			Break in series: Methodology revised | Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers	ILOSTAT - LFS - Labour force survey		C: Country data
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y15T24	15 to 24 years old	F	Female	[2015, 2017]	2015	2017	2	PT	Percentage	G	Global																25.2		23.6		23.6			Break in series: Methodology revised | Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers	ILOSTAT - LFS - Labour force survey		C: Country data
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	Y15T24	15 to 24 years old	_T	Both sexes	[2014, 2017]	2014	2017	2	PT	Percentage	G	Global															3.8			6.2		6.2			[2014]: Repository: ILO-STATISTICS - Micro data processing // [2017]: Data reference period: Noncalendar year	ILOSTAT - HIES - Living standards survey		C: Country data
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	Y15T24	15 to 24 years old	M	Male	[2014, 2017]	2014	2017	2	PT	Percentage	G	Global															3.9			6.4		6.4			[2014]: Repository: ILO-STATISTICS - Micro data processing // [2017]: Data reference period: Noncalendar year	ILOSTAT - HIES - Living standards survey		C: Country data
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	Y15T24	15 to 24 years old	F	Female	[2014, 2017]	2014	2017	2	PT	Percentage	G	Global															3.7			6.0		6.0			[2014]: Repository: ILO-STATISTICS - Micro data processing // [2017]: Data reference period: Noncalendar year	ILOSTAT - HIES - Living standards survey		C: Country data
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	Y15T24	15 to 24 years old	M	Male	[2009]	2009	2009	1	PT	Percentage	G	Global										10.5										10.5				ILOSTAT - PC - Population census		C: Country data
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	Y15T24	15 to 24 years old	_T	Both sexes	[2009]	2009	2009	1	PT	Percentage	G	Global										12.1										12.1				ILOSTAT - PC - Population census		C: Country data
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	Y15T24	15 to 24 years old	F	Female	[2009]	2009	2009	1	PT	Percentage	G	Global										13.8										13.8				ILOSTAT - PC - Population census		C: Country data
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	Y15T24	15 to 24 years old	F	Female	[2012]	2012	2012	1	PT	Percentage	G	Global													15.2							15.2			Break in series: Methodology revised | Repository: ILO-STATISTICS - Micro data processing	ILOSTAT - LFS - Labour force survey		C: Country data
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	Y15T24	15 to 24 years old	_T	Both sexes	[2012]	2012	2012	1	PT	Percentage	G	Global													12.7							12.7			Break in series: Methodology revised | Repository: ILO-STATISTICS - Micro data processing	ILOSTAT - LFS - Labour force survey		C: Country data
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	Y15T24	15 to 24 years old	M	Male	[2012]	2012	2012	1	PT	Percentage	G	Global													10.3							10.3			Break in series: Methodology revised | Repository: ILO-STATISTICS - Micro data processing	ILOSTAT - LFS - Labour force survey		C: Country data
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	Y15T24	15 to 24 years old	M	Male	[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2017]	2009	2017	8	PT	Percentage	G	Global										11.2	10.8	15.0	10.8	8.8	11.4	10.8		10.9		10.9			[2009-2010,2017]: Data reference period: September	ILOSTAT - LFS - Household Employment Survey		C: Country data
