series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
FI_FSI_FSSNO	Net open position in foreign exchange to capital (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	[2008, 2009]	2008	2009	2	PT	Percentage	G	Global									0.21075	0.22205										0.22205			Indicator for the whole deposit-taking sector	http://data.imf.org/FSI		C: Country data
FI_FSI_FSSNO	Net open position in foreign exchange to capital (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8	PT	Percentage	G	Global											-0.20744	0.01836	-10.7796	0.05476	-9.17	12.34024	2.45948	1.49341		1.49341			Indicator for the whole deposit-taking sector	http://data.imf.org/FSI		[2010-2016]: C: Country data // [2017]: _X: Data nature not available
FI_FSI_FSSNO	Net open position in foreign exchange to capital (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8	PT	Percentage	G	Global											-1.17979	5.47373	9.17106	11.33424	9.11267	4.40668	6.27005	2.99419		2.99419			Indicator for the whole deposit-taking sector	http://data.imf.org/FSI		C: Country data
FI_FSI_FSSNO	Net open position in foreign exchange to capital (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8	PT	Percentage	G	Global											1.01313	3.62004	2.73861	9.35477	4.09961	3.57635	2.63063	2.50238		2.50238			Indicator for the whole deposit-taking sector	http://data.imf.org/FSI		C: Country data
FI_FSI_FSSNO	Net open position in foreign exchange to capital (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	[2009, 2010, 2011, 2012, 2013, 2014]	2009	2014	6	PT	Percentage	G	Global										0.0	0.0	0.0	0.0	0.0	0.0					0.0			Indicator for the whole deposit-taking sector	http://data.imf.org/FSI		C: Country data
FI_FSI_FSSNO	Net open position in foreign exchange to capital (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8	PT	Percentage	G	Global											15.70733	-3.29734	10.94284	-12.2071	-4.94821	-2.91107	4.66751	6.05201		6.05201			Indicator for the whole deposit-taking sector	http://data.imf.org/FSI		C: Country data
FI_FSI_FSSNO	Net open position in foreign exchange to capital (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8	PT	Percentage	G	Global											14.50006	-3.76996	1.00958	-6.45029	-20.01005	-2.96966	-20.91529	-6.31958		-6.31958			Indicator for the whole deposit-taking sector	http://data.imf.org/FSI		C: Country data
FI_FSI_FSSNO	Net open position in foreign exchange to capital (%)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8	PT	Percentage	G	Global											19.93836	6.24631	-3.94029	-22.29093	-14.05162	1.62855	24.83407	-14.59374		-14.59374			Indicator for the whole deposit-taking sector	http://data.imf.org/FSI		C: Country data
FI_FSI_FSSNO	Net open position in foreign exchange to capital (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1	[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2008	2017	10	PT	Percentage	G	Global									5.95873	0.76875	0.84405	1.94369	5.57303	-0.24576	3.48215	-0.69804	-13.09285	-1.43099		-1.43099			Indicator for the whole deposit-taking sector	http://data.imf.org/FSI		C: Country data
FI_FSI_FSSNO	Net open position in foreign exchange to capital (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8	PT	Percentage	G	Global											6.73178	4.57626	3.91923	3.68238	3.49505	3.67252	3.54164	2.54427		2.54427			Indicator for the whole deposit-taking sector	http://data.imf.org/FSI		C: Country data
