series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	1	World	1			Region						_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	34.9			34.9				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	48.6			48.6			ILO estimates based on country data	ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region						_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	4.5			4.5				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	0.4			0.4			ILO estimates based on country data	ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	39.7			39.7			ILO estimates based on country data	ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	13	Central America	4	419	Latin America and the Caribbean	Region						_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	29.1			29.1				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	31.5			31.5			ILO estimates based on country data	ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	14	Eastern Africa	4	202	Sub-Saharan Africa	Region						_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	13.0			13.0			To interpret with caution: estimates based on reported data coverage below 40% of the population	ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1	_T	Both sexes	[2017]	2017	2017	1	PT	Percentage	G	Global		1.0		1.0			ILO estimates based on country data	ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	142	Asia	2	1	World	Region						_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	30.0			30.0			To interpret with caution: estimates based on reported data coverage below 40% of the population	ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	143	Central Asia	3	142	Asia	Region						_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	43.9			43.9				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	145	Western Asia	3	142	Asia	Region						_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	61.1			61.1			To interpret with caution: estimates based on reported data coverage below 40% of the population	ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	15	Northern Africa	3	2	Africa	Region						_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	32.1			32.1			To interpret with caution: estimates based on reported data coverage below 40% of the population	ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	150	Europe	2	1	World	Region						_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	93.2			93.2				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	151	Eastern Europe	3	150	Europe	Region						_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	87.9			87.9				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	93.1			93.1			ILO estimates based on country data	ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	154	Northern Europe	3	150	Europe	Region						_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	99.9			99.9				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	155	Western Europe	3	150	Europe	Region						_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	100.0			100.0				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	2.2			2.2			ILO estimates based on country data	ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	17	Middle Africa	4	202	Sub-Saharan Africa	Region						_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	18.9			18.9				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	27.3			27.3			ILO estimates based on country data	ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	18	Southern Africa	4	202	Sub-Saharan Africa	Region						_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	65.1			65.1				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	1.3			1.3			ILO estimates based on country data	ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	17.7			17.7			ILO estimates based on country data	ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	60.3			60.3			ILO estimates based on country data	ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	202	Sub-Saharan Africa	3	2	Africa	Region						_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	13.1			13.1				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	100.0			100.0			ILO estimates based on country data	ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	21	Northern America	3	19	Americas	Region						_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	90.6			90.6			To interpret with caution: estimates based on reported data coverage below 40% of the population	ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	6.7			6.7			ILO estimates based on country data	ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3		E: Estimated data
SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	100.0			100.0			ILO estimates based on country data	ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3		E: Estimated data
