series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
IC_GEN_MGTL	Proportion of women in managerial positions (%)	1	World	1			Region						F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	25.1	25.4	25.5	25.9	26.1	26.4	26.5	26.6	26.5	26.5	26.6	26.5	25.9	25.9	26.0	26.3	26.8	27.0	27.2	27.2				ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M: Modeled data
IC_GEN_MGTL	Proportion of women in managerial positions (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	29.8	32.7	33.5	31.3	34.4	34.0	31.6	31.4	32.3	32.2	33.3	36.8	36.4	36.5	36.7	36.5	37.9	39.2		39.2			[2000,2002,2004,2006-2007,2009,2012-2017]: Repository: Eurostat special tabulation; // [2001,2003,2005,2008,2010-2011]: Repository: Eurostat special tabulation;Break in series: Methodology revised	ILOSTAT - LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTL	Proportion of women in managerial positions (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	F	Female	[2015, 2017]	2015	2017	2	PT	Percentage	G	Global																28.4		35.6		35.6			Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers;Break in series: Methodology revised	ILOSTAT - LFS - Labour force survey		C: Country data
IC_GEN_MGTL	Proportion of women in managerial positions (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	F	Female	[2014, 2017]	2014	2017	2	PT	Percentage	G	Global															27.4			32.4		32.4			Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old;	ILOSTAT - HIES - Living standards survey		C: Country data
IC_GEN_MGTL	Proportion of women in managerial positions (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	F	Female	[2009, 2016, 2017]	2009	2017	3	PT	Percentage	G	Global										46.3							46.0	47.6		47.6			[2016]: Population coverage: Excluding non-permanent residents | Institutional sector coverage: Private sector only | Age coverage - maximum age: 74 years old; // [2017]: Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents | Institutional sector coverage: Private sector only | Age coverage - maximum age: 74 years old;	[2009]: ILOSTAT - PC - Population census // [2016-2017]: ILOSTAT - LFS - Labour force survey		C: Country data
IC_GEN_MGTL	Proportion of women in managerial positions (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	F	Female	[2000, 2001, 2012]	2000	2012	3	PT	Percentage	G	Global	12.6	13.8											30.9							30.9			[2000-2001]: Data reference period: November | Age coverage - minimum age: 10 years old; // [2012]: Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised	ILOSTAT - LFS - Labour force survey		C: Country data
IC_GEN_MGTL	Proportion of women in managerial positions (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	F	Female	[2001, 2003, 2004, 2013, 2014, 2017]	2001	2017	6	PT	Percentage	G	Global		5.2		5.7	4.9									10.6	9.9			8.4		8.4			Data reference period: September;	ILOSTAT - LFS - Household Employment Survey		C: Country data
IC_GEN_MGTL	Proportion of women in managerial positions (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	F	Female	[2014]	2014	2014	1	PT	Percentage	G	Global															49.3					49.3			Repository: ILO-STATISTICS - Micro data processing;	ILOSTAT - HS - Household survey of Cameroon		C: Country data
IC_GEN_MGTL	Proportion of women in managerial positions (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]	2000	2014	15	PT	Percentage	G	Global	35.5	35.0	34.1	35.7	36.5	35.9	36.3	36.9	36.0	37.0	36.8	37.1	36.4	35.8	35.5					35.5			[2000-2007]: Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population; // [2008]: Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population;Break in series: Methodology revised // [2009-2014]: Geographical coverage: Total national, excluding some areas;	ILOSTAT - LFS - Labour Force Survey		C: Country data
IC_GEN_MGTL	Proportion of women in managerial positions (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	F	Female	[2015, 2017]	2015	2017	2	PT	Percentage	G	Global																42.3		43.8		43.8			[2015]: Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old;	ILOSTAT - LFS - Continuous Multi-Objective Survey Employment and Labor Market Statistics		C: Country data
IC_GEN_MGTL	Proportion of women in managerial positions (%)	143	Central Asia	3	142	Asia	Region						F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	27.2	27.5	28.2	28.6	30.7	29.6	30.2	30.8	31.6	31.4	30.4	30.7	31.4	30.7	30.6	30.2	30.2	30.3	30.3	30.3				ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M: Modeled data
