series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	1	World	1			Region						F	Female	[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2009	2017	9	PT	Percentage	G	Global										61.67463	63.04185	63.59339	65.49741	65.7818	66.69899	67.64855	68.23164	68.67443		68.67443				UIS		E: Estimated data
SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	1	World	1			Region						_T	Both sexes	[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2009	2017	9	PT	Percentage	G	Global										61.2904	62.72682	63.35997	65.25821	65.6364	66.898	67.75144	68.3937	68.89693		68.89693				UIS		E: Estimated data
SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	1	World	1			Region						M	Male	[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2009	2017	9	PT	Percentage	G	Global										60.90571	62.41078	63.12145	65.01308	65.48039	67.06553	67.83163	68.54389	69.10909		69.10909				UIS		E: Estimated data
SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	M	Male	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	PT	Percentage	G	Global	82.30319	81.33217	81.23071	90.25433	90.40421	95.99899	99.42419	99.83254	99.38088	96.25441	93.92889	94.26982	92.87213	92.24784	93.29375	93.18907	95.0549			95.0549				UIS		C: Country data
SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	PT	Percentage	G	Global	81.48001	82.42843	81.59935	89.4063	88.65066	96.09205	100.0	100.0	98.65202	95.15168	93.92292	94.76506	93.11847	92.21978	92.39166	92.36393	95.74626			95.74626				UIS		C: Country data
SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	_T	Both sexes	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	PT	Percentage	G	Global	81.9026	81.86469	81.4097	89.84241	89.55171	96.04427	99.70438	99.91399	99.02669	95.71905	93.92599	94.51013	92.99169	92.23422	92.85531	92.78775	95.39126			95.39126				UIS		C: Country data
SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	_T	Both sexes	[2010, 2017]	2010	2017	2	PT	Percentage	G	Global											19.89187							42.31326		42.31326				UIS		C: Country data
SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	F	Female	[2010, 2017]	2010	2017	2	PT	Percentage	G	Global											19.88144							42.41212		42.41212				UIS		C: Country data
SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	M	Male	[2010, 2017]	2010	2017	2	PT	Percentage	G	Global											19.90243							42.2147		42.2147				UIS		C: Country data
SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	M	Male	[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2004	2017	14	PT	Percentage	G	Global					90.5089	93.84394	98.22267	99.00888	96.27314	95.66942	93.62998	93.19987	96.76762	100.0	100.0	100.0	100.0	98.52236		98.52236				UIS		[2004-2008,2012-2017]: C: Country data // [2009-2011]: E: Estimated data
