series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	Freq	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SH_STA_TRAF	Death rate due to road traffic injuries (per 100,000 population)	1	World	1			Region						ANNUAL	[2000, 2005, 2010, 2013]	2000	2013	4	PER_100000_POP	Per 100,000 population	G	Global	18.0					18.8					18.0			17.4	17.4			[]	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)		E: Estimated data
SH_STA_TRAF	Death rate due to road traffic injuries (per 100,000 population)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	ANNUAL	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	2000	2013	14	PER_100000_POP	Per 100,000 population	G	Global	12.6	13.1	12.2	12.3	12.2	12.5	13.9	14.3	14.4	12.1	10.5	9.0	8.3	8.3	8.3			[]	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)		CA: Country adjusted data
SH_STA_TRAF	Death rate due to road traffic injuries (per 100,000 population)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	ANNUAL	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	2000	2013	14	PER_100000_POP	Per 100,000 population	G	Global	21.8	21.5	21.3	21.0	20.8	20.6	20.4	19.9	20.0	20.0	19.8	19.7	20.3	20.3	20.3			[]	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)		E: Estimated data
SH_STA_TRAF	Death rate due to road traffic injuries (per 100,000 population)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	ANNUAL	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	2000	2013	14	PER_100000_POP	Per 100,000 population	G	Global	31.0	31.0	30.2	30.5	30.4	30.8	30.7	30.9	30.8	30.8	30.9	31.2	31.3	31.3	31.3			[]	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)		E: Estimated data
SH_STA_TRAF	Death rate due to road traffic injuries (per 100,000 population)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	ANNUAL	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	2000	2013	14	PER_100000_POP	Per 100,000 population	G	Global	17.6	17.5	25.8	26.4	23.1	22.7	22.4	23.2	23.6	19.3	21.9	18.5	15.7	13.7	13.7			[]	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)		CA: Country adjusted data
SH_STA_TRAF	Death rate due to road traffic injuries (per 100,000 population)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	ANNUAL	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	2000	2013	14	PER_100000_POP	Per 100,000 population	G	Global	17.8	17.8	17.9	18.0	18.0	18.2	18.4	18.3	18.5	18.8	18.7	18.7	17.5	17.4	17.4			[]	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)		E: Estimated data
SH_STA_TRAF	Death rate due to road traffic injuries (per 100,000 population)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	ANNUAL	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	2000	2013	14	PER_100000_POP	Per 100,000 population	G	Global	24.0	24.0	23.9	24.0	24.2	24.2	24.6	24.7	24.9	25.0	24.8	25.1	23.8	23.8	23.8			[]	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)		E: Estimated data
SH_STA_TRAF	Death rate due to road traffic injuries (per 100,000 population)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	ANNUAL	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	2000	2013	14	PER_100000_POP	Per 100,000 population	G	Global	27.7	27.7	28.0	28.1	28.4	28.7	28.5	28.8	28.9	28.9	29.1	29.0	27.6	27.6	27.6			[]	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)		E: Estimated data
SH_STA_TRAF	Death rate due to road traffic injuries (per 100,000 population)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	ANNUAL	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	2000	2013	14	PER_100000_POP	Per 100,000 population	G	Global	9.5	8.9	9.4	9.1	8.9	9.4	9.1	8.8	8.0	7.1	7.3	6.3	6.5	6.0	6.0			[]	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)		CA: Country adjusted data
SH_STA_TRAF	Death rate due to road traffic injuries (per 100,000 population)	127	Southern Asia (excluding India)	1			Group						ANNUAL	[2000, 2005, 2010, 2013]	2000	2013	4	PER_100000_POP	Per 100,000 population	G	Global	18.0					19.3					18.4			17.2	17.2			[]	Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)		E: Estimated data
