series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	age_code	age_desc	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SL_TLF_UEM	Unemployment rate, by sex and age (%)	1	World	1			Region						Y_GE25	25 years old and over	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	4.4	4.4	4.6	4.7	4.6	4.6	4.3	4.1	4.0	4.5	4.5	4.5	4.5	4.5	4.4	4.4	4.5	4.3	4.3	4.3				ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M: Modeled data
SL_TLF_UEM	Unemployment rate, by sex and age (%)	1	World	1			Region						Y_GE25	25 years old and over	M	Male	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	3.7	3.8	4.1	4.1	3.9	3.7	3.5	3.3	3.4	4.0	3.9	3.8	3.8	3.8	3.7	3.7	3.7	3.6	3.5	3.5				ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M: Modeled data
SL_TLF_UEM	Unemployment rate, by sex and age (%)	1	World	1			Region						Y15T24	15 to 24 years old	M	Male	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	11.1	11.3	11.8	11.9	11.5	11.4	10.8	10.3	10.4	11.5	11.3	11.2	11.5	11.6	11.4	11.7	11.9	11.6	11.5	11.5				ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M: Modeled data
SL_TLF_UEM	Unemployment rate, by sex and age (%)	1	World	1			Region						Y_GE25	25 years old and over	_T	Both sexes	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	4.0	4.1	4.3	4.4	4.2	4.1	3.8	3.6	3.6	4.2	4.2	4.1	4.1	4.1	4.0	4.0	4.0	3.9	3.8	3.8				ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M: Modeled data
SL_TLF_UEM	Unemployment rate, by sex and age (%)	1	World	1			Region						Y15T24	15 to 24 years old	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	11.4	11.6	12.2	12.5	12.6	12.6	12.0	11.3	11.3	12.3	12.1	12.1	12.2	12.3	12.1	12.5	12.8	12.6	12.4	12.4				ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M: Modeled data
SL_TLF_UEM	Unemployment rate, by sex and age (%)	1	World	1			Region						Y15T24	15 to 24 years old	_T	Both sexes	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	11.2	11.5	12.0	12.2	11.9	11.9	11.3	10.7	10.8	11.8	11.6	11.6	11.8	11.9	11.7	12.0	12.2	12.0	11.8	11.8				ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M: Modeled data
SL_TLF_UEM	Unemployment rate, by sex and age (%)	1	World	1			Region						Y_GE15	15 years old and over	M	Male	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	5.2	5.3	5.6	5.7	5.4	5.3	4.9	4.6	4.7	5.4	5.2	5.1	5.1	5.1	4.9	4.9	4.9	4.8	4.7	4.7				ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M: Modeled data
SL_TLF_UEM	Unemployment rate, by sex and age (%)	1	World	1			Region						Y_GE15	15 years old and over	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	5.9	5.9	6.2	6.3	6.2	6.2	5.8	5.4	5.4	6.0	5.9	5.8	5.8	5.8	5.6	5.7	5.7	5.5	5.4	5.4				ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M: Modeled data
SL_TLF_UEM	Unemployment rate, by sex and age (%)	1	World	1			Region						Y_GE15	15 years old and over	_T	Both sexes	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	5.5	5.6	5.8	5.9	5.7	5.6	5.3	5.0	5.0	5.6	5.5	5.4	5.4	5.4	5.2	5.2	5.2	5.1	5.0	5.0				ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.		M: Modeled data
SL_TLF_UEM	Unemployment rate, by sex and age (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	Y_GE25	25 years old and over	M	Male	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	14.2	18.3	16.4	12.5	11.0	9.0	7.6	5.7	4.7	5.9	9.7	11.0	12.1	12.6	11.5	9.0	7.6	5.9		5.9			[2000,2002,2004,2006-2007,2009,2012-2017]: Repository: Eurostat special tabulation; // [2001,2003,2005,2008,2010-2011]: Break in series: Methodology revised | Repository: Eurostat special tabulation	ILOSTAT - LFS - EU Labour Force Survey		C: Country data
