series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	2001	2013	13
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			[2011, 2017, 2018, 2019]	2011	2019	4
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			[2000, 2001, 2002, 2004, 2005, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	16
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			[2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2004	2017	13
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			[2000, 2001, 2002, 2004, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2018]	2000	2018	12
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			[2008]	2008	2008	1
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			[2000, 2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	18
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			[2000, 2001, 2002, 2005, 2007, 2008, 2009, 2010, 2011]	2000	2011	9
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			[2002, 2004, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2014, 2015, 2016, 2017]	2002	2017	13
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1			[2000, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011]	2000	2011	11
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2009	2018	10
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1			[2000, 2001, 2004, 2005, 2009, 2010, 2011, 2012, 2013, 2017, 2018]	2000	2018	11
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			[2000, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2014, 2015, 2016, 2017]	2000	2017	16
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	174	Comoros	5	14	Eastern Africa	Country	43.34234565	-11.66121732	COM	1	1			[2002, 2008, 2011, 2012, 2013, 2014, 2015]	2002	2015	7
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	178	Congo	5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1			[2002, 2003, 2004, 2005, 2010, 2014, 2015, 2017, 2018]	2002	2018	9
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1			[2010, 2013, 2014, 2015, 2016, 2017]	2010	2017	6
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	184	Cook Islands	4	61	Polynesia	Country	-159.7711391	-21.22696458	COK	0	1			[2000, 2011, 2012, 2013, 2014]	2000	2014	5
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1			[2000, 2001, 2002, 2003, 2004, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	18
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			[2002, 2003, 2004, 2007, 2008, 2009, 2010, 2011, 2013]	2002	2013	9
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2014, 2015, 2016]	2000	2016	16
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	20	Andorra	4	39	Southern Europe	Country	1.576257417	42.54548611	AND	1	1			[2015, 2016, 2017, 2018]	2015	2018	4
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	204	Benin	5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	18
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]	2000	2014	15
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	212	Dominica	5	29	Caribbean	Country	-61.3493756	15.43391378	DMA	1	1			[2015]	2015	2015	1
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1			[2000, 2001, 2002, 2003, 2007]	2000	2007	5
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1			[2000, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2000	2015	8
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	222	El Salvador	5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1			[2000, 2002, 2003, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	17
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	231	Ethiopia	5	14	Eastern Africa	Country	39.63505296	8.631223181	ETH	1	1			[2000, 2001, 2002, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2000	2015	13
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	232	Eritrea	5	14	Eastern Africa	Country	38.11074289	16.12894644	ERI	1	1			[2001, 2002, 2004, 2006]	2001	2006	4
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	16
SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	24	Angola	5	17	Middle Africa	Country	17.57817062	-12.33724746	AGO	1	1			[2000, 2005, 2006, 2010]	2000	2010	4
