goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	age_code	age_desc	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2020	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
5	Goal 5	Achieve gender equality and empower all women and girls	5.6	Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences	C050601	5.6.1	Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_INFMRH	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	1	World	1			Region								Y15T49	15 to 49 years old	F	Female	[2020]	2020	2020	1	PT	Percentage	G	Global														75.2	75.2			57 countries, 13 per cent population coverage	UNFPA Global Database, 2020.		G: Global monitoring data
5	Goal 5	Achieve gender equality and empower all women and girls	5.6	Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences	C050601	5.6.1	Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_INFMRH	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			Y15T49	15 to 49 years old	F	Female	[2016]	2016	2016	1	PT	Percentage	G	Global											84.9				84.9			Based on women aged 15-49 years married or in union who are currently using any contraceptives.	DHS 2015-2016. UNFPA Global Database, 2019.		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.6	Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences	C050601	5.6.1	Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_INFMRH	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			Y15T49	15 to 49 years old	F	Female	[2010, 2017]	2010	2017	2	PT	Percentage	G	Global					80.3							72.0			72.0			Based on women aged 15-49 years married or in union who are currently using any contraceptives.	[2010]: DHS 2010. UNFPA Global Database, 2019. // [2017]: DHS 2016-2017. UNFPA Global Database, 2019.		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.6	Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences	C050601	5.6.1	Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_INFMRH	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	11	Western Africa	4	202	Sub-Saharan Africa	Region								Y15T49	15 to 49 years old	F	Female	[2020]	2020	2020	1	PT	Percentage	G	Global														58.5	58.5			13 countries, 99 per cent population coverage	UNFPA Global Database, 2020.		G: Global monitoring data
5	Goal 5	Achieve gender equality and empower all women and girls	5.6	Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences	C050601	5.6.1	Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_INFMRH	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			Y15T49	15 to 49 years old	F	Female	[2010, 2014]	2010	2014	2	PT	Percentage	G	Global					90.6				91.3						91.3			Based on women aged 15-49 years married or in union who are currently using any contraceptives.	[2010]: DHS 2010. UNFPA Global Database, 2019. // [2014]: DHS 2014. UNFPA Global Database, 2019.		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.6	Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences	C050601	5.6.1	Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_INFMRH	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			Y15T49	15 to 49 years old	F	Female	[2011]	2011	2011	1	PT	Percentage	G	Global						47.8									47.8			Based on women aged 15-49 years married or in union who are currently using any contraceptives.	DHS 2011. UNFPA Global Database, 2019.		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.6	Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences	C050601	5.6.1	Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_INFMRH	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	14	Eastern Africa	4	202	Sub-Saharan Africa	Region								Y15T49	15 to 49 years old	F	Female	[2020]	2020	2020	1	PT	Percentage	G	Global														79.2	79.2			12 countries, 97 per cent population coverage	UNFPA Global Database, 2020.		G: Global monitoring data
5	Goal 5	Achieve gender equality and empower all women and girls	5.6	Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences	C050601	5.6.1	Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_INFMRH	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	143	Central Asia	3	142	Asia	Region								Y15T49	15 to 49 years old	F	Female	[2020]	2020	2020	1	PT	Percentage	G	Global														72.3	72.3			2 countries, 13 per cent population coverage	UNFPA Global Database, 2020.		G: Global monitoring data
5	Goal 5	Achieve gender equality and empower all women and girls	5.6	Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences	C050601	5.6.1	Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_INFMRH	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	145	Western Asia	3	142	Asia	Region								Y15T49	15 to 49 years old	F	Female	[2020]	2020	2020	1	PT	Percentage	G	Global														94.5	94.5			2 countries, 5 per cent population coverage	UNFPA Global Database, 2020.		G: Global monitoring data
5	Goal 5	Achieve gender equality and empower all women and girls	5.6	Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences	C050601	5.6.1	Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_INFMRH	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1			Y15T49	15 to 49 years old	F	Female	[2015]	2015	2015	1	PT	Percentage	G	Global										47.2					47.2			Based on women aged 15-49 years married or in union who are currently using any contraceptives.	DHS 2014-2015. UNFPA Global Database, 2019.		C: Country data
