goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	age_code	age_desc	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	value_2020	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030701	3.7.1	Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_MTMM	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	1	World	1			Region								Y15T49	15 to 49 years old	F	Female	[2000, 2005, 2010, 2015, 2020]	2000	2020	5	PT	Percentage	G	Global	73.6					74.8					75.7					76.5					76.8	76.8				United Nations, Department of Economic and Social Affairs, Population Division (2020). Estimates and Projections of Family Planning Indicators 2020.		E: Estimated data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030701	3.7.1	Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_MTMM	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			Y15T49	15 to 49 years old	F	Female	[2001, 2016]	2001	2016	2	PT	Percentage	G	Global		56.0															74.9					74.9			[2001]: The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.	[2001]: Myanmar 2001 Fertility and Reproductive Health Survey // [2016]: Myanmar 2015-2016 Demographic and Health Survey		CA: Country adjusted data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030701	3.7.1	Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_MTMM	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	0		Y15T49	15 to 49 years old	F	Female	[2002, 2011]	2002	2011	2	PT	Percentage	G	Global			17.3									32.8										32.8			[2002]: The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.	[2002]: Burundi 2002 EnquĂŞte Socio-dĂŠmographique et de SantĂŠ de la Reproduction // [2011]: Burundi 2010 Demographic and Health Survey		CA: Country adjusted data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030701	3.7.1	Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_MTMM	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	1		Y15T49	15 to 49 years old	F	Female	[2017]	2017	2017	1	PT	Percentage	G	Global																		39.6				39.6				Burundi 2016 Demographic and Health Survey (DHS)		CA: Country adjusted data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030701	3.7.1	Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_MTMM	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			Y15T49	15 to 49 years old	F	Female	[2012]	2012	2012	1	PT	Percentage	G	Global													73.0									73.0			The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.	Belarus 2012 Multiple Indicator Cluster Survey		CA: Country adjusted data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030701	3.7.1	Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_MTMM	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	0		Y15T49	15 to 49 years old	F	Female	[2000, 2006, 2014]	2000	2014	3	PT	Percentage	G	Global	33.0						41.6								56.5							56.5			[2000]: The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.	[2000]: Cambodia 2000 Demographic and Health Survey // [2006]: Cambodia 2005 Demographic and Health Survey // [2014]: Cambodia 2014 Demographic and Health Survey		CA: Country adjusted data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030701	3.7.1	Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_MTMM	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	1		Y15T49	15 to 49 years old	F	Female	[2011]	2011	2011	1	PT	Percentage	G	Global												51.6										51.6				Cambodia 2010 Demographic and Health Survey		CA: Country adjusted data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030701	3.7.1	Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_MTMM	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			Y15T49	15 to 49 years old	F	Female	[2006, 2013]	2006	2013	2	PT	Percentage	G	Global							74.7							74.7								74.7			The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.	[2006]: Algeria 2006 Multiple Indicator Cluster Survey // [2013]: Algeria 2012-2013 Multiple Indicator Cluster Survey		CA: Country adjusted data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030701	3.7.1	Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_MTMM	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	0		Y15T49	15 to 49 years old	F	Female	[2004, 2014]	2004	2014	2	PT	Percentage	G	Global					33.6										47.0							47.0				[2004]: Cameroon 2004 Demographic and Health Survey // [2014]: Cameroon 2014 Multiple Indicator Cluster Survey		CA: Country adjusted data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030701	3.7.1	Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods	2020.Q2.G.03	['health', 'reproductive health', 'family planning', 'womens health', 'advancement of women', 'gender equality', 'women']	SH_FPL_MTMM	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	1		Y15T49	15 to 49 years old	F	Female	[2011, 2018]	2011	2018	2	PT	Percentage	G	Global												39.2							35.5			35.5			[2018]: The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.	[2011]: Cameroon 2011 Demographic and Health Survey // [2018]: Cameroon 2018 Demographic and Health Survey (DHS)		CA: Country adjusted data
