series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	location_code	location_desc	years	min_year	max_year	n_years
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	1	World	1			Region						R	Rural	[2014, 2017, 2019]	2014	2019	3
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	143	Central Asia	3	142	Asia	Region						R	Rural	[2014, 2017, 2019]	2014	2019	3
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	145	Western Asia	3	142	Asia	Region						R	Rural	[2014, 2017]	2014	2017	2
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	15	Northern Africa	3	2	Africa	Region						R	Rural	[2014]	2014	2014	1
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	150	Europe	2	1	World	Region						R	Rural	[2014, 2017]	2014	2017	2
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	199	Least Developed Countries (LDC)	1			Group						R	Rural	[2014, 2017, 2019]	2014	2019	3
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	202	Sub-Saharan Africa	3	2	Africa	Region						R	Rural	[2014, 2017, 2019]	2014	2019	3
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	30	Eastern Asia	3	142	Asia	Region						R	Rural	[2014, 2017, 2019]	2014	2019	3
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	34	Southern Asia	3	142	Asia	Region						R	Rural	[2014, 2017]	2014	2017	2
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	35	South-Eastern Asia	3	142	Asia	Region						R	Rural	[2014, 2017, 2019]	2014	2019	3
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	419	Latin America and the Caribbean	3	19	Americas	Region						R	Rural	[2014, 2017, 2019]	2014	2019	3
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	432	Landlocked developing countries (LLDCs)	1			Group						R	Rural	[2014, 2017, 2019]	2014	2019	3
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	513	Europe and Northern America	2	1	World	Region						R	Rural	[2014, 2017]	2014	2017	2
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	543	Oceania (exc. Australia and New Zealand)	3	9	Oceania	Region						R	Rural	[2014, 2017, 2019]	2014	2019	3
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	62	Central and Southern Asia	2	1	World	Region						R	Rural	[2014, 2017]	2014	2017	2
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	722	Small island developing States (SIDS)	1			Group						R	Rural	[2014, 2017, 2019]	2014	2019	3
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	747	Northern Africa and Western Asia	2	1	World	Region						R	Rural	[2014, 2017]	2014	2017	2
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	753	Eastern and South-Eastern Asia	2	1	World	Region						R	Rural	[2014, 2017, 2019]	2014	2019	3
ER_H2O_PARTIC	Proportion of countries with high level of users/communities participating in planning programs in rural drinking-water supply (%)	9	Oceania	2	1	World	Region						R	Rural	[2014, 2017]	2014	2017	2
